#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72388.1           -           2026 833at5820            -           1112         0 1402.9  66.4   1  11   1.6e-44     1e-40  138.0   0.0     1    95    36   132    36   138 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72388.1           -           2026 833at5820            -           1112         0 1402.9  66.4   2  11   6.1e-32   3.8e-28   96.4   0.5    92   164   212   284   199   288 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72388.1           -           2026 833at5820            -           1112         0 1402.9  66.4   3  11   1.5e-33   9.2e-30  101.8   0.0   162   250   314   403   307   410 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72388.1           -           2026 833at5820            -           1112         0 1402.9  66.4   4  11     1e-36   6.3e-33  112.3   6.5   274   363   612   720   605   724 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72388.1           -           2026 833at5820            -           1112         0 1402.9  66.4   5  11     3e-39   1.9e-35  120.6   0.6   361   441   745   826   740   831 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72388.1           -           2026 833at5820            -           1112         0 1402.9  66.4   6  11   1.6e-36     1e-32  111.6   0.0   441   533   853   965   851   971 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72388.1           -           2026 833at5820            -           1112         0 1402.9  66.4   7  11   6.1e-70   3.8e-66  222.3   5.6   532   669  1007  1147  1001  1178 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72388.1           -           2026 833at5820            -           1112         0 1402.9  66.4   8  11     1e-19   6.4e-16   55.9   0.1   661   731  1181  1252  1172  1257 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72388.1           -           2026 833at5820            -           1112         0 1402.9  66.4   9  11   1.7e-32   1.1e-28   98.3   0.6   731   806  1552  1627  1548  1651 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72388.1           -           2026 833at5820            -           1112         0 1402.9  66.4  10  11   9.9e-34   6.2e-30  102.4   0.5   792   890  1648  1746  1641  1749 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72388.1           -           2026 833at5820            -           1112         0 1402.9  66.4  11  11   2.7e-86   1.7e-82  276.4   0.9   887  1111  1766  2022  1757  2023 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/833at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/833at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/833at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:05:10 2026
# [ok]
