#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71470.1           -            388 6857at5820           -            381  4.9e-271  896.6   4.7   1   1  3.2e-273  5.6e-271  896.4   4.7     1   381     7   388     7   388 1.00 eukaryotic initiation factor 4A-III, putative [Plasmodium vivax]
SCO74223.1           -            398 6857at5820           -            381    4e-157  521.6   2.0   1   1  2.6e-159  4.5e-157  521.4   2.0     5   380    19   397    15   398 0.98 eukaryotic initiation factor 4a, putative [Plasmodium vivax]
SCO72338.1           -            382 6857at5820           -            381   2.8e-64  216.0   0.2   1   1   1.9e-66   3.4e-64  215.7   0.2    81   377    81   376    78   380 0.96 ATP-dependent RNA helicase DDX6, putative [Plasmodium vivax]
SCO71091.1           -            473 6857at5820           -            381   3.6e-64  215.7   3.6   1   2   3.7e-11   6.4e-09   33.8   0.0    11    74    61   124    54   130 0.90 ATP-dependent RNA helicase UAP56, putative [Plasmodium vivax]
SCO71091.1           -            473 6857at5820           -            381   3.6e-64  215.7   3.6   2   2   1.2e-55   2.2e-53  180.2   3.2    81   377   163   465   153   468 0.92 ATP-dependent RNA helicase UAP56, putative [Plasmodium vivax]
SCO74323.1           -            787 6857at5820           -            381   5.1e-64  215.1   9.1   1   1   3.6e-64   6.2e-62  208.3   9.1     9   375   372   775   365   780 0.86 ATP-dependent RNA helicase DBP5, putative [Plasmodium vivax]
SCO74455.1           -            528 6857at5820           -            381   2.6e-57  193.1   0.0   1   1   2.2e-59   3.8e-57  192.5   0.0     9   364   113   477   110   495 0.88 ATP-dependent RNA helicase DDX5, putative [Plasmodium vivax]
SCO75518.1           -            717 6857at5820           -            381     2e-56  190.2   0.3   1   2   2.1e-06   0.00037   18.1   0.0     6    71   275   339   270   347 0.89 DNA helicase 60, putative [Plasmodium vivax]
SCO75518.1           -            717 6857at5820           -            381     2e-56  190.2   0.3   2   2   2.1e-52   3.6e-50  169.6   0.8    81   354   405   681   393   712 0.90 DNA helicase 60, putative [Plasmodium vivax]
SCO73308.1           -            720 6857at5820           -            381   7.1e-55  185.1   1.1   1   2   1.7e-06    0.0003   18.4   0.0    23    66   140   183   123   193 0.86 ATP-dependent helicase, putative [Plasmodium vivax]
SCO73308.1           -            720 6857at5820           -            381   7.1e-55  185.1   1.1   2   2   5.7e-51   9.9e-49  164.8   0.6    79   367   226   519   216   533 0.88 ATP-dependent helicase, putative [Plasmodium vivax]
SCO73062.1           -            667 6857at5820           -            381   5.1e-54  182.2   0.0   1   1   4.3e-56   7.5e-54  181.7   0.0    11   364   220   587   217   600 0.87 RNA helicase 1, putative [Plasmodium vivax]
SCO73265.1           -           1435 6857at5820           -            381   4.8e-52  175.7   0.8   1   1   4.1e-54   7.1e-52  175.2   0.8    19   380   678  1054   667  1055 0.90 pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative [Plasmodium vivax]
SCO73166.1           -           1009 6857at5820           -            381   5.5e-52  175.6   0.0   1   2   1.7e-20     3e-18   64.5   0.0    12   175   587   759   583   768 0.87 ATP-dependent RNA helicase DDX23, putative [Plasmodium vivax]
SCO73166.1           -           1009 6857at5820           -            381   5.5e-52  175.6   0.0   2   2   7.4e-34   1.3e-31  108.5   0.0   187   378   795   984   787   986 0.89 ATP-dependent RNA helicase DDX23, putative [Plasmodium vivax]
SCO73552.1           -            599 6857at5820           -            381   1.3e-48  164.4   2.9   1   1   9.3e-51   1.6e-48  164.1   2.9     4   372   141   514   138   523 0.91 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO71006.1           -            533 6857at5820           -            381   1.7e-48  164.1   2.4   1   1   1.3e-50   2.3e-48  163.6   2.4     8   373   125   490   118   495 0.89 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO71685.1           -           1015 6857at5820           -            381   3.9e-48  162.9   0.5   1   1   3.8e-50   6.7e-48  162.1   0.5    17   362   633   996   613  1009 0.85 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO75754.1           -            731 6857at5820           -            381     7e-43  145.6   3.9   1   1   7.6e-43   1.3e-40  138.1   3.9    12   360   107   496    97   512 0.80 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO75363.1           -            923 6857at5820           -            381   2.6e-42  143.7   2.9   1   1   5.2e-41   9.1e-39  132.0   2.9    10   362   339   738   331   747 0.80 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO74062.1           -            489 6857at5820           -            381   6.8e-40  135.7   0.3   1   1   1.4e-41   2.5e-39  133.9   0.3    10   364    59   434    56   441 0.86 ATP-dependent RNA helicase DBP8, putative [Plasmodium vivax]
SCO71230.1           -           1187 6857at5820           -            381   4.7e-39  133.0   4.8   1   1   4.3e-41   7.4e-39  132.3   4.8     9   360   166   528   160   539 0.88 ATP-dependent RNA helicase DBP10, putative [Plasmodium vivax]
SCO74881.1           -            877 6857at5820           -            381   2.1e-37  127.6  12.3   1   1   1.8e-39   3.1e-37  127.0  12.3    10   363   135   503   127   520 0.83 ATP-dependent RNA helicase DBP4, putative [Plasmodium vivax]
SCO70895.1           -            850 6857at5820           -            381   2.4e-33  114.2   0.1   1   3   1.2e-22     2e-20   71.7   0.0    16   175   143   314   137   320 0.82 ATP-dependent RNA helicase DBP7, putative [Plasmodium vivax]
SCO70895.1           -            850 6857at5820           -            381   2.4e-33  114.2   0.1   2   3       3.2   5.7e+02   -2.2   0.0   180   205   367   392   365   404 0.75 ATP-dependent RNA helicase DBP7, putative [Plasmodium vivax]
SCO70895.1           -            850 6857at5820           -            381   2.4e-33  114.2   0.1   3   3   8.4e-13   1.5e-10   39.2   0.0   266   358   600   695   590   709 0.84 ATP-dependent RNA helicase DBP7, putative [Plasmodium vivax]
SCO75658.1           -            850 6857at5820           -            381   2.6e-32  110.8   6.9   1   3     1e-24   1.8e-22   78.4   0.3    10   209    92   305    84   313 0.79 ATP-dependent RNA helicase DBP9, putative [Plasmodium vivax]
SCO75658.1           -            850 6857at5820           -            381   2.6e-32  110.8   6.9   2   3     1e-11   1.7e-09   35.7   0.0   306   355   514   563   511   587 0.91 ATP-dependent RNA helicase DBP9, putative [Plasmodium vivax]
SCO75658.1           -            850 6857at5820           -            381   2.6e-32  110.8   6.9   3   3       3.3   5.8e+02   -2.3   0.7   198   243   601   650   590   675 0.72 ATP-dependent RNA helicase DBP9, putative [Plasmodium vivax]
SCO72330.1           -            761 6857at5820           -            381   8.5e-32  109.1   9.5   1   2   4.3e-05    0.0074   13.8   0.0    16    66   261   311   251   324 0.90 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO72330.1           -            761 6857at5820           -            381   8.5e-32  109.1   9.5   2   2   8.4e-30   1.5e-27   95.2   7.3    78   358   378   660   372   679 0.84 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO75149.1           -            626 6857at5820           -            381     5e-29  100.0   5.7   1   1   4.3e-31   7.4e-29   99.4   5.7    44   361   185   517   143   529 0.77 DEAD box helicase, putative [Plasmodium vivax]
SCO73134.1           -            816 6857at5820           -            381   1.1e-27   95.6  15.4   1   4   3.8e-09   6.7e-07   27.1   0.0     9    72     2    65     1    75 0.93 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO73134.1           -            816 6857at5820           -            381   1.1e-27   95.6  15.4   2   4         5   8.8e+02   -2.9   0.1     6    30   131   155   129   157 0.88 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO73134.1           -            816 6857at5820           -            381   1.1e-27   95.6  15.4   3   4   6.9e-11   1.2e-08   32.9   2.5    54   212   306   471   299   497 0.82 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO73134.1           -            816 6857at5820           -            381   1.1e-27   95.6  15.4   4   4   8.5e-14   1.5e-11   42.5   0.8   264   349   598   683   534   693 0.82 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO71586.1           -            606 6857at5820           -            381   2.2e-26   91.3   3.9   1   2   2.7e-07   4.8e-05   21.0   0.1    26    67   149   190   140   198 0.90 ATP-dependent RNA helicase ROK1, putative [Plasmodium vivax]
SCO71586.1           -            606 6857at5820           -            381   2.2e-26   91.3   3.9   2   2   1.8e-22   3.1e-20   71.0   0.9    81   375   236   537   227   542 0.82 ATP-dependent RNA helicase ROK1, putative [Plasmodium vivax]
SCO74462.1           -            791 6857at5820           -            381   4.4e-26   90.3   7.8   1   2   2.9e-18   5.1e-16   57.2   2.3    19   180   250   429   241   473 0.74 ATP-dependent RNA helicase MAK5, putative [Plasmodium vivax]
SCO74462.1           -            791 6857at5820           -            381   4.4e-26   90.3   7.8   2   2     8e-12   1.4e-09   36.0   0.3   272   357   597   683   579   696 0.92 ATP-dependent RNA helicase MAK5, putative [Plasmodium vivax]
SCO70477.1           -           1250 6857at5820           -            381   6.3e-23   79.9   6.1   1   4   1.3e-05    0.0023   15.5   0.0     9    64    27    82    20   100 0.81 RNA helicase, putative [Plasmodium vivax]
SCO70477.1           -           1250 6857at5820           -            381   6.3e-23   79.9   6.1   2   4      0.37        64    0.9   0.0   113   143   226   257   184   267 0.74 RNA helicase, putative [Plasmodium vivax]
SCO70477.1           -           1250 6857at5820           -            381   6.3e-23   79.9   6.1   3   4   0.00028      0.05   11.1   0.0   149   193   285   330   272   357 0.84 RNA helicase, putative [Plasmodium vivax]
SCO70477.1           -           1250 6857at5820           -            381   6.3e-23   79.9   6.1   4   4     3e-16   5.2e-14   50.5   1.9   234   357   589   712   564   721 0.74 RNA helicase, putative [Plasmodium vivax]
