#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74788.1           -           2313 437at5820            -           1488         0 1837.9  66.0   1  16   2.5e-23   7.9e-20   68.7   0.0    13   125    34   181     9   186 0.79 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO74788.1           -           2313 437at5820            -           1488         0 1837.9  66.0   2  16    0.0078        24    0.7   0.0   131   149   235   253   226   258 0.82 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO74788.1           -           2313 437at5820            -           1488         0 1837.9  66.0   3  16   7.7e-21   2.4e-17   60.4   0.0   147   206   304   364   298   366 0.94 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO74788.1           -           2313 437at5820            -           1488         0 1837.9  66.0   4  16   2.5e-26   7.7e-23   78.6   0.5   212   278   445   511   432   520 0.91 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO74788.1           -           2313 437at5820            -           1488         0 1837.9  66.0   5  16   3.8e-23   1.2e-19   68.0   0.0   280   328   542   590   539   593 0.95 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO74788.1           -           2313 437at5820            -           1488         0 1837.9  66.0   6  16   5.3e-20   1.7e-16   57.6   0.0   329   386   647   714   641   723 0.82 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO74788.1           -           2313 437at5820            -           1488         0 1837.9  66.0   7  16   2.4e-38   7.7e-35  118.4   0.0   382   469   743   834   740   840 0.93 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO74788.1           -           2313 437at5820            -           1488         0 1837.9  66.0   8  16   6.2e-40     2e-36  123.7   0.2   470   587   866  1003   858  1064 0.85 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO74788.1           -           2313 437at5820            -           1488         0 1837.9  66.0   9  16     0.031        96   -1.2   0.0   621   655  1119  1162  1114  1167 0.75 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO74788.1           -           2313 437at5820            -           1488         0 1837.9  66.0  10  16   1.8e-07   0.00058   16.1   0.0   653   700  1191  1246  1181  1257 0.74 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO74788.1           -           2313 437at5820            -           1488         0 1837.9  66.0  11  16   6.2e-21     2e-17   60.7   0.4   703   756  1285  1351  1278  1354 0.87 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO74788.1           -           2313 437at5820            -           1488         0 1837.9  66.0  12  16   2.3e-22   7.1e-19   65.5   0.6   757   802  1392  1437  1390  1440 0.95 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO74788.1           -           2313 437at5820            -           1488         0 1837.9  66.0  13  16    9e-148  2.8e-144  481.1   2.2   802  1114  1483  1823  1479  1830 0.91 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO74788.1           -           2313 437at5820            -           1488         0 1837.9  66.0  14  16   3.6e-07    0.0011   15.1  10.6  1106  1146  1838  1879  1835  1884 0.89 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO74788.1           -           2313 437at5820            -           1488         0 1837.9  66.0  15  16   7.2e-88   2.3e-84  282.6   0.2  1147  1308  1925  2087  1910  2092 0.96 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO74788.1           -           2313 437at5820            -           1488         0 1837.9  66.0  16  16  2.4e-111  7.6e-108  360.3   4.6  1305  1488  2123  2313  2121  2313 0.96 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO70886.1           -            688 437at5820            -           1488     0.048    9.7   0.1   1   1   2.1e-05     0.066    9.2   0.1  1373  1429   594   651   587   658 0.92 ferrodoxin reductase-like protein [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/437at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/437at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/437at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:47:27 2026
# [ok]
