#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75191.1           -            458 6472at5820           -            409    8e-271  896.5  30.8   1   2  6.5e-139  8.2e-136  451.9  16.1     1   214     1   223     1   227 0.97 AP-1 complex subunit mu-1, putative [Plasmodium vivax]
SCO75191.1           -            458 6472at5820           -            409    8e-271  896.5  30.8   2   2  1.4e-138  1.7e-135  450.8   6.8   210   409   256   456   247   456 0.98 AP-1 complex subunit mu-1, putative [Plasmodium vivax]
SCO72681.1           -            478 6472at5820           -            409   2.3e-54  183.6  14.1   1   2     1e-22   1.3e-19   69.1   0.8     4   132     3   137     1   145 0.89 AP-4 complex subunit mu, putative [Plasmodium vivax]
SCO72681.1           -            478 6472at5820           -            409   2.3e-54  183.6  14.1   2   2   6.2e-38   7.7e-35  119.3   6.7   136   408   195   475   180   476 0.87 AP-4 complex subunit mu, putative [Plasmodium vivax]
SCO75435.1           -            611 6472at5820           -            409   2.3e-49  167.1  52.9   1   3   3.3e-20   4.1e-17   60.9  16.7     4   135     2   140     1   174 0.85 AP-2 complex subunit mu, putative [Plasmodium vivax]
SCO75435.1           -            611 6472at5820           -            409   2.3e-49  167.1  52.9   2   3   6.5e-15   8.2e-12   43.5   4.7   129   211   221   304   196   310 0.83 AP-2 complex subunit mu, putative [Plasmodium vivax]
SCO75435.1           -            611 6472at5820           -            409   2.3e-49  167.1  52.9   3   3   6.2e-19   7.8e-16   56.7  15.5   219   408   363   610   355   611 0.64 AP-2 complex subunit mu, putative [Plasmodium vivax]
SCO74507.1           -            763 6472at5820           -            409     6e-10   37.3   3.4   1   2   7.1e-08   8.9e-05   20.3   0.8    38   130    54   150    30   165 0.82 clathrin coat assembly protein AP50, putative [Plasmodium vivax]
SCO74507.1           -            763 6472at5820           -            409     6e-10   37.3   3.4   2   2   7.1e-07   0.00089   17.0   0.1   148   253   208   314   190   322 0.76 clathrin coat assembly protein AP50, putative [Plasmodium vivax]
SCO72667.1           -            155 6472at5820           -            409    0.0015   16.2   2.1   1   2      0.11   1.4e+02   -0.1   0.0   129   159    31    61    22    66 0.78 AP-1 complex subunit sigma, putative [Plasmodium vivax]
SCO72667.1           -            155 6472at5820           -            409    0.0015   16.2   2.1   2   2     2e-06    0.0025   15.5   1.3    56   126    62   133    56   143 0.87 AP-1 complex subunit sigma, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6472at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6472at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6472at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:50:27 2026
# [ok]
