#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74661.1           -           1539 1149at5820           -            799         0 1357.7 131.4   1   5  2.7e-289  5.7e-286  949.7  60.4     1   444    66   516    66   560 0.96 amino acid transporter, putative [Plasmodium vivax]
SCO74661.1           -           1539 1149at5820           -            799         0 1357.7 131.4   2   5   3.2e-37   6.6e-34  116.0  22.3   452   568   740   882   720   893 0.78 amino acid transporter, putative [Plasmodium vivax]
SCO74661.1           -           1539 1149at5820           -            799         0 1357.7 131.4   3   5   5.1e-15   1.1e-11   42.6   4.5   574   629  1038  1103  1028  1143 0.73 amino acid transporter, putative [Plasmodium vivax]
SCO74661.1           -           1539 1149at5820           -            799         0 1357.7 131.4   4   5     5e-39     1e-35  122.0   9.8   626   711  1266  1351  1198  1363 0.87 amino acid transporter, putative [Plasmodium vivax]
SCO74661.1           -           1539 1149at5820           -            799         0 1357.7 131.4   5   5   4.6e-48   9.6e-45  151.9   1.9   709   799  1439  1539  1426  1539 0.93 amino acid transporter, putative [Plasmodium vivax]
SCO75561.1           -           2146 1149at5820           -            799   1.6e-62  210.6  51.1   1   5   4.3e-42     9e-39  132.1  26.9     3   221    22   251    20   272 0.84 amino acid transporter, putative [Plasmodium vivax]
SCO75561.1           -           2146 1149at5820           -            799   1.6e-62  210.6  51.1   2   5   8.9e-31   1.9e-27   94.7  16.2   244   434   504   678   489   725 0.82 amino acid transporter, putative [Plasmodium vivax]
SCO75561.1           -           2146 1149at5820           -            799   1.6e-62  210.6  51.1   3   5       1.6   3.3e+03   -5.4   2.1   600   631  1252  1283  1203  1341 0.50 amino acid transporter, putative [Plasmodium vivax]
SCO75561.1           -           2146 1149at5820           -            799   1.6e-62  210.6  51.1   4   5       1.2   2.5e+03   -4.9   2.8   446   534  1622  1686  1589  1703 0.52 amino acid transporter, putative [Plasmodium vivax]
SCO75561.1           -           2146 1149at5820           -            799   1.6e-62  210.6  51.1   5   5    0.0079        16    2.3   0.1   759   798  2106  2144  2070  2145 0.79 amino acid transporter, putative [Plasmodium vivax]
SCO73259.1           -            143 1149at5820           -            799       1.3    5.9   7.8   1   2     0.084   1.8e+02   -1.1   1.7   484   512    50    78    18   111 0.54 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73259.1           -            143 1149at5820           -            799       1.3    5.9   7.8   2   2   2.2e-05     0.046   10.7   0.5     1    24   116   139   116   142 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1149at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1149at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1149at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:33:29 2026
# [ok]
