#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74482.1           -            596 6335at5820           -            474  5.7e-258  854.7  59.2   1   2    5e-200  3.9e-197  654.1  49.2     1   364     1   395     1   413 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74482.1           -            596 6335at5820           -            474  5.7e-258  854.7  59.2   2   2   4.2e-64   3.3e-61  205.9   2.3   367   473   489   595   473   596 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 6335at5820           -            474   1.7e-11   42.0  15.1   1   2   2.8e-11   2.2e-08   31.7   2.4   227   355   209   337   171   349 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 6335at5820           -            474   1.7e-11   42.0  15.1   2   2   1.4e-06    0.0011   16.2  10.3   135   323   314   491   310   524 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71700.1           -            512 6335at5820           -            474   2.6e-09   34.8  10.9   1   1     5e-12   3.9e-09   34.2  10.9   189   391    94   289    55   305 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 6335at5820           -            474   3.9e-08   30.9  38.4   1   2   2.1e-08   1.6e-05   22.2  15.6   195   364   121   289    96   301 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 6335at5820           -            474   3.9e-08   30.9  38.4   2   2     8e-06    0.0063   13.7  14.7   198   336   318   460   300   492 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75476.1           -            446 6335at5820           -            474   4.9e-08   30.5   5.8   1   2   6.2e-11   4.9e-08   30.5   5.8    17   146    75   202    57   207 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75476.1           -            446 6335at5820           -            474   4.9e-08   30.5   5.8   2   2       1.2   9.3e+02   -3.3   0.1   290   310   345   365   332   398 0.64 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71909.1           -            719 6335at5820           -            474   4.9e-05   20.6   3.9   1   3     3e-06    0.0024   15.1   0.2   289   358    63   133    32   212 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71909.1           -            719 6335at5820           -            474   4.9e-05   20.6   3.9   2   3      0.15   1.2e+02   -0.4   0.0   288   353   418   483   393   488 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71909.1           -            719 6335at5820           -            474   4.9e-05   20.6   3.9   3   3    0.0035       2.7    5.0   0.1   287   377   524   616   520   646 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75512.1           -           1244 6335at5820           -            474   0.00039   17.7   2.3   1   4      0.14   1.1e+02   -0.3   0.4   299   351   112   164    76   179 0.81 RAP protein, putative [Plasmodium vivax]
SCO75512.1           -           1244 6335at5820           -            474   0.00039   17.7   2.3   2   4     0.082        64    0.5   0.1    99   161   253   315   225   324 0.71 RAP protein, putative [Plasmodium vivax]
SCO75512.1           -           1244 6335at5820           -            474   0.00039   17.7   2.3   3   4     5e-07   0.00039   17.7   2.3   231   329   409   506   406   549 0.83 RAP protein, putative [Plasmodium vivax]
SCO75512.1           -           1244 6335at5820           -            474   0.00039   17.7   2.3   4   4    0.0004      0.32    8.1   4.2   144   339   600   786   598   799 0.80 RAP protein, putative [Plasmodium vivax]
SCO73773.1           -           1215 6335at5820           -            474      0.52    7.4  27.4   1   5         2   1.5e+03   -4.1   0.0   291   327    89   125    84   133 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 6335at5820           -            474      0.52    7.4  27.4   2   5    0.0052       4.1    4.4   0.2   195   224   198   227   182   236 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 6335at5820           -            474      0.52    7.4  27.4   3   5    0.0079       6.2    3.8   5.8    71   319   352   444   338   488 0.53 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 6335at5820           -            474      0.52    7.4  27.4   4   5    0.0063         5    4.1   1.4   198   269   559   601   552   657 0.51 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 6335at5820           -            474      0.52    7.4  27.4   5   5   0.00031      0.24    8.5   0.1   299   347   738   786   731   794 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6335at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6335at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6335at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:02:40 2026
# [ok]
