#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71852.1           -           1070 4823at5820           -            557  3.5e-294  975.1  56.3   1   6   7.2e-71   1.5e-67  227.0  17.4     1   109     1   109     1   127 0.95 FHA domain protein, putative [Plasmodium vivax]
SCO71852.1           -           1070 4823at5820           -            557  3.5e-294  975.1  56.3   2   6   6.4e-44   1.3e-40  138.0   0.1   107   189   166   248   156   255 0.88 FHA domain protein, putative [Plasmodium vivax]
SCO71852.1           -           1070 4823at5820           -            557  3.5e-294  975.1  56.3   3   6   1.6e-06    0.0033   14.6   0.2   189   229   288   336   278   355 0.76 FHA domain protein, putative [Plasmodium vivax]
SCO71852.1           -           1070 4823at5820           -            557  3.5e-294  975.1  56.3   4   6    0.0011       2.4    5.1   0.0   219   246   380   407   360   423 0.79 FHA domain protein, putative [Plasmodium vivax]
SCO71852.1           -           1070 4823at5820           -            557  3.5e-294  975.1  56.3   5   6  1.2e-183  2.5e-180  599.2  13.3   248   519   684   955   659   980 0.93 FHA domain protein, putative [Plasmodium vivax]
SCO71852.1           -           1070 4823at5820           -            557  3.5e-294  975.1  56.3   6   6   0.00024      0.51    7.4   0.4   516   548   987  1019   968  1028 0.73 FHA domain protein, putative [Plasmodium vivax]
SCO73954.1           -           1802 4823at5820           -            557   1.1e-64  217.6  10.5   1   6   1.5e-05     0.032   11.3   0.0    18    47     3    32     1    39 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73954.1           -           1802 4823at5820           -            557   1.1e-64  217.6  10.5   2   6   1.1e-12   2.3e-09   34.9   0.5   115   164    80   129    67   145 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73954.1           -           1802 4823at5820           -            557   1.1e-64  217.6  10.5   3   6   1.1e-60   2.4e-57  193.3   3.9   253   444   145   335   128   342 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73954.1           -           1802 4823at5820           -            557   1.1e-64  217.6  10.5   4   6         3   6.3e+03  -10.8   9.1   507   533   601   627   578   654 0.41 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73954.1           -           1802 4823at5820           -            557   1.1e-64  217.6  10.5   5   6         3   6.3e+03   -8.1   5.2   510   531   686   707   672   722 0.33 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73954.1           -           1802 4823at5820           -            557   1.1e-64  217.6  10.5   6   6       1.9     4e+03   -5.5   1.3   511   530  1628  1647  1611  1668 0.42 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75008.1           -            695 4823at5820           -            557   9.7e-05   19.6   5.1   1   1     1e-07   0.00022   18.5   5.1   225   301   602   681   587   688 0.73 RING zinc finger protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4823at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4823at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4823at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:47:55 2026
# [ok]
