#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73757.1           -           1833 1034at5820           -           1177         0 1776.0 119.6   1  10   7.6e-27   4.8e-23   79.5   0.1    12    72    99   159    93   167 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73757.1           -           1833 1034at5820           -           1177         0 1776.0 119.6   2  10     3e-23   1.9e-19   67.6   0.0    85   158   264   352   255   358 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73757.1           -           1833 1034at5820           -           1177         0 1776.0 119.6   3  10   7.1e-70   4.5e-66  222.0   5.6   158   277   418   537   415   541 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73757.1           -           1833 1034at5820           -           1177         0 1776.0 119.6   4  10   2.4e-33   1.5e-29  101.0   0.3   271   351   580   663   574   665 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73757.1           -           1833 1034at5820           -           1177         0 1776.0 119.6   5  10   1.3e-46   8.3e-43  145.0   0.9   347   452   682   793   680   804 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73757.1           -           1833 1034at5820           -           1177         0 1776.0 119.6   6  10   1.6e-91     1e-87  293.7  16.7   448   632   832  1017   829  1022 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73757.1           -           1833 1034at5820           -           1177         0 1776.0 119.6   7  10     5e-15   3.1e-11   40.4   0.1   629   680  1052  1108  1048  1115 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73757.1           -           1833 1034at5820           -           1177         0 1776.0 119.6   8  10   7.5e-22   4.7e-18   63.0   0.6   681   732  1159  1210  1154  1218 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73757.1           -           1833 1034at5820           -           1177         0 1776.0 119.6   9  10    7e-138  4.4e-134  447.3  25.8   730   978  1270  1526  1263  1530 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73757.1           -           1833 1034at5820           -           1177         0 1776.0 119.6  10  10  2.1e-109  1.3e-105  353.0  16.9   971  1177  1608  1833  1597  1833 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1034at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1034at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1034at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:28:49 2026
# [ok]
