#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72583.1           -           1365 2713at5820           -            991         0 1287.2   0.0   1   1         0         0 1285.3   0.0     1   991     1  1360     1  1360 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75135.1           -            543 2713at5820           -            991     0.076    9.3  19.0   1   1   0.00027      0.12    8.6  19.0   507   644   120   253    50   294 0.39 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75379.1           -            381 2713at5820           -            991     0.084    9.2  27.6   1   1   0.00022     0.099    8.9  27.6   476   680    16   182     3   337 0.46 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73062.1           -            667 2713at5820           -            991      0.45    6.7  21.2   1   1    0.0015      0.68    6.2  21.2   547   667    50   168    19   184 0.50 RNA helicase 1, putative [Plasmodium vivax]
SCO75336.1           -            320 2713at5820           -            991      0.89    5.8  32.2   1   1    0.0023         1    5.6  32.2   484   637   104   265    49   305 0.38 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75023.1           -            132 2713at5820           -            991       1.1    5.5  13.6   1   1    0.0023       1.1    5.5  13.6   530   614     7    91     1   127 0.41 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72751.1           -            310 2713at5820           -            991       1.1    5.4  25.0   1   1    0.0031       1.4    5.1  25.0   526   718    77   281    27   305 0.43 large ribosomal subunit processing factor, putative [Plasmodium vivax]
SCO72249.1           -            381 2713at5820           -            991       1.5    5.0  23.3   1   1    0.0043       1.9    4.7  23.3   526   668   103   231    23   250 0.37 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75333.1           -            270 2713at5820           -            991       2.2    4.5  30.2   1   1    0.0056       2.5    4.3  30.2   489   642    14   185     1   215 0.48 translation initiation factor SUI1, putative [Plasmodium vivax]
SCO72509.1           -            320 2713at5820           -            991       2.3    4.4  27.8   1   1    0.0077       3.4    3.8  27.8   550   706   105   298    77   315 0.30 hypothetical protein, conserved [Plasmodium vivax]
SCO75686.1           -            205 2713at5820           -            991       2.5    4.3  30.9   1   1    0.0068         3    4.0  30.9   511   643    25   167    16   196 0.40 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70506.1           -            682 2713at5820           -            991       3.6    3.8  17.1   1   2     0.031        14    1.8   2.4   529   618   181   325   155   396 0.38 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70506.1           -            682 2713at5820           -            991       3.6    3.8  17.1   2   2   0.00056      0.25    7.6   7.0   552   651   564   665   448   679 0.46 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75730.1           -            400 2713at5820           -            991       4.6    3.4  30.7   1   2    0.0019      0.85    5.8   6.3   577   677    74   180     9   188 0.55 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75730.1           -            400 2713at5820           -            991       4.6    3.4  30.7   2   2    0.0083       3.7    3.7  16.4   559   638   238   312   212   360 0.35 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73349.1           -            944 2713at5820           -            991       6.7    2.9  74.3   1   3      0.56   2.5e+02   -2.3  11.1   523   632    41   170    12   197 0.40 chromosome assembly factor 1, putative [Plasmodium vivax]
SCO73349.1           -            944 2713at5820           -            991       6.7    2.9  74.3   2   3    0.0023         1    5.6  20.5   481   639   341   535   320   556 0.51 chromosome assembly factor 1, putative [Plasmodium vivax]
SCO73349.1           -            944 2713at5820           -            991       6.7    2.9  74.3   3   3   2.9e-05     0.013   11.8  26.6   488   668   637   822   574   825 0.63 chromosome assembly factor 1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2713at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2713at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2713at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:42:58 2026
# [ok]
