#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74768.1           -            923 7873at5820           -            702    1e-238  792.6  13.9   1   1  4.6e-239  1.6e-236  785.4  13.9     2   645    11   829    10   842 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72509.1           -            320 7873at5820           -            702   1.6e-05   21.9  24.3   1   1   7.4e-08   2.6e-05   21.2  24.3   162   228   100   166    92   200 0.50 hypothetical protein, conserved [Plasmodium vivax]
SCO75730.1           -            400 7873at5820           -            702   0.00023   18.0  29.7   1   2   6.8e-06    0.0024   14.7   2.1   167   301    74   211    57   215 0.44 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75730.1           -            400 7873at5820           -            702   0.00023   18.0  29.7   2   2   0.00034      0.12    9.1  20.0   135   221   240   314   219   362 0.39 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75248.1           -            245 7873at5820           -            702   0.00079   16.2   7.0   1   1   3.2e-06    0.0011   15.7   7.0   149   276     9   173     1   184 0.64 Ubiquitin carboxyl-terminal hydrolase, putative [Plasmodium vivax]
SCO72508.1           -            345 7873at5820           -            702    0.0014   15.5  10.9   1   2   3.9e-06    0.0014   15.5  10.9   162   238   120   196   110   228 0.33 hypothetical protein, conserved [Plasmodium vivax]
SCO72508.1           -            345 7873at5820           -            702    0.0014   15.5  10.9   2   2       3.9   1.4e+03   -4.4   1.1   451   464   313   326   306   334 0.43 hypothetical protein, conserved [Plasmodium vivax]
SCO73812.1           -            709 7873at5820           -            702     0.006   13.3   0.6   1   1   2.9e-05      0.01   12.6   0.6   157   217   291   349   282   415 0.54 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72539.1           -            630 7873at5820           -            702    0.0062   13.3  49.8   1   2   5.2e-05     0.018   11.7  21.9   464   555   204   295   196   307 0.60 radial spoke head protein, putative [Plasmodium vivax]
SCO72539.1           -            630 7873at5820           -            702    0.0062   13.3  49.8   2   2    0.0012      0.41    7.3  20.0   454   548   383   477   377   497 0.46 radial spoke head protein, putative [Plasmodium vivax]
SCO71480.1           -            286 7873at5820           -            702     0.081    9.6  14.7   1   1   0.00033      0.12    9.1  14.7   169   255    52   153    29   179 0.49 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71992.1           -            409 7873at5820           -            702      0.44    7.2   8.7   1   1    0.0018      0.63    6.6   8.7   165   198    82   115    59   140 0.57 lipoate-protein ligase 2, putative [Plasmodium vivax]
SCO72017.1           -           3241 7873at5820           -            702      0.78    6.3  11.9   1   1    0.0042       1.5    5.4  11.9   147   220    31   105    18   142 0.58 protein kinase, putative [Plasmodium vivax]
SCO71724.1           -            406 7873at5820           -            702      0.95    6.1  30.7   1   1    0.0056         2    5.0  30.7   115   229   226   339   202   381 0.43 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70786.1           -            832 7873at5820           -            702       1.6    5.3  27.3   1   1     0.013       4.4    3.8  27.3   142   217   310   401   294   412 0.37 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72656.1           -           1053 7873at5820           -            702       1.8    5.2  28.8   1   2      0.02         7    3.2   4.8   145   541   271   322   253   353 0.35 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72656.1           -           1053 7873at5820           -            702       1.8    5.2  28.8   2   2    0.0012      0.41    7.3  16.0   138   225   682   818   662   852 0.40 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71049.1           -           1438 7873at5820           -            702       4.2    3.9  17.2   1   1     0.023       8.1    3.0  17.2   436   545   629   731   611   753 0.50 protein transport protein SEC31, putative [Plasmodium vivax]
SCO70510.1           -           1655 7873at5820           -            702       4.8    3.7  30.8   1   2     0.027       9.6    2.7   9.0   106   203   943  1040   926  1101 0.45 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70510.1           -           1655 7873at5820           -            702       4.8    3.7  30.8   2   2    0.0022      0.78    6.3  13.8   154   205  1204  1255  1188  1297 0.43 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72398.1           -            511 7873at5820           -            702       6.4    3.3  59.7   1   1   5.2e-05     0.018   11.7  35.9   126   279   311   483   304   486 0.41 phosphatidylinositol 3-and 4-kinase, putative [Plasmodium vivax]
SCO74799.1           -            873 7873at5820           -            702       8.8    2.9  24.7   1   2    0.0013      0.44    7.1   7.2   115   254   373   523   365   535 0.48 metabolite/drug transporter, putative [Plasmodium vivax]
SCO74799.1           -            873 7873at5820           -            702       8.8    2.9  24.7   2   2     0.045        16    2.0   9.1   158   247   564   652   527   656 0.50 metabolite/drug transporter, putative [Plasmodium vivax]
SCO72679.1           -            316 7873at5820           -            702       9.3    2.8  25.8   1   1     0.041        14    2.2  25.8   455   555   188   289   180   309 0.58 splicing factor U2AF small subunit, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7873at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7873at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7873at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:05:14 2026
# [ok]
