#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72577.1           -            335 8091at5820           -            238  1.4e-169  560.0  12.3   1   1  1.6e-171  1.9e-169  559.6  12.3     1   238    96   333    96   333 1.00 casein kinase 2, alpha subunit, putative [Plasmodium vivax]
SCO73517.1           -            288 8091at5820           -            238   1.9e-34  117.7   0.0   1   1     2e-36   2.4e-34  117.4   0.0     2   235    61   286    60   288 0.89 protein kinase 5 [Plasmodium vivax]
SCO70370.1           -            483 8091at5820           -            238   8.8e-32  109.0   0.1   1   1   3.6e-33   4.2e-31  106.8   0.1    42   238   212   399   184   399 0.89 glycogen synthase kinase 3, putative [Plasmodium vivax]
SCO74019.1           -            305 8091at5820           -            238   2.3e-30  104.3   0.9   1   2   1.6e-22   1.8e-20   71.9   0.1    20   160    97   234    91   240 0.89 CDK-related protein kinase 6, putative [Plasmodium vivax]
SCO74019.1           -            305 8091at5820           -            238   2.3e-30  104.3   0.9   2   2   5.5e-10   6.4e-08   30.9   0.1   188   236   247   296   237   298 0.84 CDK-related protein kinase 6, putative [Plasmodium vivax]
SCO74767.1           -            722 8091at5820           -            238   9.5e-30  102.3   1.5   1   1   1.2e-31   1.4e-29  101.8   1.5     2   235    79   311    78   314 0.83 mitogen-activated protein kinase 1, putative [Plasmodium vivax]
SCO71430.1           -            612 8091at5820           -            238   1.5e-29  101.7   3.6   1   1   1.8e-31   2.1e-29  101.2   3.6     3   235   328   571   326   574 0.80 cdc2-related protein kinase 1, putative [Plasmodium vivax]
SCO71375.1           -           1590 8091at5820           -            238   7.1e-25   86.4   0.0   1   1   9.8e-27   1.1e-24   85.7   0.0    37   234   904  1108   898  1110 0.83 CDK-related kinase 3, putative [Plasmodium vivax]
SCO71288.1           -            807 8091at5820           -            238     1e-24   85.9   6.3   1   2   1.3e-07   1.5e-05   23.1   0.4    37    75   232   270   216   276 0.85 protein kinase 1, putative [Plasmodium vivax]
SCO71288.1           -            807 8091at5820           -            238     1e-24   85.9   6.3   2   2   3.5e-20   4.1e-18   64.3   0.3    76   237   576   728   559   729 0.84 protein kinase 1, putative [Plasmodium vivax]
SCO74371.1           -            861 8091at5820           -            238   1.5e-20   72.2   0.8   1   2   1.3e-21   1.5e-19   68.9   0.7    16   148   552   685   539   702 0.85 serine/threonine protein kinase KIN, putative [Plasmodium vivax]
SCO74371.1           -            861 8091at5820           -            238   1.5e-20   72.2   0.8   2   2      0.85        99    0.8   0.0   208   235   709   736   702   739 0.90 serine/threonine protein kinase KIN, putative [Plasmodium vivax]
SCO74013.1           -            563 8091at5820           -            238   1.5e-20   72.2   5.3   1   2   2.1e-21   2.4e-19   68.3   4.0     1   156   176   331   176   339 0.84 calcium-dependent protein kinase 5, putative [Plasmodium vivax]
SCO74013.1           -            563 8091at5820           -            238   1.5e-20   72.2   5.3   2   2      0.18        20    3.0   0.0   201   236   343   378   330   380 0.84 calcium-dependent protein kinase 5, putative [Plasmodium vivax]
SCO71015.1           -            526 8091at5820           -            238   3.2e-20   71.1   8.9   1   2   2.4e-18   2.8e-16   58.2   5.0     1   156   128   283   128   293 0.85 calcium-dependent protein kinase 1, putative [Plasmodium vivax]
SCO71015.1           -            526 8091at5820           -            238   3.2e-20   71.1   8.9   2   2   6.2e-05    0.0072   14.3   0.1   202   232   296   326   285   332 0.85 calcium-dependent protein kinase 1, putative [Plasmodium vivax]
SCO70858.1           -            529 8091at5820           -            238   5.3e-20   70.4   8.4   1   3       2.5     3e+02   -0.8   0.1    87   106    87   106    59   143 0.70 calcium-dependent protein kinase 4, putative [Plasmodium vivax]
SCO70858.1           -            529 8091at5820           -            238   5.3e-20   70.4   8.4   2   3   4.2e-18   4.9e-16   57.4   3.7    35   166   164   295   129   303 0.86 calcium-dependent protein kinase 4, putative [Plasmodium vivax]
SCO70858.1           -            529 8091at5820           -            238   5.3e-20   70.4   8.4   3   3   7.3e-05    0.0085   14.1   0.1   203   234   299   330   290   333 0.89 calcium-dependent protein kinase 4, putative [Plasmodium vivax]
