#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73444.1           -           1127 2381at5820           -            857         0 1795.5  69.0   1   5      0.11        85   -0.7   0.1     6    21    32    47    27    59 0.84 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO73444.1           -           1127 2381at5820           -            857         0 1795.5  69.0   2   5   1.3e-54     1e-51  174.4  10.9    10   121   157   274   148   281 0.91 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO73444.1           -           1127 2381at5820           -            857         0 1795.5  69.0   3   5   8.8e-34   6.9e-31  105.5   1.8   119   180   307   368   285   383 0.91 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO73444.1           -           1127 2381at5820           -            857         0 1795.5  69.0   4   5  1.4e-198  1.1e-195  650.7  15.6   179   475   393   694   381   698 0.98 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO73444.1           -           1127 2381at5820           -            857         0 1795.5  69.0   5   5  2.3e-269  1.8e-266  884.9  13.8   467   856   736  1125   731  1126 0.99 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO71671.1           -           1218 2381at5820           -            857  4.9e-201  668.4  11.0   1   2      0.21   1.6e+02   -1.6   0.0   247   297   257   311   242   326 0.80 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO71671.1           -           1218 2381at5820           -            857  4.9e-201  668.4  11.0   2   2  2.7e-202  2.1e-199  663.0  10.4   201   853   547  1181   378  1184 0.92 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO71932.1           -            840 2381at5820           -            857  3.1e-166  553.3   1.7   1   1  4.7e-167  3.7e-164  546.4   1.7   205   853   181   819   164   823 0.92 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO75563.1           -           1081 2381at5820           -            857  1.4e-153  511.4  28.6   1   2   3.7e-72   2.9e-69  232.4  10.9   191   453   371   630   362   661 0.89 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative [Plasmodium vivax]
SCO75563.1           -           1081 2381at5820           -            857  1.4e-153  511.4  28.6   2   2     9e-87     7e-84  280.8   9.7   493   854   706  1077   699  1080 0.92 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative [Plasmodium vivax]
SCO71286.1           -            824 2381at5820           -            857  1.7e-121  405.3  12.0   1   4   6.5e-53   5.1e-50  168.8   0.8   212   419     3   234     1   241 0.86 ATP-dependent RNA helicase prh1, putative [Plasmodium vivax]
