#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75342.1           -            164 12598at5820          -            148    5e-105  346.1   0.2   1   1  1.3e-107  5.6e-105  345.9   0.2     1   148     1   148     1   148 1.00 ubiquitin-conjugating enzyme, putative [Plasmodium vivax]
SCO72355.1           -            160 12598at5820          -            148     2e-58  194.9   0.5   1   1     5e-61   2.3e-58  194.7   0.5     1   148     1   148     1   148 0.99 ubiquitin-conjugating enzyme, putative [Plasmodium vivax]
SCO74616.1           -            147 12598at5820          -            148   9.3e-40  134.3   0.1   1   1   2.4e-42   1.1e-39  134.1   0.1     5   142     2   139     1   144 0.97 ubiquitin-conjugating enzyme E2, putative [Plasmodium vivax]
SCO71906.1           -            159 12598at5820          -            148   1.5e-35  120.7   0.0   1   1   4.1e-38   1.8e-35  120.4   0.0     4   143     3   150     1   154 0.92 SUMO-conjugating enzyme UBC9, putative [Plasmodium vivax]
SCO73068.1           -            152 12598at5820          -            148   3.1e-34  116.4   0.0   1   1   8.4e-37   3.8e-34  116.1   0.0     7   134     5   132     2   144 0.95 ubiquitin-conjugating enzyme E2 N, putative [Plasmodium vivax]
SCO73523.1           -            202 12598at5820          -            148   1.6e-30  104.4   0.1   1   1   4.7e-33   2.1e-30  103.9   0.1     8   134    13   140     6   148 0.92 ubiquitin-conjugating enzyme, putative [Plasmodium vivax]
SCO71965.1           -            163 12598at5820          -            148   2.4e-28   97.3   0.5   1   1   8.1e-30   3.6e-27   93.5   0.5     1   143     1   158     1   162 0.89 ubiquitin-conjugating enzyme, putative [Plasmodium vivax]
SCO73793.1           -            152 12598at5820          -            148   2.6e-26   90.7   0.0   1   1   6.7e-29     3e-26   90.5   0.0     6   130     3   128     1   138 0.88 ubiquitin-conjugating enzyme E2, putative [Plasmodium vivax]
SCO71709.1           -            191 12598at5820          -            148   3.6e-20   70.7   0.0   1   1   1.1e-22   4.8e-20   70.3   0.0    37   146    35   146     7   148 0.90 ubiquitin-conjugating enzyme, putative [Plasmodium vivax]
SCO75692.1           -            150 12598at5820          -            148   5.9e-20   70.1   0.0   1   1   1.5e-22   6.8e-20   69.9   0.0    16   137    21   142     2   148 0.92 NEDD8-conjugating enzyme UBC12, putative [Plasmodium vivax]
SCO74936.1           -            283 12598at5820          -            148   1.9e-15   55.4   0.1   1   1   8.2e-18   3.7e-15   54.5   0.1    34   116   167   250   138   261 0.90 ubiquitin-conjugating enzyme, putative [Plasmodium vivax]
SCO73942.1           -            262 12598at5820          -            148   5.8e-13   47.4   0.3   1   1   2.1e-15   9.3e-13   46.7   0.3     8   117   122   232   116   242 0.88 ubiquitin-conjugating enzyme E2, putative [Plasmodium vivax]
SCO72452.1           -            139 12598at5820          -            148   3.2e-11   41.7   0.0   1   1   7.8e-14   3.5e-11   41.6   0.0    30   125    35   135     8   139 0.82 ubiquitin-conjugating enzyme E2, putative [Plasmodium vivax]
SCO75677.1           -            624 12598at5820          -            148   1.3e-09   36.5   0.1   1   1   4.4e-12     2e-09   35.9   0.1     3   147   167   315   165   316 0.85 ubiquitin-conjugating enzyme E2, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12598at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12598at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12598at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:30:05 2026
# [ok]
