#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74513.1           -           1993 1110at5820           -            876         0 1273.4 160.8   1  10   6.5e-21   4.1e-17   60.1   1.3     1    39     1    39     1    45 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74513.1           -           1993 1110at5820           -            876         0 1273.4 160.8   2  10    0.0007       4.4    3.8   0.0    47    66   219   238   214   253 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74513.1           -           1993 1110at5820           -            876         0 1273.4 160.8   3  10     6e-41   3.8e-37  126.4   2.0    64   142   263   345   258   349 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74513.1           -           1993 1110at5820           -            876         0 1273.4 160.8   4  10   1.3e-06    0.0081   12.8   0.4   136   183   431   480   414   487 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74513.1           -           1993 1110at5820           -            876         0 1273.4 160.8   5  10   6.3e-12     4e-08   30.4   3.6   167   204   488   525   483   540 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74513.1           -           1993 1110at5820           -            876         0 1273.4 160.8   6  10   1.6e-09   9.8e-06   22.5   0.0   195   233   891   931   857   962 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74513.1           -           1993 1110at5820           -            876         0 1273.4 160.8   7  10   1.2e-11   7.8e-08   29.4   0.1   227   270  1001  1044   987  1061 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74513.1           -           1993 1110at5820           -            876         0 1273.4 160.8   8  10  8.2e-119  5.2e-115  384.0  55.3   270   517  1167  1414  1162  1420 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74513.1           -           1993 1110at5820           -            876         0 1273.4 160.8   9  10     2e-23   1.2e-19   68.5  10.9   510   583  1449  1537  1442  1543 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74513.1           -           1993 1110at5820           -            876         0 1273.4 160.8  10  10    2e-173  1.2e-169  564.8  38.2   578   876  1672  1993  1669  1993 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1110at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1110at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1110at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:31:51 2026
# [ok]
