#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74520.1           -           1706 866at5820            -            888         0 1261.9 162.8   1   9  1.4e-184  8.5e-181  601.8  21.2     1   259     1   259     1   294 0.99 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74520.1           -           1706 866at5820            -            888         0 1261.9 162.8   2   9   1.1e-07   0.00069   16.4   4.2   246   283   340   378   327   385 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74520.1           -           1706 866at5820            -            888         0 1261.9 162.8   3   9   8.9e-06     0.056   10.1   5.6   220   326   390   504   382   518 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74520.1           -           1706 866at5820            -            888         0 1261.9 162.8   4   9   2.4e-06     0.015   12.0   0.2   306   354   612   663   598   677 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74520.1           -           1706 866at5820            -            888         0 1261.9 162.8   5   9     0.018   1.1e+02   -0.9   0.2   341   369   695   723   683   735 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74520.1           -           1706 866at5820            -            888         0 1261.9 162.8   6   9   3.5e-16   2.2e-12   44.5   0.1   364   438   775   858   749   872 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74520.1           -           1706 866at5820            -            888         0 1261.9 162.8   7   9  5.9e-125  3.7e-121  404.4  61.0   478   745  1181  1478  1157  1481 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74520.1           -           1706 866at5820            -            888         0 1261.9 162.8   8   9   1.5e-49   9.6e-46  154.9  10.4   746   843  1510  1610  1506  1613 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74520.1           -           1706 866at5820            -            888         0 1261.9 162.8   9   9   5.3e-20   3.3e-16   57.2   5.9   844   888  1662  1706  1660  1706 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/866at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/866at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/866at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:06:51 2026
# [ok]
