#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72233.1           -            242 11192at5820          -            221    5e-141  466.0   5.4   1   1  4.5e-144  5.6e-141  465.9   5.4     1   221     9   240     9   240 0.97 adenylate kinase, putative [Plasmodium vivax]
SCO71378.1           -            231 11192at5820          -            221   3.2e-23   80.8   0.7   1   1   3.7e-26   4.7e-23   80.3   0.7    22   202     8   206     2   219 0.76 GTP:AMP phosphotransferase, putative [Plasmodium vivax]
SCO70581.1           -            373 11192at5820          -            221   7.2e-14   50.3   5.3   1   3   7.5e-10   9.4e-07   27.0   0.2    24    79   108   172    96   224 0.75 UMP-CMP kinase, putative [Plasmodium vivax]
SCO70581.1           -            373 11192at5820          -            221   7.2e-14   50.3   5.3   2   3   0.00046      0.58    8.1   0.1    59   109   231   281   198   315 0.62 UMP-CMP kinase, putative [Plasmodium vivax]
SCO70581.1           -            373 11192at5820          -            221   7.2e-14   50.3   5.3   3   3   8.6e-07    0.0011   17.0   0.1   168   210   315   357   299   366 0.84 UMP-CMP kinase, putative [Plasmodium vivax]
SCO71341.1           -            259 11192at5820          -            221   2.8e-06   25.5   0.2   1   2   7.6e-07   0.00096   17.2   0.1    22   140     9   148     2   161 0.73 adenylate kinase 2, putative [Plasmodium vivax]
SCO71341.1           -            259 11192at5820          -            221   2.8e-06   25.5   0.2   2   2    0.0075       9.5    4.1   0.0   163   196   191   227   178   236 0.78 adenylate kinase 2, putative [Plasmodium vivax]
SCO72451.1           -            892 11192at5820          -            221   0.00047   18.2   0.2   1   3      0.71   8.9e+02   -2.3   0.0    21    55   421   455   408   463 0.69 P-loop containing nucleoside triphosphate hydrolase, putative [Plasmodium vivax]
SCO72451.1           -            892 11192at5820          -            221   0.00047   18.2   0.2   2   3   1.2e-05     0.015   13.2   0.0    75   108   515   549   497   554 0.89 P-loop containing nucleoside triphosphate hydrolase, putative [Plasmodium vivax]
SCO72451.1           -            892 11192at5820          -            221   0.00047   18.2   0.2   3   3     0.046        57    1.5   0.1   161   203   792   834   784   848 0.76 P-loop containing nucleoside triphosphate hydrolase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11192at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11192at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11192at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:32:07 2026
# [ok]
