#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74952.1           -            519 6879at5820           -            333  1.1e-173  575.3  30.2   1   3  2.3e-104  3.6e-101  336.9  10.1     1   200     1   222     1   237 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74952.1           -            519 6879at5820           -            333  1.1e-173  575.3  30.2   2   3     0.035        55    1.0   0.4   183   221   306   344   280   350 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74952.1           -            519 6879at5820           -            333  1.1e-173  575.3  30.2   3   3   4.2e-77   6.6e-74  247.3   5.7   200   333   386   519   363   519 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74860.1           -            173 6879at5820           -            333   1.8e-06   25.6   2.9   1   2   2.2e-06    0.0034   14.8   1.7    32    86     3    55     1    59 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74860.1           -            173 6879at5820           -            333   1.8e-06   25.6   2.9   2   2     4e-05     0.063   10.7   0.0   126   161    61    96    55   169 0.62 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70789.1           -            285 6879at5820           -            333   0.00024   18.6   0.2   1   2      0.29   4.6e+02   -2.0   0.0    39    60   128   149   121   158 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70789.1           -            285 6879at5820           -            333   0.00024   18.6   0.2   2   2   4.8e-07   0.00076   17.0   0.1    31   114   181   267   166   280 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72197.1           -            723 6879at5820           -            333    0.0022   15.4   0.1   1   3   1.4e-06    0.0022   15.4   0.1   286   328    21    63    10    67 0.90 DnaJ protein, putative [Plasmodium vivax]
SCO72197.1           -            723 6879at5820           -            333    0.0022   15.4   0.1   2   3       3.9   6.1e+03   -5.7   7.0   202   245   220   265   194   292 0.61 DnaJ protein, putative [Plasmodium vivax]
SCO72197.1           -            723 6879at5820           -            333    0.0022   15.4   0.1   3   3       2.4   3.8e+03   -5.0  10.6   181   253   610   684   598   692 0.79 DnaJ protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6879at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6879at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6879at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:54:31 2026
# [ok]
