#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70811.1           -           2099 326at5820            -           1464         0 1644.9  28.3   1   9   8.8e-33   5.5e-29   99.0   0.0     1    74     1    73     1    79 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70811.1           -           2099 326at5820            -           1464         0 1644.9  28.3   2   9   1.2e-79   7.6e-76  254.3   0.0    73   241   113   287   107   295 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70811.1           -           2099 326at5820            -           1464         0 1644.9  28.3   3   9   5.5e-54   3.5e-50  169.2   0.0   250   447   351   611   335   615 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70811.1           -           2099 326at5820            -           1464         0 1644.9  28.3   4   9   5.7e-71   3.6e-67  225.5   4.9   466   683   684   975   676   978 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70811.1           -           2099 326at5820            -           1464         0 1644.9  28.3   5   9   1.5e-62   9.4e-59  197.6   1.1   683   823  1013  1165  1009  1167 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70811.1           -           2099 326at5820            -           1464         0 1644.9  28.3   6   9   1.3e-14   8.1e-11   38.8   0.0   823   884  1191  1274  1187  1280 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70811.1           -           2099 326at5820            -           1464         0 1644.9  28.3   7   9  2.3e-126  1.4e-122  409.1   1.0   884  1269  1320  1822  1315  1831 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70811.1           -           2099 326at5820            -           1464         0 1644.9  28.3   8   9   1.1e-43   6.7e-40  135.1   0.4  1263  1365  1858  1959  1842  1962 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70811.1           -           2099 326at5820            -           1464         0 1644.9  28.3   9   9   7.6e-36   4.8e-32  109.1   0.5  1367  1464  1990  2099  1988  2099 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/326at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/326at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/326at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:38:10 2026
# [ok]
