#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74545.1           -            928 3557at5820           -            694         0 1100.1  77.8   1   3   3.2e-85   3.3e-82  275.6  11.0     1   247     1   259     1   269 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74545.1           -            928 3557at5820           -            694         0 1100.1  77.8   2   3     9e-05     0.094    9.7   1.1   180   226   320   372   299   376 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74545.1           -            928 3557at5820           -            694         0 1100.1  77.8   3   3  4.4e-250  4.6e-247  820.5  50.7   220   694   389   920   379   920 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73444.1           -           1127 3557at5820           -            694   7.6e-49  165.4  23.0   1   5       5.3   5.5e+03   -6.1   2.9   193   246   163   221   143   254 0.47 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO73444.1           -           1127 3557at5820           -            694   7.6e-49  165.4  23.0   2   5       1.2   1.2e+03   -3.9   4.2   162   254   333   432   317   454 0.64 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO73444.1           -           1127 3557at5820           -            694   7.6e-49  165.4  23.0   3   5   7.9e-14   8.3e-11   39.6   3.0    19   162   437   590   414   607 0.77 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO73444.1           -           1127 3557at5820           -            694   7.6e-49  165.4  23.0   4   5     0.012        12    2.7   0.5   277   321   612   660   601   676 0.77 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO73444.1           -           1127 3557at5820           -            694   7.6e-49  165.4  23.0   5   5   1.9e-44     2e-41  140.8  12.2   338   685   765  1115   755  1127 0.87 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO71671.1           -           1218 3557at5820           -            694   1.2e-45  154.7  14.8   1   3   2.6e-11   2.7e-08   31.3   0.4    11   162   556   717   546   729 0.66 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO71671.1           -           1218 3557at5820           -            694   1.2e-45  154.7  14.8   2   3     0.017        18    2.2   0.0   277   326   739   787   728   798 0.83 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO71671.1           -           1218 3557at5820           -            694   1.2e-45  154.7  14.8   3   3   1.1e-39   1.2e-36  125.1   6.3   360   685   844  1174   818  1182 0.84 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO71932.1           -            840 3557at5820           -            694   1.3e-42  144.8   8.1   1   3     3e-14   3.2e-11   41.0   0.6    10   169   185   355   177   361 0.68 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO71932.1           -            840 3557at5820           -            694   1.3e-42  144.8   8.1   2   3    0.0001      0.11    9.5   0.2   277   328   369   419   365   433 0.86 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO71932.1           -            840 3557at5820           -            694   1.3e-42  144.8   8.1   3   3     2e-31   2.1e-28   97.8   0.1   359   685   478   812   460   820 0.84 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO75563.1           -           1081 3557at5820           -            694   4.7e-42  142.9  44.8   1   4         6   6.3e+03   -6.9   3.5   195   257    49   114    20   133 0.64 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative [Plasmodium vivax]
SCO75563.1           -           1081 3557at5820           -            694   4.7e-42  142.9  44.8   2   4   3.5e-12   3.7e-09   34.2   1.8    10   168   391   560   382   564 0.81 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative [Plasmodium vivax]
SCO75563.1           -           1081 3557at5820           -            694   4.7e-42  142.9  44.8   3   4   1.3e-05     0.014   12.5   0.7   277   329   575   626   571   631 0.89 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative [Plasmodium vivax]
SCO75563.1           -           1081 3557at5820           -            694   4.7e-42  142.9  44.8   4   4   3.3e-37   3.4e-34  116.9  16.8   358   675   730  1059   713  1079 0.80 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative [Plasmodium vivax]
SCO71286.1           -            824 3557at5820           -            694   2.5e-30  104.1  16.2   1   3   6.4e-13   6.7e-10   36.6   1.5    87   167   111   192   107   195 0.89 ATP-dependent RNA helicase prh1, putative [Plasmodium vivax]
