#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73318.1           -            328 13894at5820          -            261    5e-120  398.7  87.2   1   2  1.3e-104  3.4e-102  340.2  54.6     1   207     7   245     7   246 0.92 serine/arginine-rich splicing factor 12, putative [Plasmodium vivax]
SCO73318.1           -            328 13894at5820          -            261    5e-120  398.7  87.2   2   2   2.1e-20   5.4e-18   64.2  31.5   182   258   233   313   228   316 0.86 serine/arginine-rich splicing factor 12, putative [Plasmodium vivax]
SCO72755.1           -           1054 13894at5820          -            261   6.6e-30  103.3  30.7   1   1   2.5e-32   6.6e-30  103.3  30.7     6   220     6   222     2   228 0.69 RNA-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 13894at5820          -            261   6.3e-16   57.5   3.8   1   4   2.9e-06   0.00077   17.8   0.0     7    76    17    86    13   100 0.92 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 13894at5820          -            261   6.3e-16   57.5   3.8   2   4   0.00018     0.047   12.0   0.2    20    79   118   176    99   195 0.82 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 13894at5820          -            261   6.3e-16   57.5   3.8   3   4     0.002      0.54    8.5   0.1    24    73   211   258   193   275 0.77 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 13894at5820          -            261   6.3e-16   57.5   3.8   4   4   7.5e-06     0.002   16.5   0.0     2    91   445   531   444   551 0.85 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75286.1           -            124 13894at5820          -            261   4.5e-12   44.8   0.8   1   1     2e-14   5.3e-12   44.6   0.8    24    84    26    86    18   118 0.81 RNA-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 13894at5820          -            261     1e-09   37.1   9.8   1   4   0.00021     0.056   11.7   0.1    22    80    34    87    16   103 0.84 poly(A)-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 13894at5820          -            261     1e-09   37.1   9.8   2   4   1.2e-06   0.00032   19.1   0.1    24    82   136   194   128   206 0.86 poly(A)-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 13894at5820          -            261     1e-09   37.1   9.8   3   4   0.00035     0.091   11.0   0.1    22    79   225   281   206   303 0.75 poly(A)-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 13894at5820          -            261     1e-09   37.1   9.8   4   4         4     1e+03   -2.3   0.2   114   146   355   387   344   391 0.75 poly(A)-binding protein, putative [Plasmodium vivax]
SCO73179.1           -            316 13894at5820          -            261   2.6e-09   35.8  60.9   1   3   1.7e-10   4.5e-08   31.7   0.1    16   113    18   111     5   131 0.80 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
SCO73179.1           -            316 13894at5820          -            261   2.6e-09   35.8  60.9   2   3   0.00029     0.077   11.3  20.6    47   143   144   249   141   252 0.78 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
SCO73179.1           -            316 13894at5820          -            261   2.6e-09   35.8  60.9   3   3       1.2   3.1e+02   -0.5  33.2   111   176   245   313   242   316 0.73 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
SCO72564.1           -            753 13894at5820          -            261   3.7e-09   35.3   0.1   1   3       6.5   1.7e+03   -2.9   2.0   227   250   195   218   161   236 0.50 nucleic acid binding protein, putative [Plasmodium vivax]
SCO72564.1           -            753 13894at5820          -            261   3.7e-09   35.3   0.1   2   3   2.7e-05     0.007   14.7   3.2    10    83   367   439   363   497 0.84 nucleic acid binding protein, putative [Plasmodium vivax]
SCO72564.1           -            753 13894at5820          -            261   3.7e-09   35.3   0.1   3   3   1.4e-11   3.7e-09   35.3   0.1     7    82   664   740   659   752 0.89 nucleic acid binding protein, putative [Plasmodium vivax]
SCO75004.1           -            119 13894at5820          -            261   1.4e-08   33.4   0.1   1   2       8.1   2.1e+03   -3.3   0.5   235   237     9    11     2    27 0.43 RNA-binding protein, putative [Plasmodium vivax]
SCO75004.1           -            119 13894at5820          -            261   1.4e-08   33.4   0.1   2   2   5.5e-11   1.4e-08   33.4   0.1    13    79    42   108    33   119 0.85 RNA-binding protein, putative [Plasmodium vivax]
SCO74870.1           -            475 13894at5820          -            261   7.8e-07   27.7   0.5   1   2   2.8e-06   0.00075   17.9   0.0     2    78    16    92    15   105 0.89 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO74870.1           -            475 13894at5820          -            261   7.8e-07   27.7   0.5   2   2    0.0029      0.76    8.0   0.2     8    87   109   187   101   199 0.86 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO72166.1           -            318 13894at5820          -            261   4.8e-06   25.1  50.8   1   1   1.8e-08   4.8e-06   25.1  50.8     2   235    82   304    81   317 0.57 RNA-binding protein, putative [Plasmodium vivax]
SCO72795.1           -            156 13894at5820          -            261     1e-05   24.0  12.3   1   1   7.3e-08   1.9e-05   23.1  12.3     8   139     6   151     3   156 0.66 RNA-binding protein s1, putative [Plasmodium vivax]
SCO71595.1           -            544 13894at5820          -            261   1.9e-05   23.1   4.3   1   2   7.1e-08   1.9e-05   23.1   4.3    22   106    29   112    17   137 0.88 serine/arginine-rich splicing factor 4, putative [Plasmodium vivax]
SCO71595.1           -            544 13894at5820          -            261   1.9e-05   23.1   4.3   2   2      0.56   1.5e+02    0.5  50.9    42   228   141   330   122   349 0.61 serine/arginine-rich splicing factor 4, putative [Plasmodium vivax]
SCO71267.1           -            292 13894at5820          -            261   2.5e-05   22.7   0.4   1   2     0.014       3.8    5.8   0.0    25    67    26    67     8    76 0.82 RNA-binding protein, putative [Plasmodium vivax]
SCO71267.1           -            292 13894at5820          -            261   2.5e-05   22.7   0.4   2   2   2.1e-05    0.0055   15.1   0.1    25    81   174   229   167   238 0.83 RNA-binding protein, putative [Plasmodium vivax]
SCO73492.1           -            513 13894at5820          -            261   5.1e-05   21.7  16.4   1   3    0.0072       1.9    6.7   0.0    21    69   103   151    85   160 0.88 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 13894at5820          -            261   5.1e-05   21.7  16.4   2   3   0.00018     0.047   12.0   0.0    18    71   199   252   185   273 0.83 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 13894at5820          -            261   5.1e-05   21.7  16.4   3   3   0.00097      0.25    9.6   0.0    26    87   392   452   385   483 0.77 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO72090.1           -            725 13894at5820          -            261   0.00018   20.0   0.0   1   1   1.4e-06   0.00037   18.9   0.0     6    83     7    84     3    89 0.93 mRNA processing protein, putative [Plasmodium vivax]
SCO72051.1           -            287 13894at5820          -            261     0.001   17.4   6.4   1   3       1.6   4.1e+02   -0.9   0.0    80   105    21    47    12    63 0.75 RNA-binding protein, putative [Plasmodium vivax]
SCO72051.1           -            287 13894at5820          -            261     0.001   17.4   6.4   2   3   2.7e-05    0.0071   14.7   1.2    23    84    63   118    48   145 0.75 RNA-binding protein, putative [Plasmodium vivax]
SCO72051.1           -            287 13894at5820          -            261     0.001   17.4   6.4   3   3     0.035       9.1    4.5   0.1    25    81   229   284   222   287 0.85 RNA-binding protein, putative [Plasmodium vivax]
SCO71367.1           -            361 13894at5820          -            261    0.0012   17.2   0.1   1   2   4.7e-06    0.0012   17.2   0.1     3    79   115   189   113   211 0.84 RNA-binding protein, putative [Plasmodium vivax]
SCO71367.1           -            361 13894at5820          -            261    0.0012   17.2   0.1   2   2     0.021       5.4    5.2   0.1    20    79   216   273   201   296 0.75 RNA-binding protein, putative [Plasmodium vivax]
SCO73415.1           -            448 13894at5820          -            261    0.0013   17.1  37.1   1   2       1.7   4.4e+02   -1.0   0.9   130   158    61    89    53    95 0.67 U1 small nuclear ribonucleoprotein, putative [Plasmodium vivax]
SCO73415.1           -            448 13894at5820          -            261    0.0013   17.1  37.1   2   2   4.8e-06    0.0013   17.1  37.1     7   214    99   304    92   308 0.70 U1 small nuclear ribonucleoprotein, putative [Plasmodium vivax]
SCO75496.1           -            110 13894at5820          -            261    0.0024   16.3   0.2   1   1   1.1e-05     0.003   15.9   0.2     8    80    16    85    11   108 0.85 splicing factor 3B subunit 6, putative [Plasmodium vivax]
SCO74458.1           -            786 13894at5820          -            261     0.003   15.9   0.0   1   2   1.1e-05     0.003   15.9   0.0     8    78    31   101    25   116 0.89 RNA-binding protein, putative [Plasmodium vivax]
SCO74458.1           -            786 13894at5820          -            261     0.003   15.9   0.0   2   2       6.5   1.7e+03   -2.9   2.7   176   213   162   200   153   222 0.45 RNA-binding protein, putative [Plasmodium vivax]
SCO74222.1           -            911 13894at5820          -            261    0.0032   15.8   0.0   1   1   1.2e-05    0.0032   15.8   0.0     8    88   676   756   671   762 0.93 splicing factor U2AF large subunit, putative [Plasmodium vivax]
SCO71995.1           -            202 13894at5820          -            261    0.0045   15.3   0.0   1   1     3e-05    0.0079   14.5   0.0     7    65    72   130    66   167 0.87 RNA-binding protein, putative [Plasmodium vivax]
SCO71377.1           -            236 13894at5820          -            261    0.0064   14.8   0.0   1   3       2.2   5.7e+02   -1.4   0.7   171   188     3    20     1    35 0.73 nuclear cap-binding protein, putative [Plasmodium vivax]
SCO71377.1           -            236 13894at5820          -            261    0.0064   14.8   0.0   2   3   2.4e-05    0.0064   14.8   0.0     9    79    37   107    29   116 0.90 nuclear cap-binding protein, putative [Plasmodium vivax]
SCO71377.1           -            236 13894at5820          -            261    0.0064   14.8   0.0   3   3       1.2   3.1e+02   -0.5   1.7   187   217   126   156   114   178 0.48 nuclear cap-binding protein, putative [Plasmodium vivax]
SCO74967.1           -            503 13894at5820          -            261     0.027   12.8   0.0   1   4     0.024       6.2    5.0   0.0    22    72    98   148    81   159 0.88 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO74967.1           -            503 13894at5820          -            261     0.027   12.8   0.0   2   4      0.15        38    2.4   0.0    16    70   190   243   177   259 0.74 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO74967.1           -            503 13894at5820          -            261     0.027   12.8   0.0   3   4         6   1.6e+03   -2.8   7.2   172   253   259   340   253   348 0.67 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO74967.1           -            503 13894at5820          -            261     0.027   12.8   0.0   4   4    0.0001     0.027   12.8   0.0    26    81   414   469   409   494 0.88 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13894at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13894at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13894at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:33:49 2026
# [ok]
