#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72454.1           -           3694 224at5820            -           1959         0 3326.5 347.6   1  12  5.9e-169  3.7e-165  550.1  30.7     1   258     1   258     1   267 0.99 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72454.1           -           3694 224at5820            -           1959         0 3326.5 347.6   2  12  5.9e-120  3.7e-116  387.7  34.4   255   509   598   865   594   873 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72454.1           -           3694 224at5820            -           1959         0 3326.5 347.6   3  12   1.8e-52   1.1e-48  163.9   9.5   509   610  1051  1153  1042  1156 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72454.1           -           3694 224at5820            -           1959         0 3326.5 347.6   4  12   3.4e-84   2.1e-80  269.1  23.6   613   769  1222  1378  1211  1382 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72454.1           -           3694 224at5820            -           1959         0 3326.5 347.6   5  12   4.2e-58   2.6e-54  182.6   4.4   768   868  1443  1543  1435  1546 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72454.1           -           3694 224at5820            -           1959         0 3326.5 347.6   6  12  3.2e-149    2e-145  484.7  49.4   866  1172  1614  1945  1606  1955 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72454.1           -           3694 224at5820            -           1959         0 3326.5 347.6   7  12   3.2e-29     2e-25   86.8   0.7  1172  1242  2465  2535  2452  2554 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72454.1           -           3694 224at5820            -           1959         0 3326.5 347.6   8  12  1.6e-135  9.9e-132  439.3  41.3  1224  1478  2662  2927  2652  2934 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72454.1           -           3694 224at5820            -           1959         0 3326.5 347.6   9  12  3.8e-174  2.4e-170  567.4  47.9  1476  1749  2978  3251  2976  3260 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72454.1           -           3694 224at5820            -           1959         0 3326.5 347.6  10  12   1.4e-10     9e-07   24.9   0.0  1741  1795  3333  3403  3329  3411 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72454.1           -           3694 224at5820            -           1959         0 3326.5 347.6  11  12   1.5e-22   9.5e-19   64.7  14.3  1794  1865  3497  3577  3493  3582 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72454.1           -           3694 224at5820            -           1959         0 3326.5 347.6  12  12   8.8e-53   5.5e-49  164.9  16.0  1820  1959  3556  3694  3551  3694 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/224at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/224at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/224at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:39:08 2026
# [ok]
