#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74053.1           -           1171 2444at5820           -            765         0 1014.2  77.0   1   8   6.1e-81   1.9e-77  259.8  10.5     1   160    29   198    29   212 0.92 U3 small nucleolar RNA-associated protein 4, putative [Plasmodium vivax]
SCO74053.1           -           1171 2444at5820           -            765         0 1014.2  77.0   2   8   2.6e-17   8.3e-14   49.4   0.5   170   213   300   343   292   350 0.87 U3 small nucleolar RNA-associated protein 4, putative [Plasmodium vivax]
SCO74053.1           -           1171 2444at5820           -            765         0 1014.2  77.0   3   8   6.9e-68   2.2e-64  216.6   4.0   209   328   370   489   366   494 0.98 U3 small nucleolar RNA-associated protein 4, putative [Plasmodium vivax]
SCO74053.1           -           1171 2444at5820           -            765         0 1014.2  77.0   4   8   1.9e-41   6.1e-38  129.2   1.1   328   421   540   638   535   643 0.94 U3 small nucleolar RNA-associated protein 4, putative [Plasmodium vivax]
SCO74053.1           -           1171 2444at5820           -            765         0 1014.2  77.0   5   8   1.2e-32   3.6e-29  100.2   2.9   421   502   667   750   662   755 0.96 U3 small nucleolar RNA-associated protein 4, putative [Plasmodium vivax]
SCO74053.1           -           1171 2444at5820           -            765         0 1014.2  77.0   6   8   5.2e-46   1.6e-42  144.3   7.2   490   632   793   942   783   944 0.89 U3 small nucleolar RNA-associated protein 4, putative [Plasmodium vivax]
SCO74053.1           -           1171 2444at5820           -            765         0 1014.2  77.0   7   8   5.3e-31   1.7e-27   94.7   0.8   633   713   975  1058   973  1061 0.94 U3 small nucleolar RNA-associated protein 4, putative [Plasmodium vivax]
SCO74053.1           -           1171 2444at5820           -            765         0 1014.2  77.0   8   8   8.4e-20   2.6e-16   57.6   0.4   714   765  1118  1170  1113  1170 0.95 U3 small nucleolar RNA-associated protein 4, putative [Plasmodium vivax]
SCO71635.1           -            642 2444at5820           -            765     0.027   11.3   0.0   1   1   1.3e-05     0.042   10.7   0.0   228   332   398   504   365   549 0.75 cell division cycle protein 20 homolog, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2444at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2444at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2444at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:40:19 2026
# [ok]
