#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71141.1           -            191 12974at5820          -            164   7.5e-78  258.4  12.4   1   1   1.7e-80   8.7e-78  258.2  12.4    12   163    31   190    17   191 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71682.1           -            369 12974at5820          -            164   3.4e-37  126.2 125.4   1   8   3.8e-05      0.02   13.1   4.3    48    90    11    53     5    56 0.89 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 12974at5820          -            164   3.4e-37  126.2 125.4   2   8   1.2e-15   6.1e-13   47.3  11.0    18    90    48   122    48   124 0.93 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 12974at5820          -            164   3.4e-37  126.2 125.4   3   8   1.1e-09   5.7e-07   27.9   7.6    56   106   111   165   110   168 0.85 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 12974at5820          -            164   3.4e-37  126.2 125.4   4   8   8.6e-06    0.0045   15.3   8.1    56   106   134   188   133   190 0.81 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 12974at5820          -            164   3.4e-37  126.2 125.4   5   8   6.3e-13   3.3e-10   38.5  22.1     5   102   155   253   152   255 0.91 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 12974at5820          -            164   3.4e-37  126.2 125.4   6   8   9.3e-13   4.9e-10   37.9  21.2    13   103   186   277   182   282 0.88 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 12974at5820          -            164   3.4e-37  126.2 125.4   7   8   9.8e-09   5.1e-06   24.8   7.9    50   102   248   299   248   302 0.91 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 12974at5820          -            164   3.4e-37  126.2 125.4   8   8   9.3e-06    0.0048   15.1   0.7    50   104   294   348   294   357 0.57 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO72249.1           -            381 12974at5820          -            164   8.9e-28   95.6  39.6   1   2   1.7e-10   8.9e-08   30.5  13.4    46    93    43    90     5   107 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72249.1           -            381 12974at5820          -            164   8.9e-28   95.6  39.6   2   2     7e-23   3.7e-20   70.8  18.2     4   148   206   349   203   359 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72783.1           -           1002 12974at5820          -            164   2.1e-15   55.4  42.0   1   4       3.8     2e+03   -3.1   0.7    11    50    56    97    47   135 0.58 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO72783.1           -           1002 12974at5820          -            164   2.1e-15   55.4  42.0   2   4   4.4e-09   2.3e-06   25.9   4.8    16    90   170   246   160   250 0.87 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO72783.1           -           1002 12974at5820          -            164   2.1e-15   55.4  42.0   3   4   9.1e-09   4.8e-06   24.9   6.1    47   104   249   305   244   316 0.85 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
