#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73700.1           -            153 14675at5820          -            104   3.5e-60  199.4   4.5   1   2       1.3   2.9e+02    0.5   0.5     1     9     1     9     1    59 0.74 RNA and export factor binding protein, putative [Plasmodium vivax]
SCO73700.1           -            153 14675at5820          -            104   3.5e-60  199.4   4.5   2   2   1.5e-62   3.5e-60  199.4   4.5    11   104    60   153    38   153 0.96 RNA and export factor binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 14675at5820          -            104   3.2e-14   51.7   4.9   1   4     1e-05    0.0023   16.9   0.0    16    89    20    94    15   102 0.87 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 14675at5820          -            104   3.2e-14   51.7   4.9   2   4   3.2e-05    0.0072   15.3   0.3    14    83   106   175    97   192 0.89 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 14675at5820          -            104   3.2e-14   51.7   4.9   3   4       1.5   3.4e+02    0.3   0.1    16    77   197   256   178   261 0.75 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 14675at5820          -            104   3.2e-14   51.7   4.9   4   4   4.9e-06    0.0011   17.9   0.0    13    91   450   528   440   539 0.88 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO72209.1           -            250 14675at5820          -            104   2.3e-11   42.6   0.5   1   2   3.1e-06    0.0007   18.5   0.0    13    88    22    97    13   113 0.86 RNA-binding protein, putative [Plasmodium vivax]
SCO72209.1           -            250 14675at5820          -            104   2.3e-11   42.6   0.5   2   2   2.3e-07   5.2e-05   22.1   0.1     3    85   163   245   161   249 0.93 RNA-binding protein, putative [Plasmodium vivax]
SCO74870.1           -            475 14675at5820          -            104   5.7e-07   28.4   1.8   1   3    0.0052       1.2    8.2   0.0     7    48    14    56     9    73 0.85 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO74870.1           -            475 14675at5820          -            104   5.7e-07   28.4   1.8   2   3   2.3e-06   0.00052   18.9   0.4    11    85   106   180    97   193 0.86 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO74870.1           -            475 14675at5820          -            104   5.7e-07   28.4   1.8   3   3       3.2   7.1e+02   -0.8   0.1    41    78   177   215   159   236 0.65 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO75496.1           -            110 14675at5820          -            104   2.5e-06   26.4   0.0   1   1   1.2e-08   2.8e-06   26.2   0.0     9    82    11    82     3   103 0.85 splicing factor 3B subunit 6, putative [Plasmodium vivax]
SCO72090.1           -            725 14675at5820          -            104   3.2e-06   26.1   0.3   1   2     6e-08   1.4e-05   24.0   0.0    11    84     6    80     2    93 0.89 mRNA processing protein, putative [Plasmodium vivax]
SCO72090.1           -            725 14675at5820          -            104   3.2e-06   26.1   0.3   2   2       6.4   1.4e+03   -1.8   0.0    12    34   189   211   182   236 0.78 mRNA processing protein, putative [Plasmodium vivax]
SCO72684.1           -            208 14675at5820          -            104   3.2e-06   26.0   0.4   1   1   3.6e-08   8.1e-06   24.7   0.4    12    91     8    88     2    91 0.90 alternative splicing factor ASF-1, putative [Plasmodium vivax]
SCO73478.1           -            392 14675at5820          -            104   1.1e-05   24.3   1.7   1   3     0.099        22    4.1   0.1    54    84    56    86    17    95 0.80 poly(A)-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 14675at5820          -            104   1.1e-05   24.3   1.7   2   3     0.003      0.68    8.9   0.1    25   102   131   209   113   211 0.91 poly(A)-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 14675at5820          -            104   1.1e-05   24.3   1.7   3   3    0.0032      0.72    8.8   0.0    24    87   221   284   213   295 0.89 poly(A)-binding protein, putative [Plasmodium vivax]
SCO71964.1           -            475 14675at5820          -            104   1.4e-05   23.9   5.3   1   2    0.0001     0.023   13.6   0.4    13    75    96   158    90   191 0.82 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO71964.1           -            475 14675at5820          -            104   1.4e-05   23.9   5.3   2   2    0.0003     0.067   12.2   0.6     3    83   294   377   292   389 0.80 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO71354.1           -            269 14675at5820          -            104   3.3e-05   22.8   3.3   1   3       2.8   6.2e+02   -0.6   0.7    53    84    41    71    20    90 0.61 eukaryotic translation initiation factor 3 subunit G, putative [Plasmodium vivax]
SCO71354.1           -            269 14675at5820          -            104   3.3e-05   22.8   3.3   2   3       8.5   1.9e+03   -2.2   0.1     7    25    85   103    76   117 0.67 eukaryotic translation initiation factor 3 subunit G, putative [Plasmodium vivax]
SCO71354.1           -            269 14675at5820          -            104   3.3e-05   22.8   3.3   3   3   1.6e-07   3.6e-05   22.7   0.0     6    86   180   263   175   269 0.84 eukaryotic translation initiation factor 3 subunit G, putative [Plasmodium vivax]
SCO73492.1           -            513 14675at5820          -            104   3.9e-05   22.5   0.0   1   3       3.3   7.5e+02   -0.8   0.0    16    71    92   148    86   154 0.74 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 14675at5820          -            104   3.9e-05   22.5   0.0   2   3     0.015       3.3    6.7   0.0    14    86   189   263   183   275 0.85 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 14675at5820          -            104   3.9e-05   22.5   0.0   3   3   0.00043     0.096   11.7   0.0    25    88   385   449   376   462 0.83 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO71367.1           -            361 14675at5820          -            104   3.9e-05   22.5   2.9   1   3       2.6   5.9e+02   -0.5   0.3    65    90    28    54     9    70 0.60 RNA-binding protein, putative [Plasmodium vivax]
SCO71367.1           -            361 14675at5820          -            104   3.9e-05   22.5   2.9   2   3   0.00064      0.14   11.1   0.0    16    72   122   180   110   194 0.78 RNA-binding protein, putative [Plasmodium vivax]
SCO71367.1           -            361 14675at5820          -            104   3.9e-05   22.5   2.9   3   3   0.00098      0.22   10.5   0.0     9    69   199   259   189   295 0.86 RNA-binding protein, putative [Plasmodium vivax]
SCO75424.1           -           1120 14675at5820          -            104   6.6e-05   21.8   0.2   1   3       1.1   2.4e+02    0.8   0.3     4    37   705   738   702   770 0.73 RNA-binding protein, putative [Plasmodium vivax]
SCO75424.1           -           1120 14675at5820          -            104   6.6e-05   21.8   0.2   2   3      0.18        40    3.2   0.5    14    99   864   963   856   967 0.60 RNA-binding protein, putative [Plasmodium vivax]
SCO75424.1           -           1120 14675at5820          -            104   6.6e-05   21.8   0.2   3   3   2.9e-07   6.6e-05   21.8   0.2     5    82   972  1049   968  1064 0.91 RNA-binding protein, putative [Plasmodium vivax]
SCO75004.1           -            119 14675at5820          -            104   7.6e-05   21.6   0.1   1   1   5.2e-07   0.00012   21.0   0.1    16    85    39   109    22   118 0.84 RNA-binding protein, putative [Plasmodium vivax]
SCO75038.1           -            661 14675at5820          -            104   0.00011   21.1   0.0   1   1   2.8e-06   0.00062   18.7   0.0    14    84   168   242   157   258 0.85 U2 snRNP-associated SURP motif-containing protein, putative [Plasmodium vivax]
