#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71207.1           -             95 15143at5820          -             91   1.7e-59  196.5   4.2   1   1     3e-62   1.9e-59  196.3   4.2     1    91     1    91     1    91 0.99 U6 snRNA-associated Sm-like protein LSm8, putative [Plasmodium vivax]
SCO72730.1           -            149 15143at5820          -             91   9.6e-11   40.2   0.3   1   1   2.1e-13   1.3e-10   39.8   0.3     7    76    14    86    10    96 0.89 U6 snRNA-associated Sm-like protein LSm1, putative [Plasmodium vivax]
SCO71276.1           -             83 15143at5820          -             91   1.2e-06   27.2   0.4   1   1   2.2e-09   1.4e-06   26.9   0.4     7    69    15    74    11    82 0.88 small nuclear ribonucleoprotein G, putative [Plasmodium vivax]
SCO71300.1           -             91 15143at5820          -             91   1.6e-06   26.7   0.3   1   1   6.9e-09   4.4e-06   25.3   0.3     9    70    17    87    12    90 0.78 U6 snRNA-associated Sm-like protein LSm3, putative [Plasmodium vivax]
SCO73895.1           -             94 15143at5820          -             91   1.8e-05   23.4   0.1   1   1   3.4e-08   2.2e-05   23.1   0.1    20    72    38    88    15    93 0.86 small nuclear ribonucleoprotein E, putative [Plasmodium vivax]
SCO74481.1           -            101 15143at5820          -             91   0.00017   20.2   0.2   1   1   3.1e-07   0.00019   20.0   0.2    10    68    20    79    14    99 0.84 U6 snRNA-associated Sm-like protein LSm5, putative [Plasmodium vivax]
SCO74917.1           -            201 15143at5820          -             91    0.0002   20.0   0.1   1   1   4.7e-07   0.00029   19.5   0.1     6    71     7    78     3    97 0.72 small nuclear ribonucleoprotein-associated protein B, putative [Plasmodium vivax]
SCO74669.1           -            107 15143at5820          -             91   0.00032   19.3   0.1   1   1   6.7e-07   0.00042   19.0   0.1     5    74    19    94    16   105 0.85 U6 snRNA-associated Sm-like protein LSm7, putative [Plasmodium vivax]
SCO72756.1           -             86 15143at5820          -             91    0.0016   17.1   0.0   1   1   3.1e-06     0.002   16.8   0.0     8    71    16    77    12    83 0.77 U6 snRNA-associated Sm-like protein LSm6, putative [Plasmodium vivax]
SCO71005.1           -            101 15143at5820          -             91    0.0079   14.9   0.2   1   1   1.9e-05     0.012   14.3   0.2    13    69    31    96    22    99 0.72 small nuclear ribonucleoprotein Sm D2, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15143at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/15143at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15143at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:36:57 2026
# [ok]
