#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74231.1           -           1829 1067at5820           -            869         0 1600.3 108.0   1  10   1.9e-29   5.9e-26   89.8   0.4     1    51     1    51     1    83 0.95 rab GTPase activator, putative [Plasmodium vivax]
SCO74231.1           -           1829 1067at5820           -            869         0 1600.3 108.0   2  10  1.4e-137  4.5e-134  447.5   9.3    50   272   254   477   250   485 0.97 rab GTPase activator, putative [Plasmodium vivax]
SCO74231.1           -           1829 1067at5820           -            869         0 1600.3 108.0   3  10   3.7e-12   1.2e-08   32.6   0.4   263   295   553   585   545   591 0.89 rab GTPase activator, putative [Plasmodium vivax]
SCO74231.1           -           1829 1067at5820           -            869         0 1600.3 108.0   4  10   1.5e-22   4.7e-19   66.9   6.7   295   364   694   766   690   771 0.80 rab GTPase activator, putative [Plasmodium vivax]
SCO74231.1           -           1829 1067at5820           -            869         0 1600.3 108.0   5  10   1.2e-15   3.6e-12   44.1   7.3   318   382   774   839   770   871 0.81 rab GTPase activator, putative [Plasmodium vivax]
SCO74231.1           -           1829 1067at5820           -            869         0 1600.3 108.0   6  10     0.052   1.6e+02   -1.0   0.0   377   394   971   988   967  1004 0.81 rab GTPase activator, putative [Plasmodium vivax]
SCO74231.1           -           1829 1067at5820           -            869         0 1600.3 108.0   7  10   4.1e-06     0.013   12.6   3.3   389   425  1013  1049   993  1085 0.70 rab GTPase activator, putative [Plasmodium vivax]
SCO74231.1           -           1829 1067at5820           -            869         0 1600.3 108.0   8  10   0.00037       1.2    6.1   0.1   421   441  1256  1276  1252  1279 0.88 rab GTPase activator, putative [Plasmodium vivax]
SCO74231.1           -           1829 1067at5820           -            869         0 1600.3 108.0   9  10   0.00084       2.7    4.9   0.2   444   464  1368  1391  1344  1411 0.68 rab GTPase activator, putative [Plasmodium vivax]
SCO74231.1           -           1829 1067at5820           -            869         0 1600.3 108.0  10  10  8.3e-285  2.6e-281  934.6  26.1   464   869  1424  1829  1421  1829 1.00 rab GTPase activator, putative [Plasmodium vivax]
SCO72629.1           -            372 1067at5820           -            869     0.011   12.8  17.2   1   3     0.066   2.1e+02   -1.4   1.2   229   314     9    51     2    92 0.43 GTPase-activating protein, putative [Plasmodium vivax]
SCO72629.1           -            372 1067at5820           -            869     0.011   12.8  17.2   2   3   0.00011      0.35    7.8   0.1    76   130    93   147    60   154 0.83 GTPase-activating protein, putative [Plasmodium vivax]
SCO72629.1           -            372 1067at5820           -            869     0.011   12.8  17.2   3   3   1.3e-05     0.041   10.9   7.8   499   669   179   348   157   365 0.78 GTPase-activating protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1067at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1067at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1067at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:30:01 2026
# [ok]
