#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73645.1           -           1642 1628at5820           -           1124         0 1856.2 137.7   1   8   2.9e-28   2.6e-25   87.0  19.4     5   103    94   222    91   225 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73645.1           -           1642 1628at5820           -           1124         0 1856.2 137.7   2   8   2.8e-09   2.5e-06   24.2   0.1   102   130   256   284   252   289 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73645.1           -           1642 1628at5820           -           1124         0 1856.2 137.7   3   8   5.5e-08     5e-05   19.9   0.0   127   183   308   391   303   409 0.72 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73645.1           -           1642 1628at5820           -           1124         0 1856.2 137.7   4   8  2.5e-269  2.3e-266  885.3  52.5   162   631   429   910   412   913 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73645.1           -           1642 1628at5820           -           1124         0 1856.2 137.7   5   8   7.8e-73     7e-70  234.6   4.7   632   762   951  1090   949  1094 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73645.1           -           1642 1628at5820           -           1124         0 1856.2 137.7   6   8   1.6e-50   1.5e-47  160.7   0.6   762   847  1185  1270  1174  1272 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73645.1           -           1642 1628at5820           -           1124         0 1856.2 137.7   7   8   7.2e-55   6.5e-52  175.1   8.3   840   958  1304  1427  1293  1438 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73645.1           -           1642 1628at5820           -           1124         0 1856.2 137.7   8   8   8.2e-92   7.3e-89  297.5   8.5   954  1124  1453  1642  1447  1642 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 1628at5820           -           1124   8.4e-13   45.6  15.3   1   3   1.9e-10   1.7e-07   28.1   0.5   344   430   253   340   246   345 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 1628at5820           -           1124   8.4e-13   45.6  15.3   2   3   7.9e-08   7.1e-05   19.4   0.4   469   579   342   450   334   479 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 1628at5820           -           1124   8.4e-13   45.6  15.3   3   3   0.00013      0.12    8.7   5.0   455   551   439   534   439   567 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71909.1           -            719 1628at5820           -           1124   9.3e-09   32.2   0.7   1   3     1e-11   9.3e-09   32.2   0.7   362   503    63   213    54   216 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71909.1           -            719 1628at5820           -           1124   9.3e-09   32.2   0.7   2   3      0.12   1.1e+02   -1.1   0.1   252   314   379   443   372   452 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71909.1           -            719 1628at5820           -           1124   9.3e-09   32.2   0.7   3   3     0.029        26    0.9   0.5   448   490   538   580   523   614 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 1628at5820           -           1124    0.0017   14.8  42.8   1   2   0.00017      0.15    8.3   0.7   374   440   113   180    87   195 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 1628at5820           -           1124    0.0017   14.8  42.8   2   2   0.00014      0.12    8.6  15.8   501   598   401   495   357   512 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72244.1           -            817 1628at5820           -           1124    0.0065   12.9  59.6   1   2     4e-05     0.036   10.4  17.7   296   480   135   321   129   358 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72244.1           -            817 1628at5820           -           1124    0.0065   12.9  59.6   2   2   0.00017      0.15    8.3  33.9   354   550   551   756   490   775 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71085.1           -           1172 1628at5820           -           1124     0.033   10.5   7.9   1   2   4.7e-06    0.0042   13.5   0.7   316   429   283   397   278   411 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71085.1           -           1172 1628at5820           -           1124     0.033   10.5   7.9   2   2     0.062        56   -0.2   1.4   237   327   612   703   584   715 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71559.1           -            719 1628at5820           -           1124     0.048   10.0   5.0   1   2   0.00042      0.38    7.0   0.7   428   534   244   349   229   356 0.72 conserved Plasmodium protein, unknown function [Plasmodium vivax]
