#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73211.1           -           1011 3175at5820           -            591  1.6e-234  778.5   9.6   1   6   1.7e-08   1.8e-05   22.1   0.0    24    60   159   198   154   206 0.86 aspartate--tRNA ligase, putative [Plasmodium vivax]
SCO73211.1           -           1011 3175at5820           -            591  1.6e-234  778.5   9.6   2   6   2.3e-49   2.4e-46  157.1   0.1    59   166   218   336   212   342 0.90 aspartate--tRNA ligase, putative [Plasmodium vivax]
SCO73211.1           -           1011 3175at5820           -            591  1.6e-234  778.5   9.6   3   6   2.1e-19   2.2e-16   58.2   0.0   168   223   398   454   392   460 0.91 aspartate--tRNA ligase, putative [Plasmodium vivax]
SCO73211.1           -           1011 3175at5820           -            591  1.6e-234  778.5   9.6   4   6     5e-72   5.2e-69  231.9   0.2   225   358   520   659   517   669 0.94 aspartate--tRNA ligase, putative [Plasmodium vivax]
SCO73211.1           -           1011 3175at5820           -            591  1.6e-234  778.5   9.6   5   6   9.3e-16   9.8e-13   46.1   0.1   366   429   692   778   686   787 0.81 aspartate--tRNA ligase, putative [Plasmodium vivax]
SCO73211.1           -           1011 3175at5820           -            591  1.6e-234  778.5   9.6   6   6   1.9e-80     2e-77  259.8   0.1   434   591   835  1009   815  1009 0.89 aspartate--tRNA ligase, putative [Plasmodium vivax]
SCO70662.1           -            631 3175at5820           -            591   5.1e-53  179.1  20.1   1   3   4.5e-33   4.7e-30  103.3   9.0    60   321   176   445   114   461 0.76 aspartate--tRNA ligase, putative [Plasmodium vivax]
SCO70662.1           -            631 3175at5820           -            591   5.1e-53  179.1  20.1   2   3   2.3e-18   2.4e-15   54.7   1.2   438   535   487   586   464   586 0.84 aspartate--tRNA ligase, putative [Plasmodium vivax]
SCO70662.1           -            631 3175at5820           -            591   5.1e-53  179.1  20.1   3   3   4.2e-11   4.4e-08   30.8   0.2   544   590   574   620   569   621 0.86 aspartate--tRNA ligase, putative [Plasmodium vivax]
SCO73256.1           -            743 3175at5820           -            591   1.6e-10   38.8   0.8   1   4      0.13   1.4e+02   -0.6   0.0   170   221   351   402   344   410 0.81 asparagine--tRNA ligase, putative [Plasmodium vivax]
SCO73256.1           -            743 3175at5820           -            591   1.6e-10   38.8   0.8   2   4   5.3e-09   5.6e-06   23.8   0.7   261   355   484   584   459   597 0.80 asparagine--tRNA ligase, putative [Plasmodium vivax]
SCO73256.1           -            743 3175at5820           -            591   1.6e-10   38.8   0.8   3   4     0.061        64    0.5   0.0   460   509   625   673   611   692 0.70 asparagine--tRNA ligase, putative [Plasmodium vivax]
SCO73256.1           -            743 3175at5820           -            591   1.6e-10   38.8   0.8   4   4   0.00015      0.16    9.1   0.0   555   590   697   732   676   733 0.87 asparagine--tRNA ligase, putative [Plasmodium vivax]
SCO71072.1           -            584 3175at5820           -            591   6.5e-10   36.8   2.7   1   3   0.00018      0.18    8.9   1.3   249   335   330   410   318   447 0.58 asparagine--tRNA ligase, putative [Plasmodium vivax]
SCO71072.1           -            584 3175at5820           -            591   6.5e-10   36.8   2.7   2   3   0.00027      0.28    8.3   0.0   467   526   472   531   452   539 0.78 asparagine--tRNA ligase, putative [Plasmodium vivax]
SCO71072.1           -            584 3175at5820           -            591   6.5e-10   36.8   2.7   3   3   4.8e-07    0.0005   17.4   0.0   557   590   540   573   526   574 0.85 asparagine--tRNA ligase, putative [Plasmodium vivax]
SCO74897.1           -            677 3175at5820           -            591   2.7e-09   34.7   5.6   1   2   5.8e-09   6.1e-06   23.7   5.5   196   314   309   425   281   501 0.80 lysine--tRNA ligase, putative [Plasmodium vivax]
SCO74897.1           -            677 3175at5820           -            591   2.7e-09   34.7   5.6   2   2   0.00019       0.2    8.8   0.0   547   589   625   668   612   669 0.81 lysine--tRNA ligase, putative [Plasmodium vivax]
SCO73896.1           -            585 3175at5820           -            591   1.2e-07   29.3   0.1   1   2   2.9e-07    0.0003   18.1   0.1   192   313   253   371   231   381 0.82 lysine--tRNA ligase, putative [Plasmodium vivax]
SCO73896.1           -            585 3175at5820           -            591   1.2e-07   29.3   0.1   2   2   0.00017      0.18    8.9   0.0   555   590   541   576   533   577 0.92 lysine--tRNA ligase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3175at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3175at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3175at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:37:49 2026
# [ok]
