#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73302.1           -           2368 569at5820            -           1444         0 1771.5  97.8   1  17   1.7e-83   1.1e-79  267.1   0.3     2   173    38   217    37   226 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73302.1           -           2368 569at5820            -           1444         0 1771.5  97.8   2  17   3.4e-61   2.2e-57  193.2   1.3   162   271   249   358   239   366 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73302.1           -           2368 569at5820            -           1444         0 1771.5  97.8   3  17   7.9e-98     5e-94  314.6   1.3   263   443   409   591   403   595 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73302.1           -           2368 569at5820            -           1444         0 1771.5  97.8   4  17   1.7e-42   1.1e-38  131.2   1.9   441   527   662   748   658   752 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73302.1           -           2368 569at5820            -           1444         0 1771.5  97.8   5  17   1.3e-23   8.4e-20   68.6   0.0   524   597   787   862   782   867 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73302.1           -           2368 569at5820            -           1444         0 1771.5  97.8   6  17   0.00031         2    4.4   0.0   598   616   902   920   894   926 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73302.1           -           2368 569at5820            -           1444         0 1771.5  97.8   7  17   1.3e-45   8.1e-42  141.5   5.2   616   732   946  1079   942  1085 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73302.1           -           2368 569at5820            -           1444         0 1771.5  97.8   8  17   1.7e-07    0.0011   15.2   0.0   740   778  1181  1220  1169  1233 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73302.1           -           2368 569at5820            -           1444         0 1771.5  97.8   9  17   2.1e-12   1.3e-08   31.5   0.0   778   814  1244  1280  1238  1282 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73302.1           -           2368 569at5820            -           1444         0 1771.5  97.8  10  17   8.5e-09   5.4e-05   19.5   0.1   809   840  1299  1330  1294  1335 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73302.1           -           2368 569at5820            -           1444         0 1771.5  97.8  11  17   2.2e-15   1.4e-11   41.3   0.0   848   908  1367  1442  1360  1452 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73302.1           -           2368 569at5820            -           1444         0 1771.5  97.8  12  17   4.7e-14     3e-10   37.0   0.1   908   946  1480  1518  1476  1525 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73302.1           -           2368 569at5820            -           1444         0 1771.5  97.8  13  17   1.6e-19   9.9e-16   55.1   0.0   958  1026  1592  1665  1586  1669 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73302.1           -           2368 569at5820            -           1444         0 1771.5  97.8  14  17     0.028   1.8e+02   -2.1   0.0  1032  1046  1728  1742  1725  1753 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73302.1           -           2368 569at5820            -           1444         0 1771.5  97.8  15  17   6.3e-57   3.9e-53  179.0   9.3  1074  1229  1839  2010  1836  2015 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73302.1           -           2368 569at5820            -           1444         0 1771.5  97.8  16  17   6.8e-41   4.3e-37  125.9   1.1  1228  1321  2103  2197  2101  2203 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73302.1           -           2368 569at5820            -           1444         0 1771.5  97.8  17  17   5.7e-58   3.6e-54  182.5  11.2  1322  1444  2224  2368  2221  2368 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/569at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/569at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/569at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:55:59 2026
# [ok]
