#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71959.1           -           1648 1513at5820           -            985         0 1245.3  98.8   1   8   3.1e-59   9.9e-56  188.1  16.3     1   164    45   233    45   236 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71959.1           -           1648 1513at5820           -            985         0 1245.3  98.8   2   8   5.4e-82   1.7e-78  263.4  18.1   174   353   318   534   309   540 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71959.1           -           1648 1513at5820           -            985         0 1245.3  98.8   3   8   1.3e-26   4.2e-23   80.1   6.0   352   407   569   624   564   627 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71959.1           -           1648 1513at5820           -            985         0 1245.3  98.8   4   8   7.6e-38   2.4e-34  117.3   0.0   408   501   664   770   660   772 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71959.1           -           1648 1513at5820           -            985         0 1245.3  98.8   5   8  2.4e-100   7.5e-97  324.2   7.2   500   729   857  1121   840  1125 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71959.1           -           1648 1513at5820           -            985         0 1245.3  98.8   6   8   3.4e-72   1.1e-68  231.0   8.2   721   871  1141  1293  1134  1295 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71959.1           -           1648 1513at5820           -            985         0 1245.3  98.8   7   8   9.2e-13   2.9e-09   34.3   0.1   871   904  1425  1458  1421  1461 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71959.1           -           1648 1513at5820           -            985         0 1245.3  98.8   8   8   1.2e-11   3.7e-08   30.6   0.1   905   941  1516  1552  1510  1639 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74392.1           -            535 1513at5820           -            985    0.0003   17.7   1.5   1   1   1.7e-07   0.00053   16.8   1.5   818   901   342   423   336   439 0.88 aminomethyltransferase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1513at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1513at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1513at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:36:55 2026
# [ok]
