#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71909.1           -            719 4609at5820           -            472  1.3e-231  767.9   8.9   1   4  9.4e-121  4.9e-118  393.3   0.2     6   215    24   235    20   249 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71909.1           -            719 4609at5820           -            472  1.3e-231  767.9   8.9   2   4   2.7e-59   1.4e-56  190.7   0.0   219   334   370   486   343   489 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71909.1           -            719 4609at5820           -            472  1.3e-231  767.9   8.9   3   4     6e-56   3.1e-53  179.6   1.1   335   456   524   654   519   659 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71909.1           -            719 4609at5820           -            472  1.3e-231  767.9   8.9   4   4     0.002       1.1    6.4   0.0   452   471   689   708   686   709 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 4609at5820           -            472   8.9e-15   52.9  39.4   1   4   1.3e-07   6.9e-05   20.3   0.3    46   121   102   176    65   177 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 4609at5820           -            472   8.9e-15   52.9  39.4   2   4   1.5e-10   7.8e-08   30.0   1.6   238   335   146   243   145   249 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 4609at5820           -            472   8.9e-15   52.9  39.4   3   4   8.4e-05     0.044   11.0   4.8    43   131   250   343   245   371 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 4609at5820           -            472   8.9e-15   52.9  39.4   4   4   4.9e-06    0.0025   15.1  15.4   244   397   348   509   341   522 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73645.1           -           1642 4609at5820           -            472   1.6e-09   35.6  13.1   1   4     0.039        20    2.2   8.9   278   373   496   596   445   638 0.70 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73645.1           -           1642 4609at5820           -            472   1.6e-09   35.6  13.1   2   4     3e-12   1.6e-09   35.6  13.1    45   193   641   782   633   785 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73645.1           -           1642 4609at5820           -            472   1.6e-09   35.6  13.1   3   4     0.096        50    0.9  15.1    57   187   764   896   755   907 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73645.1           -           1642 4609at5820           -            472   1.6e-09   35.6  13.1   4   4     0.096        50    0.9   0.6    97   148  1187  1241  1182  1265 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 4609at5820           -            472     3e-09   34.6  26.2   1   4   1.8e-09   9.6e-07   26.4   5.7   108   297   141   337   132   338 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 4609at5820           -            472     3e-09   34.6  26.2   2   4   1.8e-07   9.4e-05   19.8   4.6    58   201   247   384   241   393 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 4609at5820           -            472     3e-09   34.6  26.2   3   4   0.00046      0.24    8.6   2.5   228   347   381   501   368   508 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 4609at5820           -            472     3e-09   34.6  26.2   4   4    0.0063       3.3    4.8   2.8    96   165   508   576   498   595 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72244.1           -            817 4609at5820           -            472   4.7e-07   27.4   8.7   1   1   9.1e-10   4.7e-07   27.4   8.7    53   154   212   311   159   347 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71045.1           -            302 4609at5820           -            472   0.00098   16.4   5.7   1   2   2.1e-05     0.011   13.0   0.5    93   149    58   114    43   133 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
