#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75103.1           -           1608 1667at5820           -           1065         0 1935.2 147.4   1   6   5.8e-16   5.2e-13   46.4   7.8     1    50    29    79    29    87 0.95 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO75103.1           -           1608 1667at5820           -           1065         0 1935.2 147.4   2   6   7.4e-23   6.7e-20   69.2  31.6    41   132   153   262   142   270 0.81 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO75103.1           -           1608 1667at5820           -           1065         0 1935.2 147.4   3   6    1e-177  9.2e-175  581.9  14.4   134   429   400   695   394   699 0.95 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO75103.1           -           1608 1667at5820           -           1065         0 1935.2 147.4   4   6   4.2e-12   3.8e-09   33.6   5.6   400   443   699   743   687   751 0.88 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO75103.1           -           1608 1667at5820           -           1065         0 1935.2 147.4   5   6    2e-196  1.8e-193  643.9  19.9   407   743   860  1199   853  1203 0.94 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO75103.1           -           1608 1667at5820           -           1065         0 1935.2 147.4   6   6  3.2e-180  2.8e-177  590.2  29.2   751  1065  1282  1608  1280  1608 0.97 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO73444.1           -           1127 1667at5820           -           1065   1.9e-65  220.0  26.0   1   2   2.1e-68   1.9e-65  220.0  26.0    26   627   287   898   273   911 0.78 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO73444.1           -           1127 1667at5820           -           1065   1.9e-65  220.0  26.0   2   2      0.13   1.1e+02   -1.1   0.5   866   907  1061  1102   960  1117 0.85 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO71932.1           -            840 1667at5820           -           1065   7.1e-62  208.2   3.7   1   3   2.9e-44   2.6e-41  140.1   1.8   156   395   187   413   176   424 0.90 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO71932.1           -            840 1667at5820           -           1065   7.1e-62  208.2   3.7   2   3   6.9e-22   6.2e-19   66.0   0.0   454   632   425   594   412   598 0.86 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO71932.1           -            840 1667at5820           -           1065   7.1e-62  208.2   3.7   3   3      0.57   5.1e+02   -3.3   0.0   334   376   681   723   673   727 0.80 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO71671.1           -           1218 1667at5820           -           1065   4.5e-59  198.9   6.0   1   3   3.9e-47   3.5e-44  149.6   0.5   139   400   538   788   524   798 0.87 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO71671.1           -           1218 1667at5820           -           1065   4.5e-59  198.9   6.0   2   3   1.1e-16   9.5e-14   48.8   0.0   459   546   802   889   793   967 0.81 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO71671.1           -           1218 1667at5820           -           1065   4.5e-59  198.9   6.0   3   3     0.054        48    0.1   0.1   863   917  1119  1170  1104  1193 0.81 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO75563.1           -           1081 1667at5820           -           1065   2.8e-49  166.4   5.8   1   3         7   6.3e+03  -10.4  12.9    10   112    19   129    11   143 0.69 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative [Plasmodium vivax]
