#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71210.1           -           1637 1196at5820           -           1074         0 1497.4  80.5   1   9   3.5e-38   2.2e-34  117.4   4.9     1    83     1   101     1   105 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71210.1           -           1637 1196at5820           -           1074         0 1497.4  80.5   2   9  8.6e-132  5.4e-128  427.3  22.2    83   285   150   352   142   355 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71210.1           -           1637 1196at5820           -           1074         0 1497.4  80.5   3   9   4.9e-74   3.1e-70  236.1  17.5   285   444   419   581   417   596 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71210.1           -           1637 1196at5820           -           1074         0 1497.4  80.5   4   9   4.3e-46   2.7e-42  143.6   0.0   438   576   603   763   585   771 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71210.1           -           1637 1196at5820           -           1074         0 1497.4  80.5   5   9     1e-12   6.5e-09   33.0   0.0   564   620   798   861   783   873 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71210.1           -           1637 1196at5820           -           1074         0 1497.4  80.5   6   9   1.4e-47   8.6e-44  148.5   1.0   626   746   898  1027   892  1034 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71210.1           -           1637 1196at5820           -           1074         0 1497.4  80.5   7   9   5.1e-29   3.2e-25   87.1   0.1   760   853  1118  1244  1086  1245 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71210.1           -           1637 1196at5820           -           1074         0 1497.4  80.5   8   9     5e-59   3.1e-55  186.4   0.4   852   985  1325  1473  1322  1482 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71210.1           -           1637 1196at5820           -           1074         0 1497.4  80.5   9   9   8.8e-43   5.5e-39  132.6   1.1   983  1074  1536  1637  1525  1637 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1196at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1196at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1196at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:28:19 2026
# [ok]
