#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71806.1           -           1119 3149at5820           -            567    1e-245  815.3  55.8   1   5   4.3e-67   2.7e-64  216.3   2.1     1   119     1   134     1   201 0.86 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO71806.1           -           1119 3149at5820           -            567    1e-245  815.3  55.8   2   5     0.038        24    1.9   0.0   160   193   525   558   514   563 0.81 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO71806.1           -           1119 3149at5820           -            567    1e-245  815.3  55.8   3   5   2.5e-94   1.6e-91  306.2  27.4   183   393   581   845   571   849 0.81 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO71806.1           -           1119 3149at5820           -            567    1e-245  815.3  55.8   4   5     0.038        24    1.9   0.1   387   415   898   926   891   939 0.79 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO71806.1           -           1119 3149at5820           -            567    1e-245  815.3  55.8   5   5   8.2e-90   5.1e-87  291.3   7.2   403   567   943  1119   921  1119 0.93 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO75656.1           -            259 3149at5820           -            567   5.6e-15   53.5   7.1   1   3   0.00059      0.37    7.9   0.0    38    66     7    35     1    40 0.62 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO75656.1           -            259 3149at5820           -            567   5.6e-15   53.5   7.1   2   3   1.3e-07   7.9e-05   20.0   1.1   230   373    34   163    30   171 0.81 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO75656.1           -            259 3149at5820           -            567   5.6e-15   53.5   7.1   3   3   9.4e-10   5.9e-07   27.0   0.3   464   538   167   236   157   252 0.80 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO70611.1           -            332 3149at5820           -            567   4.8e-13   47.1   0.2   1   3   0.00072      0.45    7.6   0.0    25    66    13    55     7    61 0.77 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO70611.1           -            332 3149at5820           -            567   4.8e-13   47.1   0.2   2   3   3.5e-11   2.2e-08   31.7   0.1   240   326    93   176    85   215 0.77 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO70611.1           -            332 3149at5820           -            567   4.8e-13   47.1   0.2   3   3    0.0096         6    3.9   0.1   489   541   256   313   242   325 0.78 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO73399.1           -            494 3149at5820           -            567   1.2e-12   45.8  29.7   1   3   1.2e-07   7.6e-05   20.1  17.5    38   333    19   330    15   346 0.58 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO73399.1           -            494 3149at5820           -            567   1.2e-12   45.8  29.7   2   3      0.13        82    0.1   0.0   514   543   342   371   330   376 0.77 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO73399.1           -            494 3149at5820           -            567   1.2e-12   45.8  29.7   3   3   3.9e-11   2.4e-08   31.6   2.6   453   559   374   490   368   493 0.81 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO70796.1           -            380 3149at5820           -            567   2.5e-12   44.7  27.8   1   6   0.00066      0.42    7.7   0.4    33    70     7    44     2    66 0.59 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO70796.1           -            380 3149at5820           -            567   2.5e-12   44.7  27.8   2   6    0.0048         3    4.9   0.3   515   557    68   110    60   112 0.89 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO70796.1           -            380 3149at5820           -            567   2.5e-12   44.7  27.8   3   6   1.7e-07   0.00011   19.6   0.1   478   561   116   199   112   204 0.94 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO70796.1           -            380 3149at5820           -            567   2.5e-12   44.7  27.8   4   6   5.6e-07   0.00035   17.9   1.5   470   510   207   250   197   277 0.75 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO70796.1           -            380 3149at5820           -            567   2.5e-12   44.7  27.8   5   6      0.34   2.1e+02   -1.2   0.4   200   237   264   301   253   310 0.66 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO70796.1           -            380 3149at5820           -            567   2.5e-12   44.7  27.8   6   6   3.1e-05     0.019   12.1   0.5   512   554   334   376   324   379 0.92 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO71260.1           -            318 3149at5820           -            567   3.5e-11   41.0   1.7   1   3   1.3e-07   8.2e-05   19.9   0.1   469   539    26    96     3   120 0.79 dicarboxylate/tricarboxylate carrier, putative [Plasmodium vivax]
