#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75553.1           -            376 7425at5820           -            101   3.1e-62  205.6   0.2   1   2      0.11   1.1e+02    1.7   0.0    10    53   207   253   202   261 0.76 sun-family protein, putative [Plasmodium vivax]
SCO75553.1           -            376 7425at5820           -            101   3.1e-62  205.6   0.2   2   2   6.5e-64   6.8e-61  201.3   0.1     1   101   269   374   269   374 0.96 sun-family protein, putative [Plasmodium vivax]
SCO72781.1           -            614 7425at5820           -            101   9.8e-11   40.3   3.5   1   3      0.62   6.5e+02   -0.8   0.0     5    36   114   145   112   159 0.75 proliferating-cell nucleolar antigen p120, putative [Plasmodium vivax]
SCO72781.1           -            614 7425at5820           -            101   9.8e-11   40.3   3.5   2   3       1.4   1.4e+03   -1.9   0.1     5    42   176   216   174   227 0.58 proliferating-cell nucleolar antigen p120, putative [Plasmodium vivax]
SCO72781.1           -            614 7425at5820           -            101   9.8e-11   40.3   3.5   3   3   1.4e-13   1.4e-10   39.8   0.1     2    75   383   460   382   467 0.88 proliferating-cell nucleolar antigen p120, putative [Plasmodium vivax]
SCO70350.1           -           1116 7425at5820           -            101   1.6e-07   30.0   0.0   1   1     1e-09   1.1e-06   27.4   0.0     2    62   346   411   345   425 0.82 tRNA m5C-methyltransferase, putative [Plasmodium vivax]
SCO71575.1           -            536 7425at5820           -            101   1.5e-05   23.7   0.0   1   2       2.3   2.4e+03   -2.6   0.0     1    14   311   324   311   328 0.87 S-adenosyl-L-methionine-dependent methyltransferase, putative [Plasmodium vivax]
SCO71575.1           -            536 7425at5820           -            101   1.5e-05   23.7   0.0   2   2   8.7e-08   9.2e-05   21.2   0.0    20    66   419   465   410   480 0.87 S-adenosyl-L-methionine-dependent methyltransferase, putative [Plasmodium vivax]
SCO72597.1           -            505 7425at5820           -            101     0.011   14.5   1.0   1   3      0.75   7.9e+02   -1.1   0.0    14    56   163   204   152   225 0.62 tRNA m5C-methyltransferase, putative [Plasmodium vivax]
SCO72597.1           -            505 7425at5820           -            101     0.011   14.5   1.0   2   3       1.9     2e+03   -2.4   0.0    51    63   267   278   243   294 0.62 tRNA m5C-methyltransferase, putative [Plasmodium vivax]
SCO72597.1           -            505 7425at5820           -            101     0.011   14.5   1.0   3   3   8.8e-05     0.092   11.5   0.3     4    74   340   417   337   428 0.69 tRNA m5C-methyltransferase, putative [Plasmodium vivax]
SCO72286.1           -           1604 7425at5820           -            101      0.51    9.2   8.4   1   3      0.84   8.8e+02   -1.2   0.1    19    62   807   850   802   887 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72286.1           -           1604 7425at5820           -            101      0.51    9.2   8.4   2   3   6.9e-05     0.073   11.9   0.4    33    72   887   927   864   940 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72286.1           -           1604 7425at5820           -            101      0.51    9.2   8.4   3   3      0.99     1e+03   -1.5   0.9    37    69  1327  1361  1306  1396 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7425at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7425at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7425at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:58:55 2026
# [ok]
