#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74252.1           -           6395 17at5820             -           4792         0 9054.9 781.0   1  13         0         0 2378.6 212.7     1  1268     4  1330     4  1339 0.97 dynein beta chain, putative [Plasmodium vivax]
SCO74252.1           -           6395 17at5820             -           4792         0 9054.9 781.0   2  13  4.9e-186  5.1e-183  608.7  55.8  1266  1589  1393  1726  1385  1754 0.95 dynein beta chain, putative [Plasmodium vivax]
SCO74252.1           -           6395 17at5820             -           4792         0 9054.9 781.0   3  13  1.2e-105  1.3e-102  341.9  26.2  1572  1757  1774  1959  1757  1970 0.95 dynein beta chain, putative [Plasmodium vivax]
SCO74252.1           -           6395 17at5820             -           4792         0 9054.9 781.0   4  13  1.1e-108  1.1e-105  352.0  11.5  1749  1928  2236  2425  2231  2468 0.91 dynein beta chain, putative [Plasmodium vivax]
SCO74252.1           -           6395 17at5820             -           4792         0 9054.9 781.0   5  13  6.4e-136  6.7e-133  442.4  29.7  1921  2149  2581  2812  2575  2874 0.95 dynein beta chain, putative [Plasmodium vivax]
SCO74252.1           -           6395 17at5820             -           4792         0 9054.9 781.0   6  13         0         0 1077.8 122.7  2146  2746  2880  3564  2868  3599 0.91 dynein beta chain, putative [Plasmodium vivax]
SCO74252.1           -           6395 17at5820             -           4792         0 9054.9 781.0   7  13  1.4e-162  1.4e-159  530.9  34.1  2753  3012  3619  3878  3606  3884 0.98 dynein beta chain, putative [Plasmodium vivax]
SCO74252.1           -           6395 17at5820             -           4792         0 9054.9 781.0   8  13   4.6e-52   4.8e-49  164.0   5.5  3010  3102  3983  4077  3975  4083 0.91 dynein beta chain, putative [Plasmodium vivax]
SCO74252.1           -           6395 17at5820             -           4792         0 9054.9 781.0   9  13   5.1e-95   5.3e-92  306.6  32.7  3100  3277  4199  4381  4194  4436 0.91 dynein beta chain, putative [Plasmodium vivax]
SCO74252.1           -           6395 17at5820             -           4792         0 9054.9 781.0  10  13         0         0 1101.2  61.8  3273  3822  4469  5034  4426  5042 0.94 dynein beta chain, putative [Plasmodium vivax]
SCO74252.1           -           6395 17at5820             -           4792         0 9054.9 781.0  11  13  9.6e-140    1e-136  455.1  32.9  3820  4074  5079  5344  5075  5362 0.95 dynein beta chain, putative [Plasmodium vivax]
SCO74252.1           -           6395 17at5820             -           4792         0 9054.9 781.0  12  13  3.6e-119  3.7e-116  386.8  19.3  4084  4285  5569  5770  5541  5774 0.94 dynein beta chain, putative [Plasmodium vivax]
SCO74252.1           -           6395 17at5820             -           4792         0 9054.9 781.0  13  13  4.5e-297  4.7e-294  977.3  41.7  4289  4792  5873  6394  5863  6394 0.97 dynein beta chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 17at5820             -           4792  2.3e-166  553.5 280.5   1  10         6   6.3e+03  -24.2  32.0    32   353    52   382    40   402 0.60 dynein heavy chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 17at5820             -           4792  2.3e-166  553.5 280.5   2  10         6   6.3e+03  -10.0   6.5   536   640   459   561   452   590 0.49 dynein heavy chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 17at5820             -           4792  2.3e-166  553.5 280.5   3  10         6   6.3e+03  -30.0  32.0   688  1017   739  1078   679  1103 0.57 dynein heavy chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 17at5820             -           4792  2.3e-166  553.5 280.5   4  10   1.2e-12   1.2e-09   33.2  55.3  1135  1578  1349  1836  1313  1842 0.71 dynein heavy chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 17at5820             -           4792  2.3e-166  553.5 280.5   5  10   1.9e-42     2e-39  132.1  29.0  1616  2074  1931  2362  1905  2377 0.86 dynein heavy chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 17at5820             -           4792  2.3e-166  553.5 280.5   6  10   3.5e-27   3.7e-24   81.4   8.6  2213  2395  2500  2689  2453  2695 0.91 dynein heavy chain, putative [Plasmodium vivax]
SCO71602.1           -           5238 17at5820             -           4792  2.3e-166  553.5 280.5   7  10     5e-20   5.2e-17   57.7  38.9  2626  3234  2905  3512  2900  3531 0.74 dynein heavy chain, putative [Plasmodium vivax]
