#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70504.1           -           5139 123at5820            -           2857         0 3671.4 185.5   1  30     4e-21   2.5e-17   59.4   0.1     1    60    13    84    13    99 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70504.1           -           5139 123at5820            -           2857         0 3671.4 185.5   2  30   8.5e-18   5.3e-14   48.4   0.0    61   107   124   170   122   178 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70504.1           -           5139 123at5820            -           2857         0 3671.4 185.5   3  30   1.1e-28     7e-25   84.5   0.0   102   172   200   270   193   284 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70504.1           -           5139 123at5820            -           2857         0 3671.4 185.5   4  30   2.3e-66   1.5e-62  209.5   1.8   174   299   372   500   361   509 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70504.1           -           5139 123at5820            -           2857         0 3671.4 185.5   5  30   3.5e-45   2.2e-41  139.2   0.1   301   383   529   611   517   617 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70504.1           -           5139 123at5820            -           2857         0 3671.4 185.5   6  30   8.4e-39   5.3e-35  118.1   0.0   387   484   691   811   686   816 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70504.1           -           5139 123at5820            -           2857         0 3671.4 185.5   7  30  1.1e-105  6.6e-102  340.0   0.1   483   719   909  1185   906  1189 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70504.1           -           5139 123at5820            -           2857         0 3671.4 185.5   8  30   1.8e-21   1.1e-17   60.5   0.1   735   799  1257  1321  1230  1323 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70504.1           -           5139 123at5820            -           2857         0 3671.4 185.5   9  30   3.5e-25   2.2e-21   72.9   0.2   795   886  1362  1482  1359  1487 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70504.1           -           5139 123at5820            -           2857         0 3671.4 185.5  10  30   3.3e-33   2.1e-29   99.5   0.1   901   991  1549  1660  1546  1665 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70504.1           -           5139 123at5820            -           2857         0 3671.4 185.5  11  30   6.1e-37   3.8e-33  111.9   2.8   990  1104  1690  1830  1681  1836 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70504.1           -           5139 123at5820            -           2857         0 3671.4 185.5  12  30   1.5e-40   9.4e-37  123.9   0.0  1106  1214  1871  1990  1863  1993 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70504.1           -           5139 123at5820            -           2857         0 3671.4 185.5  13  30   9.1e-97   5.7e-93  310.4  15.2  1215  1389  2026  2204  2024  2210 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70504.1           -           5139 123at5820            -           2857         0 3671.4 185.5  14  30     4e-13   2.5e-09   32.9   0.0  1393  1453  2303  2381  2297  2387 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70504.1           -           5139 123at5820            -           2857         0 3671.4 185.5  15  30   1.3e-18   8.1e-15   51.1   0.2  1453  1543  2415  2537  2408  2540 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70504.1           -           5139 123at5820            -           2857         0 3671.4 185.5  16  30    0.0011       7.1    1.5   0.0  1542  1572  2602  2637  2599  2658 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
