#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75608.1           -            499 10096at5820          -            271    2e-147  488.5  26.5   1   4   3.5e-58     9e-56  188.0   3.7     1   110     1   114     1   120 0.96 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO75608.1           -            499 10096at5820          -            271    2e-147  488.5  26.5   2   4       8.4   2.2e+03   -3.4  12.8   108   141   159   205   146   210 0.69 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO75608.1           -            499 10096at5820          -            271    2e-147  488.5  26.5   3   4      0.49   1.3e+02    0.6   1.1   115   148   212   245   206   249 0.80 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO75608.1           -            499 10096at5820          -            271    2e-147  488.5  26.5   4   4   9.2e-97   2.4e-94  314.5  14.9   126   271   350   495   335   495 0.94 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO73478.1           -            392 10096at5820          -            271   1.9e-44  150.9  12.1   1   3   1.1e-08   2.8e-06   25.7   0.8   190   268    16    90     3    93 0.88 poly(A)-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 10096at5820          -            271   1.9e-44  150.9  12.1   2   3   3.5e-16   9.2e-14   50.3   0.1   182   268   107   195    98   198 0.89 poly(A)-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 10096at5820          -            271   1.9e-44  150.9  12.1   3   3     4e-26   1.1e-23   82.8   1.5   175   270   192   287   190   288 0.96 poly(A)-binding protein, putative [Plasmodium vivax]
SCO71267.1           -            292 10096at5820          -            271   7.8e-42  142.3   0.3   1   2      0.03       7.8    4.6   0.0   189   252     4    67     1    78 0.79 RNA-binding protein, putative [Plasmodium vivax]
SCO71267.1           -            292 10096at5820          -            271   7.8e-42  142.3   0.3   2   2   5.4e-42   1.4e-39  134.9   0.9   142   270   102   233    86   234 0.87 RNA-binding protein, putative [Plasmodium vivax]
SCO74967.1           -            503 10096at5820          -            271   9.1e-39  132.2  56.3   1   3   1.5e-05    0.0038   15.4  12.1   106   257     2   148     1   159 0.77 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO74967.1           -            503 10096at5820          -            271   9.1e-39  132.2  56.3   2   3      0.06        16    3.6  22.1    15   136   179   301   170   318 0.71 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO74967.1           -            503 10096at5820          -            271   9.1e-39  132.2  56.3   3   3     2e-38   5.3e-36  123.2   8.8   113   270   316   473   303   474 0.87 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO73492.1           -            513 10096at5820          -            271   8.1e-37  125.9   1.2   1   2      0.65   1.7e+02    0.2   3.9   189   254    85   151     2   171 0.63 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 10096at5820          -            271   8.1e-37  125.9   1.2   2   2   3.1e-39   8.1e-37  125.9   1.2    11   270   182   451   178   452 0.80 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO75490.1           -            885 10096at5820          -            271   1.5e-21   75.8   6.1   1   5   9.7e-06    0.0025   16.0   0.0   191   254    15    79     5    90 0.88 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 10096at5820          -            271   1.5e-21   75.8   6.1   2   5   6.1e-12   1.6e-09   36.3   0.4   191   270   103   184    85   186 0.86 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 10096at5820          -            271   1.5e-21   75.8   6.1   3   5   3.4e-07     9e-05   20.8   0.2   185   256   186   255   178   261 0.88 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 10096at5820          -            271   1.5e-21   75.8   6.1   4   5   1.2e-09   3.1e-07   28.9   0.0   177   266   434   523   416   528 0.92 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 10096at5820          -            271   1.5e-21   75.8   6.1   5   5       6.2   1.6e+03   -3.0   1.0   103   127   615   641   583   657 0.62 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO71591.1           -           1539 10096at5820          -            271   9.4e-18   63.3   2.5   1   2      0.08        21    3.2   0.0    11    40   326   355   317   372 0.83 RNA-binding protein, putative [Plasmodium vivax]
