#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72860.1           -            453 6375at5820           -            375  1.6e-235  779.6  16.5   1   1  2.9e-238    2e-235  779.2  16.5     7   375    61   451    57   451 0.96 UVB-resistance protein UVR8 homologue [Plasmodium vivax]
SCO73267.1           -           2228 6375at5820           -            375   1.4e-46  157.7  19.8   1   6   5.9e-05     0.042   11.4   0.2    88   175    20   108    10   121 0.74 guanidine nucleotide exchange factor, putative [Plasmodium vivax]
SCO73267.1           -           2228 6375at5820           -            375   1.4e-46  157.7  19.8   2   6   2.6e-07   0.00018   19.1   0.1   242   282   220   258   211   276 0.83 guanidine nucleotide exchange factor, putative [Plasmodium vivax]
SCO73267.1           -           2228 6375at5820           -            375   1.4e-46  157.7  19.8   3   6   7.8e-19   5.4e-16   57.1   0.7    89   220   317   444   295   460 0.87 guanidine nucleotide exchange factor, putative [Plasmodium vivax]
SCO73267.1           -           2228 6375at5820           -            375   1.4e-46  157.7  19.8   4   6     3e-13   2.1e-10   38.7   0.1   139   229   621   711   591   721 0.84 guanidine nucleotide exchange factor, putative [Plasmodium vivax]
SCO73267.1           -           2228 6375at5820           -            375   1.4e-46  157.7  19.8   5   6   1.1e-10   7.5e-08   30.3   0.2   103   220   769   896   762   906 0.77 guanidine nucleotide exchange factor, putative [Plasmodium vivax]
SCO73267.1           -           2228 6375at5820           -            375   1.4e-46  157.7  19.8   6   6   0.00013     0.092   10.2   0.1    46   136   920  1020   896  1037 0.64 guanidine nucleotide exchange factor, putative [Plasmodium vivax]
SCO70462.1           -            686 6375at5820           -            375   7.3e-20   69.8  13.7   1   3   2.2e-10   1.5e-07   29.3   0.1   131   228    30   132    24   151 0.82 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO70462.1           -            686 6375at5820           -            375   7.3e-20   69.8  13.7   2   3   0.00019      0.14    9.7   1.6   190   264   173   253   160   256 0.81 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO70462.1           -            686 6375at5820           -            375   7.3e-20   69.8  13.7   3   3   1.3e-13   9.4e-11   39.8   3.8   138   280   240   375   232   432 0.84 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO73520.1           -            479 6375at5820           -            375   9.5e-20   69.4  16.3   1   5      0.64   4.5e+02   -1.9   0.0   271   284    41    54    38    62 0.82 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO73520.1           -            479 6375at5820           -            375   9.5e-20   69.4  16.3   2   5   1.8e-13   1.3e-10   39.4   1.7   192   282    70   152    53   169 0.64 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO73520.1           -            479 6375at5820           -            375   9.5e-20   69.4  16.3   3   5      0.15     1e+02    0.2   0.1    87   113   201   228   167   235 0.69 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO73520.1           -            479 6375at5820           -            375   9.5e-20   69.4  16.3   4   5   5.2e-06    0.0036   14.9   0.1   192   243   242   293   228   308 0.74 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO73520.1           -            479 6375at5820           -            375   9.5e-20   69.4  16.3   5   5     3e-08   2.1e-05   22.2   0.3    42   111   307   387   296   399 0.73 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO72837.1           -            965 6375at5820           -            375   3.1e-19   67.7  17.8   1   3    0.0016       1.1    6.7   0.2   190   229    31    70     4    77 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72837.1           -            965 6375at5820           -            375   3.1e-19   67.7  17.8   2   3     2e-12   1.4e-09   36.0   3.9    41   159    35   157    20   167 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72837.1           -            965 6375at5820           -            375   3.1e-19   67.7  17.8   3   3   8.7e-10   6.1e-07   27.3   6.0   117   251   264   379   260   463 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70751.1           -            585 6375at5820           -            375     5e-15   53.9  16.9   1   4   4.3e-08     3e-05   21.7   0.3   184   227    54    98    17   104 0.85 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO70751.1           -            585 6375at5820           -            375     5e-15   53.9  16.9   2   4   0.00028       0.2    9.2   0.5   185   234   156   204   102   219 0.76 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO70751.1           -            585 6375at5820           -            375     5e-15   53.9  16.9   3   4   1.3e-06   0.00092   16.8   0.1    84   117   360   393   341   413 0.79 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO70751.1           -            585 6375at5820           -            375     5e-15   53.9  16.9   4   4   2.5e-06    0.0017   15.9   0.8    38   113   449   534   422   583 0.65 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO75451.1           -           2755 6375at5820           -            375   3.2e-13   47.9  24.8   1   4       1.4   9.5e+02   -3.0   1.1   297   362    65   133    23   138 0.72 cell cycle associated protein, putative [Plasmodium vivax]
SCO75451.1           -           2755 6375at5820           -            375   3.2e-13   47.9  24.8   2   4      0.11        79    0.6   0.1   215   231  2077  2093  2072  2106 0.84 cell cycle associated protein, putative [Plasmodium vivax]
SCO75451.1           -           2755 6375at5820           -            375   3.2e-13   47.9  24.8   3   4   5.2e-15   3.6e-12   44.5   4.2   102   220  2269  2395  2245  2402 0.78 cell cycle associated protein, putative [Plasmodium vivax]
SCO75451.1           -           2755 6375at5820           -            375   3.2e-13   47.9  24.8   4   4   2.3e-06    0.0016   16.0   1.6   181   292  2396  2517  2394  2533 0.73 cell cycle associated protein, putative [Plasmodium vivax]
SCO72918.1           -            985 6375at5820           -            375   6.2e-12   43.7   3.3   1   2   1.9e-11   1.3e-08   32.7   0.6   192   281   239   329   195   380 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72918.1           -            985 6375at5820           -            375   6.2e-12   43.7   3.3   2   2   9.6e-05     0.067   10.7   0.1   182   235   434   487   421   532 0.69 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71954.1           -           2555 6375at5820           -            375   1.5e-11   42.5  11.4   1   3   7.1e-09     5e-06   24.3   0.8   125   228    66   163    55   170 0.81 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO71954.1           -           2555 6375at5820           -            375   1.5e-11   42.5  11.4   2   3   5.9e-08   4.1e-05   21.3   1.9   126   232   207   315   195   410 0.69 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO71954.1           -           2555 6375at5820           -            375   1.5e-11   42.5  11.4   3   3       1.3   9.1e+02   -2.9   0.0   111   190  1764  1846  1760  1854 0.73 regulator of chromosome condensation, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6375at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6375at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6375at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:03:37 2026
# [ok]
