#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73773.1           -           1215 3276at5820           -            743  4.9e-295  979.1  51.4   1   8   3.6e-35   2.8e-32  110.3   0.5     1    74    71   144    71   150 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 3276at5820           -            743  4.9e-295  979.1  51.4   2   8   2.2e-29   1.7e-26   91.2   0.0    71   135   182   246   175   252 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 3276at5820           -            743  4.9e-295  979.1  51.4   3   8   1.5e-08   1.2e-05   22.3   0.0   134   164   268   298   264   306 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 3276at5820           -            743  4.9e-295  979.1  51.4   4   8   1.3e-87     1e-84  283.7  13.6   164   332   339   508   336   511 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 3276at5820           -            743  4.9e-295  979.1  51.4   5   8   8.9e-46     7e-43  145.4   1.6   332   433   544   656   540   660 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 3276at5820           -            743  4.9e-295  979.1  51.4   6   8   1.1e-56   8.5e-54  181.5   3.0   446   574   735   883   730   887 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 3276at5820           -            743  4.9e-295  979.1  51.4   7   8   2.2e-41   1.7e-38  130.9   2.1   580   706   935  1101   929  1106 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 3276at5820           -            743  4.9e-295  979.1  51.4   8   8   1.3e-09   9.9e-07   25.9   0.0   706   742  1161  1204  1158  1205 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 3276at5820           -            743   8.8e-13   45.9  46.6   1   4   9.6e-07   0.00076   16.4   5.3   173   269   113   205   101   218 0.53 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 3276at5820           -            743   8.8e-13   45.9  46.6   2   4    0.0018       1.4    5.5   0.2   454   496   190   232   182   232 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 3276at5820           -            743   8.8e-13   45.9  46.6   3   4   1.1e-06    0.0009   16.1  13.7   336   484   224   379   219   386 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
