#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73040.1           -           1533 1876at5820           -           1075         0 1508.0 164.3   1   9  2.9e-124  1.8e-120  402.1  35.7     8   227    28   249    22   257 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73040.1           -           1533 1876at5820           -           1075         0 1508.0 164.3   2   9   1.4e-09   9.1e-06   22.3   0.7   224   248   284   308   282   312 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73040.1           -           1533 1876at5820           -           1075         0 1508.0 164.3   3   9   2.8e-27   1.8e-23   80.9   5.3   242   299   323   380   321   395 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73040.1           -           1533 1876at5820           -           1075         0 1508.0 164.3   4   9   3.6e-51   2.2e-47  160.0   5.8   295   391   410   508   406   535 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73040.1           -           1533 1876at5820           -           1075         0 1508.0 164.3   5   9   1.5e-64   9.4e-61  204.3  13.2   390   552   598   789   595   795 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73040.1           -           1533 1876at5820           -           1075         0 1508.0 164.3   6   9   4.1e-69   2.5e-65  219.5  15.3   555   694   825   968   811   971 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73040.1           -           1533 1876at5820           -           1075         0 1508.0 164.3   7   9   0.00041       2.6    4.2   0.0   695   713  1000  1018   993  1024 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73040.1           -           1533 1876at5820           -           1075         0 1508.0 164.3   8   9   1.6e-83   9.8e-80  267.2  16.3   712   933  1062  1309  1043  1342 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73040.1           -           1533 1876at5820           -           1075         0 1508.0 164.3   9   9   1.1e-59   6.7e-56  188.3  16.9   944  1075  1375  1527  1367  1527 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1876at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1876at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1876at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:36:31 2026
# [ok]
