#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70508.1           -            256 10191at5820          -            228  9.1e-133  439.4  11.1   1   1    2e-134  1.6e-131  435.4  11.1     1   228     1   256     1   256 0.96 proteasome subunit beta type-4, putative [Plasmodium vivax]
SCO72079.1           -            282 10191at5820          -            228     3e-13   48.4   3.3   1   2   2.2e-09   1.8e-06   26.3   0.0     4    70    24    90    22   112 0.94 proteasome subunit beta type-6, putative [Plasmodium vivax]
SCO72079.1           -            282 10191at5820          -            228     3e-13   48.4   3.3   2   2   6.2e-08   4.9e-05   21.6   1.9    90   201   155   269   130   277 0.73 proteasome subunit beta type-6, putative [Plasmodium vivax]
SCO72259.1           -            273 10191at5820          -            228   2.9e-12   45.2   1.6   1   1     5e-14     4e-11   41.5   1.6     8   199    61   245    56   264 0.75 proteasome subunit beta type-5, putative [Plasmodium vivax]
SCO74105.1           -            270 10191at5820          -            228   1.3e-06   26.7   0.0   1   1   2.9e-07   0.00022   19.4   0.0   140   215   163   239    36   251 0.67 proteasome subunit beta type-7, putative [Plasmodium vivax]
SCO70614.1           -            218 10191at5820          -            228   2.2e-05   22.7   0.2   1   1   6.8e-08   5.4e-05   21.5   0.2     9   120     9   133     2   184 0.79 proteasome subunit beta type-3, putative [Plasmodium vivax]
SCO70675.1           -            256 10191at5820          -            228   3.7e-05   22.0   0.1   1   1     2e-07   0.00016   19.9   0.1     2   195    27   222    26   250 0.73 proteasome subunit alpha type-5, putative [Plasmodium vivax]
SCO73168.1           -            241 10191at5820          -            228   0.00054   18.2   0.0   1   1   9.3e-07   0.00073   17.7   0.0     8    71    37   100    31   153 0.88 proteasome subunit beta type-1, putative [Plasmodium vivax]
SCO75551.1           -            207 10191at5820          -            228     0.016   13.3   0.0   1   1   3.4e-05     0.026   12.6   0.0     7    67    35    95    30   117 0.88 ATP-dependent protease subunit ClpQ, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10191at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10191at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10191at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:28:06 2026
# [ok]
