#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74472.1           -            207 11342at5820          -            189    6e-127  419.4  19.1   1   1  8.6e-130  6.8e-127  419.2  19.1     1   189     5   195     5   195 0.99 calmodulin-like protein [Plasmodium vivax]
SCO71647.1           -            179 11342at5820          -            189   3.5e-14   51.6   6.1   1   2   8.6e-08   6.7e-05   21.4   1.2    34   100    31    97    16   106 0.90 centrin-3, putative [Plasmodium vivax]
SCO71647.1           -            179 11342at5820          -            189   3.5e-14   51.6   6.1   2   2   1.2e-11   9.2e-09   34.0   0.8    28    99    97   169    94   176 0.90 centrin-3, putative [Plasmodium vivax]
SCO74740.1           -            149 11342at5820          -            189   2.7e-12   45.5   0.1   1   2   7.8e-08   6.2e-05   21.5   0.0    38   110     8    80     2    85 0.90 calmodulin, putative [Plasmodium vivax]
SCO74740.1           -            149 11342at5820          -            189   2.7e-12   45.5   0.1   2   2   1.4e-08   1.1e-05   24.0   0.3    34   100    76   143    72   148 0.86 calmodulin, putative [Plasmodium vivax]
SCO70623.1           -            168 11342at5820          -            189   3.2e-10   38.7   3.7   1   2   3.4e-05     0.026   12.9   0.1    32    98    18    84     7    86 0.88 centrin-1, putative [Plasmodium vivax]
SCO70623.1           -            168 11342at5820          -            189   3.2e-10   38.7   3.7   2   2   7.3e-10   5.7e-07   28.1   0.7    27    98    85   157    76   165 0.87 centrin-1, putative [Plasmodium vivax]
SCO72548.1           -            167 11342at5820          -            189   1.4e-08   33.4   9.5   1   2   6.5e-06    0.0051   15.2   3.5    31   103     7    79     3    88 0.90 centrin-4, putative [Plasmodium vivax]
SCO72548.1           -            167 11342at5820          -            189   1.4e-08   33.4   9.5   2   2   3.1e-08   2.4e-05   22.8   0.7    30   106    78   155    76   167 0.81 centrin-4, putative [Plasmodium vivax]
SCO74449.1           -            168 11342at5820          -            189   3.4e-08   32.1   0.3   1   2   0.00059      0.46    8.9   0.0    39    99    25    85    18    90 0.91 centrin-2, putative [Plasmodium vivax]
SCO74449.1           -            168 11342at5820          -            189   3.4e-08   32.1   0.3   2   2   6.3e-08   4.9e-05   21.8   0.1    33   102    91   161    86   166 0.86 centrin-2, putative [Plasmodium vivax]
SCO73590.1           -            140 11342at5820          -            189   0.00028   19.3   0.2   1   2      0.42   3.3e+02   -0.5   0.0    53    83    19    49     9    55 0.75 troponin c-like protein, putative [Plasmodium vivax]
SCO73590.1           -            140 11342at5820          -            189   0.00028   19.3   0.2   2   2   6.5e-07   0.00051   18.5   0.2    16    99    52   133    30   139 0.80 troponin c-like protein, putative [Plasmodium vivax]
SCO72411.1           -            602 11342at5820          -            189   0.00092   17.7   0.3   1   1   3.1e-06    0.0025   16.3   0.3    39    99   529   594   505   600 0.81 calcium-dependent protein kinase 3, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11342at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11342at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11342at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:32:52 2026
# [ok]
