#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71803.1           -           2069 870at5820            -           1107         0 1930.6 147.3   1   6   6.9e-19   1.5e-15   54.6   0.8     1    91     1    98     1   104 0.84 copper-transporting ATPase, putative [Plasmodium vivax]
SCO71803.1           -           2069 870at5820            -           1107         0 1930.6 147.3   2   6  5.3e-122  1.1e-118  396.1  21.5    63   304   307   572   300   582 0.89 copper-transporting ATPase, putative [Plasmodium vivax]
SCO71803.1           -           2069 870at5820            -           1107         0 1930.6 147.3   3   6   8.9e-77   1.9e-73  246.3  12.4   308   440   963  1095   942  1108 0.94 copper-transporting ATPase, putative [Plasmodium vivax]
SCO71803.1           -           2069 870at5820            -           1107         0 1930.6 147.3   4   6  7.3e-171  1.5e-167  557.9  26.7   438   706  1196  1465  1191  1471 0.98 copper-transporting ATPase, putative [Plasmodium vivax]
SCO71803.1           -           2069 870at5820            -           1107         0 1930.6 147.3   5   6   1.6e-31   3.3e-28   96.5  11.3   706   800  1586  1704  1578  1711 0.84 copper-transporting ATPase, putative [Plasmodium vivax]
SCO71803.1           -           2069 870at5820            -           1107         0 1930.6 147.3   6   6  6.9e-185  1.4e-181  604.3  35.8   792  1107  1724  2058  1705  2058 0.92 copper-transporting ATPase, putative [Plasmodium vivax]
SCO70630.1           -           1196 870at5820            -           1107   1.2e-08   31.7   0.4   1   2    0.0064        13    1.8   4.7   484   673   170   366   138   377 0.69 calcium-transporting ATPase, putative [Plasmodium vivax]
SCO70630.1           -           1196 870at5820            -           1107   1.2e-08   31.7   0.4   2   2   5.8e-12   1.2e-08   31.7   0.4   984  1076   847   939   836   969 0.76 calcium-transporting ATPase, putative [Plasmodium vivax]
SCO74697.1           -           1351 870at5820            -           1107   3.5e-08   30.2   1.5   1   3     0.001       2.2    4.4   0.2   569   685   435   547   319   562 0.69 non-SERCA-type Ca2+-transporting P-ATPase, putative [Plasmodium vivax]
SCO74697.1           -           1351 870at5820            -           1107   3.5e-08   30.2   1.5   2   3    0.0048        10    2.2   0.0   940   989   818   867   810   874 0.89 non-SERCA-type Ca2+-transporting P-ATPase, putative [Plasmodium vivax]
SCO74697.1           -           1351 870at5820            -           1107   3.5e-08   30.2   1.5   3   3   1.6e-08   3.4e-05   20.3   0.5   993  1083   925  1015   919  1033 0.72 non-SERCA-type Ca2+-transporting P-ATPase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/870at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/870at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/870at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:06:59 2026
# [ok]
