#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73208.1           -           1366 2594at5820           -           1171         0 1353.4  29.3   1   1         0         0 1349.2  29.3     6  1170    11  1365     9  1366 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71682.1           -            369 2594at5820           -           1171   1.4e-31  107.6  89.6   1   7   4.8e-06    0.0028   13.9   7.4   255   295    32    72    23    81 0.90 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 2594at5820           -           1171   1.4e-31  107.6  89.6   2   7   2.6e-09   1.5e-06   24.7   9.4   257   297    80   120    73   127 0.90 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 2594at5820           -           1171   1.4e-31  107.6  89.6   3   7   3.4e-09     2e-06   24.3   7.7   257   296   103   142   103   148 0.93 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 2594at5820           -           1171   1.4e-31  107.6  89.6   4   7   1.6e-11   9.4e-09   32.0  27.6   217   304   126   224   125   225 0.90 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 2594at5820           -           1171   1.4e-31  107.6  89.6   5   7   1.1e-10   6.4e-08   29.3   8.2   257   301   223   267   221   268 0.94 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 2594at5820           -           1171   1.4e-31  107.6  89.6   6   7   5.7e-11   3.3e-08   30.2   7.6   256   309   268   322   265   328 0.89 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 2594at5820           -           1171   1.4e-31  107.6  89.6   7   7   2.7e-07   0.00015   18.1   0.6   258   316   293   352   293   360 0.88 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO72783.1           -           1002 2594at5820           -           1171   1.7e-08   31.1  51.4   1   3      0.35     2e+02   -2.2   1.3   883   911    62    89    10   145 0.51 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO72783.1           -           1002 2594at5820           -           1171   1.7e-08   31.1  51.4   2   3   4.1e-09   2.4e-06   24.1  10.2   217   295   181   242   166   246 0.93 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO72783.1           -           1002 2594at5820           -           1171   1.7e-08   31.1  51.4   3   3     3e-07   0.00017   17.9  24.2   122   242   249   368   243   376 0.72 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
