#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72226.1           -            979 3405at5820           -            606         0 1055.2 153.1   1   6  3.4e-116  5.4e-113  377.2  41.9     1   214    29   254    29   264 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72226.1           -            979 3405at5820           -            606         0 1055.2 153.1   2   6   2.1e-57   3.4e-54  183.0  16.2   206   316   282   391   273   397 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72226.1           -            979 3405at5820           -            606         0 1055.2 153.1   3   6   7.6e-07    0.0012   16.0   0.8   309   338   451   480   437   489 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72226.1           -            979 3405at5820           -            606         0 1055.2 153.1   4   6   5.1e-16   8.1e-13   46.3   4.3   327   376   512   565   498   574 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72226.1           -            979 3405at5820           -            606         0 1055.2 153.1   5   6   0.00018      0.28    8.2   1.7   369   406   677   710   667   737 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72226.1           -            979 3405at5820           -            606         0 1055.2 153.1   6   6  3.8e-139    6e-136  453.0  51.2   383   606   755   979   717   979 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74865.1           -           1057 3405at5820           -            606   3.9e-09   34.1  96.8   1   2   8.2e-06     0.013   12.6  47.3    24   290    27   294     6   312 0.63 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74865.1           -           1057 3405at5820           -            606   3.9e-09   34.1  96.8   2   2   4.2e-07   0.00066   16.9  41.5   383   597   812  1043   791  1048 0.72 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74610.1           -            103 3405at5820           -            606      0.27    8.3   5.6   1   1   0.00017      0.27    8.2   5.6   302   382    11    94     1   102 0.71 signal recognition particle subunit SRP14, putative [Plasmodium vivax]
SCO72919.1           -            324 3405at5820           -            606      0.49    7.4   4.4   1   1   0.00043      0.67    6.9   4.4   329   381   233   287   204   298 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3405at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3405at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3405at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:38:45 2026
# [ok]
