#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75496.1           -            110 14892at5820          -             86   7.8e-60  197.7   1.7   1   1   4.3e-62   9.2e-60  197.5   1.7     1    86    20   105    20   105 0.99 splicing factor 3B subunit 6, putative [Plasmodium vivax]
SCO75490.1           -            885 14892at5820          -             86   4.1e-14   51.2   1.2   1   4   3.8e-06   0.00083   18.2   0.0     6    61    27    85    22   100 0.82 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 14892at5820          -             86   4.1e-14   51.2   1.2   2   4   0.00022     0.047   12.6   0.1     1    64   110   175   110   188 0.83 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 14892at5820          -             86   4.1e-14   51.2   1.2   3   4    0.0013      0.29   10.0   0.0     1    60   199   258   199   274 0.82 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 14892at5820          -             86   4.1e-14   51.2   1.2   4   4     0.029       6.2    5.8   0.0     2    54   456   510   455   538 0.77 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO71267.1           -            292 14892at5820          -             86   1.4e-09   36.7   0.1   1   2   6.4e-05     0.014   14.3   0.0     2    63    14    80    13    97 0.80 RNA-binding protein, putative [Plasmodium vivax]
SCO71267.1           -            292 14892at5820          -             86   1.4e-09   36.7   0.1   2   2   9.1e-07    0.0002   20.2   0.0     2    65   162   227   161   234 0.84 RNA-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 14892at5820          -             86   2.1e-09   36.1   3.3   1   4       2.5   5.4e+02   -0.4   0.0    36    65    57    86    26    94 0.78 poly(A)-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 14892at5820          -             86   2.1e-09   36.1   3.3   2   4       2.1   4.6e+02   -0.2   0.0    21    40   105   124    85   131 0.78 poly(A)-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 14892at5820          -             86   2.1e-09   36.1   3.3   3   4   2.6e-06   0.00056   18.7   0.1     5    79   128   205   124   208 0.84 poly(A)-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 14892at5820          -             86   2.1e-09   36.1   3.3   4   4   3.5e-05    0.0077   15.1   0.1     2    65   216   281   215   286 0.86 poly(A)-binding protein, putative [Plasmodium vivax]
SCO74967.1           -            503 14892at5820          -             86     4e-09   35.2   0.3   1   3    0.0003     0.066   12.1   0.0     2    59    89   149    88   160 0.84 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO74967.1           -            503 14892at5820          -             86     4e-09   35.2   0.3   2   3    0.0055       1.2    8.1   0.0     2    51   187   238   186   270 0.77 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO74967.1           -            503 14892at5820          -             86     4e-09   35.2   0.3   3   3   0.00053      0.11   11.3   0.0    28    63   430   465   401   479 0.74 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO72209.1           -            250 14892at5820          -             86   1.9e-08   33.0   0.0   1   2     0.041       8.8    5.3   0.0     1    62    27    90    27   108 0.79 RNA-binding protein, putative [Plasmodium vivax]
SCO72209.1           -            250 14892at5820          -             86   1.9e-08   33.0   0.0   2   2   1.7e-08   3.7e-06   25.7   0.0     1    65   178   244   178   249 0.81 RNA-binding protein, putative [Plasmodium vivax]
