#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72371.1           -           2590 422at5820            -           1432         0 1759.9 136.7   1  12  7.2e-102   2.3e-98  328.7  13.4     2   178    15   195    14   199 0.97 CPSF (cleavage and polyadenylation specific factor), subunit A, putative [Plasmodium vivax]
SCO72371.1           -           2590 422at5820            -           1432         0 1759.9 136.7   2  12   2.4e-15   7.6e-12   42.0   0.2   177   227   412   463   410   468 0.87 CPSF (cleavage and polyadenylation specific factor), subunit A, putative [Plasmodium vivax]
SCO72371.1           -           2590 422at5820            -           1432         0 1759.9 136.7   3  12   8.4e-47   2.6e-43  146.2   1.3   215   304   507   596   500   603 0.96 CPSF (cleavage and polyadenylation specific factor), subunit A, putative [Plasmodium vivax]
SCO72371.1           -           2590 422at5820            -           1432         0 1759.9 136.7   4  12   3.3e-32     1e-28   97.9   0.0   295   355   652   712   647   720 0.94 CPSF (cleavage and polyadenylation specific factor), subunit A, putative [Plasmodium vivax]
SCO72371.1           -           2590 422at5820            -           1432         0 1759.9 136.7   5  12   2.1e-49   6.7e-46  154.8   3.7   354   440   816   902   807   908 0.95 CPSF (cleavage and polyadenylation specific factor), subunit A, putative [Plasmodium vivax]
SCO72371.1           -           2590 422at5820            -           1432         0 1759.9 136.7   6  12   1.1e-41   3.4e-38  129.3   2.5   438   512   964  1038   961  1043 0.97 CPSF (cleavage and polyadenylation specific factor), subunit A, putative [Plasmodium vivax]
SCO72371.1           -           2590 422at5820            -           1432         0 1759.9 136.7   7  12   6.4e-60     2e-56  189.7   8.4   513   637  1102  1227  1098  1236 0.96 CPSF (cleavage and polyadenylation specific factor), subunit A, putative [Plasmodium vivax]
SCO72371.1           -           2590 422at5820            -           1432         0 1759.9 136.7   8  12   2.9e-18     9e-15   51.7   0.0   640   680  1299  1339  1293  1350 0.92 CPSF (cleavage and polyadenylation specific factor), subunit A, putative [Plasmodium vivax]
SCO72371.1           -           2590 422at5820            -           1432         0 1759.9 136.7   9  12   8.6e-32   2.7e-28   96.5   0.3   677   788  1413  1541  1404  1544 0.88 CPSF (cleavage and polyadenylation specific factor), subunit A, putative [Plasmodium vivax]
SCO72371.1           -           2590 422at5820            -           1432         0 1759.9 136.7  10  12   1.4e-12   4.3e-09   32.9   0.4   788   835  1602  1653  1595  1663 0.81 CPSF (cleavage and polyadenylation specific factor), subunit A, putative [Plasmodium vivax]
SCO72371.1           -           2590 422at5820            -           1432         0 1759.9 136.7  11  12    6e-129  1.9e-125  418.5  38.3   822  1090  1876  2166  1863  2170 0.89 CPSF (cleavage and polyadenylation specific factor), subunit A, putative [Plasmodium vivax]
SCO72371.1           -           2590 422at5820            -           1432         0 1759.9 136.7  12  12   1.6e-38   4.9e-35  118.8   0.5  1091  1158  2210  2277  2207  2279 0.98 CPSF (cleavage and polyadenylation specific factor), subunit A, putative [Plasmodium vivax]
SCO72864.1           -            154 422at5820            -           1432    0.0021   14.0   0.7   1   1   7.2e-07    0.0023   13.9   0.7   791   891    50   151    25   153 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/422at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/422at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/422at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:46:34 2026
# [ok]
