#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71460.1           -           1976 1258at5820           -           1250         0 1416.2 102.0   1  11   5.8e-21   3.6e-17   59.8   7.9     1    65     2    66     2    76 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71460.1           -           1976 1258at5820           -           1250         0 1416.2 102.0   2  11  5.5e-108  3.5e-104  348.1  23.6    49   350   135   483    90   495 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71460.1           -           1976 1258at5820           -           1250         0 1416.2 102.0   3  11   7.2e-19   4.5e-15   52.9   0.4   350   395   515   560   507   566 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71460.1           -           1976 1258at5820           -           1250         0 1416.2 102.0   4  11   3.2e-48     2e-44  150.1   2.7   391   538   680   850   675   856 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71460.1           -           1976 1258at5820           -           1250         0 1416.2 102.0   5  11   5.3e-10   3.3e-06   23.5   0.0   533   593   868   933   861   947 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71460.1           -           1976 1258at5820           -           1250         0 1416.2 102.0   6  11   2.6e-05      0.16    8.0   0.9   576   609   945   978   940   982 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71460.1           -           1976 1258at5820           -           1250         0 1416.2 102.0   7  11   1.6e-34   9.9e-31  104.7   8.0   604   714  1000  1121   990  1128 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71460.1           -           1976 1258at5820           -           1250         0 1416.2 102.0   8  11   1.9e-52   1.2e-48  164.1   0.0   720   845  1153  1290  1140  1295 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71460.1           -           1976 1258at5820           -           1250         0 1416.2 102.0   9  11   2.1e-20   1.3e-16   57.9   0.0   848   903  1377  1433  1373  1443 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71460.1           -           1976 1258at5820           -           1250         0 1416.2 102.0  10  11  4.7e-110    3e-106  354.9   1.5   903  1158  1549  1832  1546  1834 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71460.1           -           1976 1258at5820           -           1250         0 1416.2 102.0  11  11   2.6e-40   1.6e-36  123.9   4.0  1159  1250  1871  1976  1868  1976 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1258at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1258at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1258at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:30:05 2026
# [ok]
