#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71426.1           -           5457 86at5820             -           2862         0 2989.6 214.0   1  34     4e-15   1.3e-11   40.5   0.3     1    47     3    49     3    55 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71426.1           -           5457 86at5820             -           2862         0 2989.6 214.0   2  34   1.2e-09   3.7e-06   22.4   0.0    48    84    80   117    74   121 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71426.1           -           5457 86at5820             -           2862         0 2989.6 214.0   3  34   0.00047       1.5    3.8   0.0    84   104   159   179   154   182 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71426.1           -           5457 86at5820             -           2862         0 2989.6 214.0   4  34   1.1e-31   3.4e-28   95.5   1.0   105   203   234   335   228   347 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71426.1           -           5457 86at5820             -           2862         0 2989.6 214.0   5  34   6.2e-34   1.9e-30  103.0   0.0   200   299   362   467   353   478 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71426.1           -           5457 86at5820             -           2862         0 2989.6 214.0   6  34     0.025        80   -1.9   0.0   303   323   541   561   536   567 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71426.1           -           5457 86at5820             -           2862         0 2989.6 214.0   7  34     1e-14   3.3e-11   39.2   0.0   326   390   621   687   617   691 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71426.1           -           5457 86at5820             -           2862         0 2989.6 214.0   8  34   6.9e-05      0.22    6.6   0.0   386   420   725   762   713   764 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71426.1           -           5457 86at5820             -           2862         0 2989.6 214.0   9  34   7.2e-07    0.0023   13.2   0.4   418   453   814   849   812   873 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71426.1           -           5457 86at5820             -           2862         0 2989.6 214.0  10  34   4.4e-23   1.4e-19   67.0   0.1   450   516   884   954   879   978 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71426.1           -           5457 86at5820             -           2862         0 2989.6 214.0  11  34   1.2e-18   3.8e-15   52.2   1.4   511   578  1010  1084  1004  1105 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
