#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74879.1           -            995 2959at5820           -            696         0 1094.9 109.9   1   6   4.8e-33   9.2e-31  105.5   0.1     3    71    45   114    43   124 0.92 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO74879.1           -            995 2959at5820           -            696         0 1094.9 109.9   2   6   1.4e-06   0.00026   18.1   0.1    70   101   144   180   142   187 0.88 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO74879.1           -            995 2959at5820           -            696         0 1094.9 109.9   3   6   4.8e-84   9.2e-82  274.1   8.6    86   264   221   406   212   410 0.92 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO74879.1           -            995 2959at5820           -            696         0 1094.9 109.9   4   6  4.4e-126  8.3e-124  413.1  27.0   266   498   445   690   438   693 0.94 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO74879.1           -            995 2959at5820           -            696         0 1094.9 109.9   5   6   2.7e-60   5.2e-58  195.6  10.9   498   615   749   866   746   877 0.94 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO74879.1           -            995 2959at5820           -            696         0 1094.9 109.9   6   6   8.6e-34   1.6e-31  108.0  31.3   599   696   879   994   871   994 0.82 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO73552.1           -            599 2959at5820           -            696   1.3e-36  124.9  32.7   1   5   9.3e-08   1.8e-05   22.0   0.1     5    67   145   208   142   213 0.89 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO73552.1           -            599 2959at5820           -            696   1.3e-36  124.9  32.7   2   5   4.3e-05    0.0081   13.2   0.2   102   129   216   242   205   247 0.71 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO73552.1           -            599 2959at5820           -            696   1.3e-36  124.9  32.7   3   5   3.8e-15   7.2e-13   46.4   4.9   170   323   258   410   254   415 0.82 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO73552.1           -            599 2959at5820           -            696   1.3e-36  124.9  32.7   4   5   9.1e-18   1.7e-15   55.0   0.1   366   466   417   516   410   535 0.88 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO73552.1           -            599 2959at5820           -            696   1.3e-36  124.9  32.7   5   5   0.00088      0.17    8.8   0.5   517   575   532   590   519   598 0.83 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO71006.1           -            533 2959at5820           -            696   2.8e-30  103.9  16.5   1   4   6.9e-10   1.3e-07   29.0   0.0     6    68   126   189   121   194 0.89 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO71006.1           -            533 2959at5820           -            696   2.8e-30  103.9  16.5   2   4   0.00015     0.029   11.3   0.0   100   123   189   212   187   217 0.89 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO71006.1           -            533 2959at5820           -            696   2.8e-30  103.9  16.5   3   4   4.4e-10   8.3e-08   29.6   5.4   165   315   231   378   212   388 0.71 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO71006.1           -            533 2959at5820           -            696   2.8e-30  103.9  16.5   4   4     3e-13   5.7e-11   40.1   1.0   366   481   393   506   381   524 0.82 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO71091.1           -            473 2959at5820           -            696   7.3e-30  102.5   3.1   1   2   9.7e-16   1.8e-13   48.3   2.3    30   309    83   341    61   347 0.79 ATP-dependent RNA helicase UAP56, putative [Plasmodium vivax]
SCO71091.1           -            473 2959at5820           -            696   7.3e-30  102.5   3.1   2   2   2.6e-16     5e-14   50.2   0.0   353   449   349   443   334   449 0.87 ATP-dependent RNA helicase UAP56, putative [Plasmodium vivax]
