#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70472.1           -           1431 3833at5820           -            544  2.2e-185  615.8  88.7   1   9   1.8e-27   5.5e-24   83.2   0.0     1    58    47   104    47   116 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70472.1           -           1431 3833at5820           -            544  2.2e-185  615.8  88.7   2   9   3.1e-63   9.7e-60  201.2   7.6    55   191   147   301   144   317 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70472.1           -           1431 3833at5820           -            544  2.2e-185  615.8  88.7   3   9      0.16     5e+02   -2.5   5.9   182   210   457   485   454   489 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70472.1           -           1431 3833at5820           -            544  2.2e-185  615.8  88.7   4   9   4.4e-09   1.4e-05   22.4   0.0   215   239   525   549   517   553 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70472.1           -           1431 3833at5820           -            544  2.2e-185  615.8  88.7   5   9     1e-46   3.2e-43  146.6   2.1   240   346   588   714   582   716 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70472.1           -           1431 3833at5820           -            544  2.2e-185  615.8  88.7   6   9   6.5e-15     2e-11   41.7   0.4   343   385   847   889   841   917 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70472.1           -           1431 3833at5820           -            544  2.2e-185  615.8  88.7   7   9   3.4e-06     0.011   12.9   0.5   383   408   925   950   906   960 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70472.1           -           1431 3833at5820           -            544  2.2e-185  615.8  88.7   8   9   1.6e-09   5.1e-06   23.9   4.7   406   444  1108  1151  1103  1157 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70472.1           -           1431 3833at5820           -            544  2.2e-185  615.8  88.7   9   9     7e-37   2.2e-33  114.2  19.9   432   544  1263  1398  1233  1398 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75335.1           -            699 3833at5820           -            544   2.2e-06   25.1   0.3   1   5     7e-10   2.2e-06   25.1   0.3     9   149     3   128     1   136 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75335.1           -            699 3833at5820           -            544   2.2e-06   25.1   0.3   2   5      0.12   3.8e+02   -2.1   0.0   238   268   226   258   216   263 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75335.1           -            699 3833at5820           -            544   2.2e-06   25.1   0.3   3   5         2   6.3e+03  -11.2  13.1   458   508   308   357   260   377 0.44 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75335.1           -            699 3833at5820           -            544   2.2e-06   25.1   0.3   4   5         2   6.3e+03  -11.4  19.3   429   527   433   517   413   535 0.52 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75335.1           -            699 3833at5820           -            544   2.2e-06   25.1   0.3   5   5         2   6.3e+03   -9.6  18.8   361   443   580   662   545   695 0.43 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3833at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3833at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3833at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:40:54 2026
# [ok]
