#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71855.1           -           1080 2890at5820           -            563  7.6e-246  815.5  38.3   1   5   3.4e-21   7.2e-18   62.9   1.2     1    69     1    92     1    96 0.74 SET domain protein, putative [Plasmodium vivax]
SCO71855.1           -           1080 2890at5820           -            563  7.6e-246  815.5  38.3   2   5   6.6e-06     0.014   12.4   0.0    67    91   113   138   105   147 0.85 SET domain protein, putative [Plasmodium vivax]
SCO71855.1           -           1080 2890at5820           -            563  7.6e-246  815.5  38.3   3   5   3.4e-45   7.1e-42  142.2   1.2    97   190   369   463   361   471 0.95 SET domain protein, putative [Plasmodium vivax]
SCO71855.1           -           1080 2890at5820           -            563  7.6e-246  815.5  38.3   4   5   1.1e-80   2.4e-77  259.3   2.9   185   333   533   679   526   690 0.93 SET domain protein, putative [Plasmodium vivax]
SCO71855.1           -           1080 2890at5820           -            563  7.6e-246  815.5  38.3   5   5  3.2e-110  6.8e-107  356.8   7.9   341   563   839  1074   834  1074 0.95 SET domain protein, putative [Plasmodium vivax]
SCO72638.1           -            791 2890at5820           -            563   4.7e-15   53.6  15.6   1   2   3.7e-07   0.00078   16.6   0.5   110   183   343   418   317   442 0.73 SET domain protein, putative [Plasmodium vivax]
SCO72638.1           -            791 2890at5820           -            563   4.7e-15   53.6  15.6   2   2   1.6e-14   3.3e-11   40.9   8.7   217   466   493   750   473   764 0.69 SET domain protein, putative [Plasmodium vivax]
SCO73271.1           -           1589 2890at5820           -            563   5.4e-06   23.7   0.4   1   2   2.6e-09   5.4e-06   23.7   0.4   236   347   475   589   462   656 0.76 SET domain protein, putative [Plasmodium vivax]
SCO73271.1           -           1589 2890at5820           -            563   5.4e-06   23.7   0.4   2   2      0.35   7.3e+02   -3.2   0.1   447   482   850   884   846   901 0.75 SET domain protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2890at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2890at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2890at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:46:34 2026
# [ok]
