#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72686.1           -            966 5783at5820           -            394  4.8e-194  643.4 173.1   1  13   7.7e-22   4.8e-18   63.9   3.7     1    48     1    60     1    84 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72686.1           -            966 5783at5820           -            394  4.8e-194  643.4 173.1   2  13   2.6e-06     0.016   12.8   0.4    45    67   113   135   101   140 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72686.1           -            966 5783at5820           -            394  4.8e-194  643.4 173.1   3  13     3e-07    0.0019   15.8   1.0    46    69   140   163   134   166 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72686.1           -            966 5783at5820           -            394  4.8e-194  643.4 173.1   4  13   1.6e-08    0.0001   20.0   1.6    47    69   167   189   163   192 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72686.1           -            966 5783at5820           -            394  4.8e-194  643.4 173.1   5  13   2.6e-08   0.00017   19.3   0.8    47    69   193   215   189   218 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72686.1           -            966 5783at5820           -            394  4.8e-194  643.4 173.1   6  13   2.4e-08   0.00015   19.4   1.4    47    69   219   241   215   244 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72686.1           -            966 5783at5820           -            394  4.8e-194  643.4 173.1   7  13   1.7e-08   0.00011   19.9   1.7    47    69   245   267   241   270 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72686.1           -            966 5783at5820           -            394  4.8e-194  643.4 173.1   8  13   2.6e-08   0.00017   19.3   0.8    47    69   271   293   267   296 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72686.1           -            966 5783at5820           -            394  4.8e-194  643.4 173.1   9  13   3.8e-08   0.00024   18.8   2.4    47    69   297   319   293   323 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72686.1           -            966 5783at5820           -            394  4.8e-194  643.4 173.1  10  13   3.8e-07    0.0024   15.5  48.7    47   207   323   494   320   520 0.65 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72686.1           -            966 5783at5820           -            394  4.8e-194  643.4 173.1  11  13   5.2e-19   3.3e-15   54.5   9.2    87   148   533   607   521   614 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72686.1           -            966 5783at5820           -            394  4.8e-194  643.4 173.1  12  13  3.7e-127  2.3e-123  410.6  15.6   142   377   675   924   667   932 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72686.1           -            966 5783at5820           -            394  4.8e-194  643.4 173.1  13  13   9.6e-09     6e-05   20.8   0.9   371   394   943   966   937   966 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5783at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5783at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5783at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:56:42 2026
# [ok]
