#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72261.1           -            543 6346at5820           -            465  1.2e-238  790.9  76.9   1   1  1.7e-240  2.2e-237  786.8  76.9    13   465    45   543    30   543 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 6346at5820           -            465   2.1e-10   38.5  18.2   1   3   1.7e-06    0.0021   15.4   0.4   131   221   211   301   154   303 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 6346at5820           -            465   2.1e-10   38.5  18.2   2   3   3.1e-12   3.9e-09   34.3   5.2    45   200   272   428   271   434 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 6346at5820           -            465   2.1e-10   38.5  18.2   3   3     0.028        35    1.5   6.5    79   192   414   530   405   546 0.60 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 6346at5820           -            465   5.1e-05   20.7  25.0   1   5     0.012        15    2.7   0.0   108   162    80   133    62   145 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 6346at5820           -            465   5.1e-05   20.7  25.0   2   5   0.00056       0.7    7.1   0.2   126   171   188   233   182   245 0.69 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 6346at5820           -            465   5.1e-05   20.7  25.0   3   5   3.1e-07   0.00039   17.8   8.7   123   222   341   445   331   483 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 6346at5820           -            465   5.1e-05   20.7  25.0   4   5     0.096   1.2e+02   -0.3   0.0   137   196   557   622   548   642 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 6346at5820           -            465   5.1e-05   20.7  25.0   5   5     0.033        42    1.2   0.2    54   109   738   794   730   815 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71909.1           -            719 6346at5820           -            465     0.073   10.3  12.6   1   4   3.4e-05     0.043   11.1   0.8    42   145    61   169    44   223 0.72 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71909.1           -            719 6346at5820           -            465     0.073   10.3  12.6   2   4      0.32     4e+02   -2.0   0.1    88   146   389   449   377   455 0.65 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71909.1           -            719 6346at5820           -            465     0.073   10.3  12.6   3   4    0.0014       1.7    5.8   1.0   194   247   528   582   523   598 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71909.1           -            719 6346at5820           -            465     0.073   10.3  12.6   4   4      0.14   1.8e+02   -0.9   0.0    25    65   581   620   573   630 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72244.1           -            817 6346at5820           -            465       0.4    7.9  63.0   1   3   2.1e-05     0.026   11.8   4.6   152   232   165   244   136   256 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72244.1           -            817 6346at5820           -            465       0.4    7.9  63.0   2   3   3.4e-05     0.043   11.1   5.0   173   248   258   337   251   350 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72244.1           -            817 6346at5820           -            465       0.4    7.9  63.0   3   3      0.48     6e+02   -2.6  37.3   213   448   481   752   465   767 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6346at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6346at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6346at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:02:55 2026
# [ok]
