#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74818.1           -            148 13254at5820          -            127   2.7e-61  203.7  13.2   1   1   2.5e-63   2.3e-60  200.7  13.2     1   127     6   148     6   148 0.93 MORN repeat protein, putative [Plasmodium vivax]
SCO71682.1           -            369 13254at5820          -            127   3.3e-21   74.1  64.9   1   9     0.058        52    2.3   0.7    16    47    10    40     4    45 0.72 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 13254at5820          -            127   3.3e-21   74.1  64.9   2   9   1.1e-07   9.6e-05   20.9   6.0     5    45    45    93    40    95 0.85 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 13254at5820          -            127   3.3e-21   74.1  64.9   3   9   2.2e-05      0.02   13.4   0.4    12    35    98   121    95   122 0.91 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 13254at5820          -            127   3.3e-21   74.1  64.9   4   9     1e-08   9.2e-06   24.2   4.9     8    44   117   153   116   168 0.80 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 13254at5820          -            127   3.3e-21   74.1  64.9   5   9   1.8e-05     0.017   13.6   4.1     6    37   166   197   160   210 0.83 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 13254at5820          -            127   3.3e-21   74.1  64.9   6   9    0.0043       3.8    6.0   0.9     7    32   190   215   185   217 0.83 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 13254at5820          -            127   3.3e-21   74.1  64.9   7   9   5.3e-06    0.0048   15.4   4.1     5    50   211   255   206   258 0.78 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 13254at5820          -            127   3.3e-21   74.1  64.9   8   9   0.00032      0.28    9.6   0.2     5    32   257   284   254   287 0.88 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 13254at5820          -            127   3.3e-21   74.1  64.9   9   9   8.4e-05     0.076   11.5   1.6    10    50   285   325   283   330 0.87 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO74298.1           -            326 13254at5820          -            127     1e-09   37.0  33.5   1   5   0.00022       0.2   10.1   3.2     6    38    59    91    34    96 0.73 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO74298.1           -            326 13254at5820          -            127     1e-09   37.0  33.5   2   5   4.1e-05     0.037   12.5   2.2     4    36    80   112    76   114 0.88 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO74298.1           -            326 13254at5820          -            127     1e-09   37.0  33.5   3   5   3.7e-05     0.033   12.7   1.9     3    45   102   143    99   167 0.76 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO74298.1           -            326 13254at5820          -            127     1e-09   37.0  33.5   4   5   1.8e-06    0.0016   16.9   9.9     7    54   175   222   167   224 0.86 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO74298.1           -            326 13254at5820          -            127     1e-09   37.0  33.5   5   5     0.016        14    4.1   0.3     4    31   221   248   217   308 0.78 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO72249.1           -            381 13254at5820          -            127    0.0012   17.3  33.9   1   4     0.032        29    3.2  10.2     4    46    55    97    51   111 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72249.1           -            381 13254at5820          -            127    0.0012   17.3  33.9   2   4      0.67     6e+02   -1.1   0.1    67    89   231   253   203   262 0.70 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72249.1           -            381 13254at5820          -            127    0.0012   17.3  33.9   3   4   8.8e-05     0.079   11.5   4.1     5    52   260   305   255   309 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72249.1           -            381 13254at5820          -            127    0.0012   17.3  33.9   4   4   2.5e-06    0.0022   16.5   1.2     6    50   307   349   302   358 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72783.1           -           1002 13254at5820          -            127      0.31    9.5  25.2   1   5       1.5   1.3e+03   -2.2   0.5    62   118    27    85    21    94 0.59 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO72783.1           -           1002 13254at5820          -            127      0.31    9.5  25.2   2   5    0.0025       2.2    6.8   1.8     3    56   167   230   165   235 0.72 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
