#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72799.1           -           1510 1877at5820           -            885  2.9e-297  987.3  57.1   1  10   7.8e-05      0.49    7.1   0.0     8    29    24    48    19    55 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72799.1           -           1510 1877at5820           -            885  2.9e-297  987.3  57.1   2  10  9.1e-157  5.7e-153  509.8  23.2    28   336   134   453   131   458 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72799.1           -           1510 1877at5820           -            885  2.9e-297  987.3  57.1   3  10   3.8e-29   2.4e-25   87.6   0.0   337   418   533   618   526   622 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72799.1           -           1510 1877at5820           -            885  2.9e-297  987.3  57.1   4  10      0.01        63    0.1   0.0   405   439   637   672   631   677 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72799.1           -           1510 1877at5820           -            885  2.9e-297  987.3  57.1   5  10   1.3e-14   7.9e-11   39.5   0.9   443   489   722   779   706   783 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72799.1           -           1510 1877at5820           -            885  2.9e-297  987.3  57.1   6  10   1.4e-30   9.1e-27   92.3   0.0   488   568   803   893   797   897 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72799.1           -           1510 1877at5820           -            885  2.9e-297  987.3  57.1   7  10   8.2e-38   5.1e-34  116.2   0.0   569   703   938  1117   930  1131 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72799.1           -           1510 1877at5820           -            885  2.9e-297  987.3  57.1   8  10   5.3e-31   3.3e-27   93.7   6.9   691   803  1132  1271  1123  1273 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72799.1           -           1510 1877at5820           -            885  2.9e-297  987.3  57.1   9  10    0.0077        48    0.5   0.1   800   814  1294  1308  1285  1311 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72799.1           -           1510 1877at5820           -            885  2.9e-297  987.3  57.1  10  10   3.2e-17     2e-13   48.1   0.0   828   878  1417  1467  1409  1471 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1877at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1877at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1877at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:36:32 2026
# [ok]
