#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72667.1           -            155 12971at5820          -            124   1.3e-79  262.4   2.8   1   1     2e-82   1.6e-79  262.1   2.8     1   124    29   155    29   155 0.98 AP-1 complex subunit sigma, putative [Plasmodium vivax]
SCO71474.1           -            146 12971at5820          -            124   1.4e-25   87.9   5.6   1   1   2.3e-28   1.8e-25   87.5   5.6    10   104    38   136    28   143 0.90 AP-4 complex subunit sigma, putative [Plasmodium vivax]
SCO71017.1           -            141 12971at5820          -            124   2.4e-24   83.8  10.3   1   1   4.2e-27   3.3e-24   83.4  10.3     2   105    30   135    29   140 0.93 AP-2 complex subunit sigma, putative [Plasmodium vivax]
SCO75744.1           -            157 12971at5820          -            124   4.2e-19   66.9   4.2   1   1   7.1e-22   5.6e-19   66.5   4.2    10   115    39   152    30   155 0.85 AP-3 complex subunit sigma, putative [Plasmodium vivax]
SCO74507.1           -            763 12971at5820          -            124   0.00035   18.7   0.7   1   2   4.5e-07   0.00035   18.7   0.7    32    91    74   135    57   162 0.82 clathrin coat assembly protein AP50, putative [Plasmodium vivax]
SCO74507.1           -            763 12971at5820          -            124   0.00035   18.7   0.7   2   2       1.6   1.3e+03   -2.5   0.1    27    50   596   617   582   640 0.67 clathrin coat assembly protein AP50, putative [Plasmodium vivax]
SCO71376.1           -            208 12971at5820          -            124   0.00041   18.5   0.5   1   1   7.9e-07   0.00062   17.9   0.5    37   113   108   186    70   196 0.78 coatomer subunit zeta, putative [Plasmodium vivax]
SCO72681.1           -            478 12971at5820          -            124     0.001   17.2   2.5   1   1   3.2e-06    0.0025   16.0   2.5    32   105    62   135    50   145 0.87 AP-4 complex subunit mu, putative [Plasmodium vivax]
SCO75191.1           -            458 12971at5820          -            124    0.0036   15.4   6.3   1   2      0.67   5.3e+02   -1.2   0.0    26    46    25    45    12    53 0.75 AP-1 complex subunit mu-1, putative [Plasmodium vivax]
SCO75191.1           -            458 12971at5820          -            124    0.0036   15.4   6.3   2   2   4.8e-06    0.0037   15.4   3.6    29   100    60   131    49   153 0.86 AP-1 complex subunit mu-1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12971at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12971at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12971at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:31:00 2026
# [ok]
