#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75462.1           -            839 3491at5820           -            604  7.3e-302 1001.0  71.2   1   5    4e-271  1.6e-268  890.9  42.7     1   464    31   522    31   533 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 3491at5820           -            604  7.3e-302 1001.0  71.2   2   5   3.2e-05     0.013   12.8   0.1   461   486   543   568   535   571 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 3491at5820           -            604  7.3e-302 1001.0  71.2   3   5   0.00069      0.27    8.4   0.4   484   501   597   614   588   620 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 3491at5820           -            604  7.3e-302 1001.0  71.2   4   5   1.9e-23   7.6e-21   72.9   7.9   499   576   673   783   658   790 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75462.1           -            839 3491at5820           -            604  7.3e-302 1001.0  71.2   5   5   2.4e-08   9.2e-06   23.1   0.0   574   604   803   833   796   833 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 3491at5820           -            604   9.6e-23   79.2  13.9   1   4       3.5   1.4e+03   -3.9   1.5   510   541    57    88    51    94 0.55 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 3491at5820           -            604   9.6e-23   79.2  13.9   2   4   1.7e-19   6.8e-17   59.9   5.7    53   251   172   375   155   385 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 3491at5820           -            604   9.6e-23   79.2  13.9   3   4   2.7e-11     1e-08   32.8   1.1    90   214   365   489   363   495 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70365.1           -            643 3491at5820           -            604   9.6e-23   79.2  13.9   4   4      0.32   1.2e+02   -0.4   1.0   391   437   495   541   489   563 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75512.1           -           1244 3491at5820           -            604   9.1e-18   62.8  33.4   1   3       3.6   1.4e+03   -3.9   0.5   457   508    87   142    79   156 0.72 RAP protein, putative [Plasmodium vivax]
SCO75512.1           -           1244 3491at5820           -            604   9.1e-18   62.8  33.4   2   3     6e-05     0.024   11.8   0.2   110   183   248   321   224   333 0.82 RAP protein, putative [Plasmodium vivax]
SCO75512.1           -           1244 3491at5820           -            604   9.1e-18   62.8  33.4   3   3   7.2e-19   2.8e-16   57.8  21.6    89   449   410   794   405   813 0.81 RAP protein, putative [Plasmodium vivax]
SCO71909.1           -            719 3491at5820           -            604   6.7e-13   46.7  13.7   1   3   3.4e-08   1.3e-05   22.6   3.5    72   150    64   143    52   213 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71909.1           -            719 3491at5820           -            604   6.7e-13   46.7  13.7   2   3   8.9e-07   0.00035   17.9   0.0   117   215   390   489   374   499 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71909.1           -            719 3491at5820           -            604   6.7e-13   46.7  13.7   3   3    0.0006      0.24    8.6   3.1   333   425   541   640   524   649 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 3491at5820           -            604   1.2e-09   36.0  24.2   1   6       0.1        39    1.2   0.0   114   153    93   132    80   138 0.67 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 3491at5820           -            604   1.2e-09   36.0  24.2   2   6     0.013         5    4.2   0.3    87   120   194   227   185   240 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 3491at5820           -            604   1.2e-09   36.0  24.2   3   6   3.9e-07   0.00015   19.1   2.8    81   154   346   423   334   431 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 3491at5820           -            604   1.2e-09   36.0  24.2   4   6    0.0018      0.71    7.0   0.3   403   431   426   454   421   493 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 3491at5820           -            604   1.2e-09   36.0  24.2   5   6   0.00022     0.086   10.0   0.1   195   251   549   610   545   634 0.72 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 3491at5820           -            604   1.2e-09   36.0  24.2   6   6    0.0026         1    6.4   0.1    78   140   737   797   727   822 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74482.1           -            596 3491at5820           -            604   4.5e-09   34.1  20.3   1   3     0.018       7.1    3.7   7.3    81   213    34   169    29   181 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74482.1           -            596 3491at5820           -            604   4.5e-09   34.1  20.3   2   3   1.1e-11   4.5e-09   34.1  20.3    81   253   216   388   199   404 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74482.1           -            596 3491at5820           -            604   4.5e-09   34.1  20.3   3   3       1.2   4.6e+02   -2.3   0.3   182   243   501   559   493   577 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72369.1           -            634 3491at5820           -            604   1.4e-08   32.4   7.2   1   3   2.7e-08   1.1e-05   22.9   0.1   104   195   156   247   130   257 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72369.1           -            634 3491at5820           -            604   1.4e-08   32.4   7.2   2   3   0.00037      0.15    9.2   0.2   260   298   345   383   313   391 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72369.1           -            634 3491at5820           -            604   1.4e-08   32.4   7.2   3   3     0.034        13    2.8   0.3   126   198   476   552   448   574 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75319.1           -            943 3491at5820           -            604   1.4e-08   32.4   7.2   1   1   3.1e-07   0.00012   19.4   2.1    66   181   293   408   271   414 0.74 RAP protein, putative [Plasmodium vivax]
SCO71559.1           -            719 3491at5820           -            604   1.6e-08   32.2   5.9   1   3      0.29   1.1e+02   -0.3   0.0   230   265   151   189   122   192 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71559.1           -            719 3491at5820           -            604   1.6e-08   32.2   5.9   2   3   1.6e-06   0.00062   17.1   0.5   134   220   240   327   231   356 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71559.1           -            719 3491at5820           -            604   1.6e-08   32.2   5.9   3   3   2.8e-06    0.0011   16.2   0.2    84   212   445   579   435   597 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71998.1           -            975 3491at5820           -            604   1.7e-07   28.9   7.1   1   3      0.95   3.7e+02   -2.0   0.3   531   583   261   316   241   331 0.59 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71998.1           -            975 3491at5820           -            604   1.7e-07   28.9   7.1   2   3   4.3e-10   1.7e-07   28.9   7.1    56   184   504   632   494   668 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
