#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70881.1           -           2752 341at5820            -           1530         0 2080.6  72.3   1  15   3.9e-66   2.5e-62  209.3   0.1     3   126     9   146     7   151 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70881.1           -           2752 341at5820            -           1530         0 2080.6  72.3   2  15   3.7e-30   2.3e-26   90.0   0.0   127   185   188   246   185   251 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70881.1           -           2752 341at5820            -           1530         0 2080.6  72.3   3  15     0.084   5.3e+02   -3.9   0.0   185   203   306   324   305   326 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70881.1           -           2752 341at5820            -           1530         0 2080.6  72.3   4  15   1.1e-11   7.1e-08   28.8   1.3   200   236   412   448   405   453 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70881.1           -           2752 341at5820            -           1530         0 2080.6  72.3   5  15   5.6e-38   3.5e-34  116.0   0.0   232   307   525   602   515   622 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70881.1           -           2752 341at5820            -           1530         0 2080.6  72.3   6  15   1.9e-12   1.2e-08   31.4   0.0   319   354   700   735   685   755 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70881.1           -           2752 341at5820            -           1530         0 2080.6  72.3   7  15   3.1e-78     2e-74  249.4   1.6   360   546   927  1154   915  1158 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70881.1           -           2752 341at5820            -           1530         0 2080.6  72.3   8  15   2.6e-53   1.6e-49  166.8   6.6   546   647  1228  1329  1223  1334 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70881.1           -           2752 341at5820            -           1530         0 2080.6  72.3   9  15    0.0017        11    1.7   0.0   648   671  1377  1403  1374  1412 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70881.1           -           2752 341at5820            -           1530         0 2080.6  72.3  10  15   2.6e-48   1.6e-44  150.2   2.0   674   798  1463  1594  1450  1598 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70881.1           -           2752 341at5820            -           1530         0 2080.6  72.3  11  15   4.6e-81   2.9e-77  258.8   0.1   805   982  1674  1870  1667  1875 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70881.1           -           2752 341at5820            -           1530         0 2080.6  72.3  12  15   2.7e-23   1.7e-19   67.3   0.0   987  1042  1961  2016  1952  2023 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70881.1           -           2752 341at5820            -           1530         0 2080.6  72.3  13  15   1.6e-91     1e-87  293.4   0.3  1048  1241  2087  2287  2069  2302 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70881.1           -           2752 341at5820            -           1530         0 2080.6  72.3  14  15   4.4e-64   2.8e-60  202.5   0.5  1247  1373  2373  2501  2370  2506 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70881.1           -           2752 341at5820            -           1530         0 2080.6  72.3  15  15   2.3e-77   1.5e-73  246.5   4.6  1373  1530  2576  2752  2569  2752 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/341at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/341at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/341at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:38:49 2026
# [ok]
