#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74680.1           -           1010 5114at5820           -            599  5.7e-238  790.0  86.0   1   6  1.1e-131    7e-129  429.7  30.1     1   205     1   210     1   227 0.93 zinc finger protein, putative [Plasmodium vivax]
SCO74680.1           -           1010 5114at5820           -            599  5.7e-238  790.0  86.0   2   6   6.6e-28   4.1e-25   87.0   4.4   196   262   225   295   212   303 0.83 zinc finger protein, putative [Plasmodium vivax]
SCO74680.1           -           1010 5114at5820           -            599  5.7e-238  790.0  86.0   3   6   4.4e-41   2.7e-38  130.5   3.9   264   407   384   554   377   560 0.84 zinc finger protein, putative [Plasmodium vivax]
SCO74680.1           -           1010 5114at5820           -            599  5.7e-238  790.0  86.0   4   6   9.3e-05     0.059   10.6   0.1   420   451   614   645   563   656 0.64 zinc finger protein, putative [Plasmodium vivax]
SCO74680.1           -           1010 5114at5820           -            599  5.7e-238  790.0  86.0   5   6   9.7e-22   6.1e-19   66.6  10.3   455   554   811   932   777   940 0.84 zinc finger protein, putative [Plasmodium vivax]
SCO74680.1           -           1010 5114at5820           -            599  5.7e-238  790.0  86.0   6   6   3.3e-28   2.1e-25   88.0   5.7   534   599   945  1010   922  1010 0.84 zinc finger protein, putative [Plasmodium vivax]
SCO72227.1           -            510 5114at5820           -            599   3.8e-44  149.9  15.7   1   3     6e-47   3.8e-44  149.9  15.7    18   127    17   125     1   132 0.91 zinc finger C-x8-C-x5-C-x3-H type, putative [Plasmodium vivax]
SCO72227.1           -            510 5114at5820           -            599   3.8e-44  149.9  15.7   2   3      0.46   2.9e+02   -1.7   1.6   340   371   266   296   237   358 0.63 zinc finger C-x8-C-x5-C-x3-H type, putative [Plasmodium vivax]
SCO72227.1           -            510 5114at5820           -            599   3.8e-44  149.9  15.7   3   3      0.57   3.6e+02   -1.9   2.0   533   580   437   484   414   501 0.63 zinc finger C-x8-C-x5-C-x3-H type, putative [Plasmodium vivax]
SCO73500.1           -            965 5114at5820           -            599   3.2e-30  103.9   5.3   1   4     5e-33   3.2e-30  103.9   5.3    20   141     7   127     3   147 0.93 zinc finger protein, putative [Plasmodium vivax]
SCO73500.1           -            965 5114at5820           -            599   3.2e-30  103.9   5.3   2   4        10   6.3e+03  -10.8  20.1   412   514   237   343   172   378 0.55 zinc finger protein, putative [Plasmodium vivax]
SCO73500.1           -            965 5114at5820           -            599   3.2e-30  103.9   5.3   3   4       6.7   4.2e+03   -5.5   5.7   551   583   509   541   466   585 0.58 zinc finger protein, putative [Plasmodium vivax]
SCO73500.1           -            965 5114at5820           -            599   3.2e-30  103.9   5.3   4   4       1.1   6.7e+02   -2.9   3.8   399   477   746   825   713   938 0.75 zinc finger protein, putative [Plasmodium vivax]
