#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75286.1           -            124 14208at5820          -            105   2.9e-67  222.3   5.0   1   1   2.3e-69   3.3e-67  222.1   5.0     1   105     7   111     7   111 0.99 RNA-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 14208at5820          -            105   2.7e-37  126.0  10.3   1   4   2.9e-13   4.2e-11   41.8   0.0     3    78    17    92    15    97 0.93 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 14208at5820          -            105   2.7e-37  126.0  10.3   2   4   3.5e-11     5e-09   35.1   0.8     4    78   106   179   103   193 0.90 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 14208at5820          -            105   2.7e-37  126.0  10.3   3   4   1.4e-08     2e-06   26.8   0.2     4    68   195   256   190   273 0.86 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 14208at5820          -            105   2.7e-37  126.0  10.3   4   4   5.1e-08   7.2e-06   24.9   0.0     4    81   451   527   449   535 0.91 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO73492.1           -            513 14208at5820          -            105   3.4e-22   77.4   0.0   1   3   4.8e-07   6.8e-05   21.8   0.0     4    67    90   153    87   181 0.89 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 14208at5820          -            105   3.4e-22   77.4   0.0   2   3   1.1e-06   0.00016   20.6   0.0     4    85   189   273   186   291 0.80 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 14208at5820          -            105   3.4e-22   77.4   0.0   3   3     6e-10   8.5e-08   31.1   0.0    13    98   383   468   372   474 0.84 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO74870.1           -            475 14208at5820          -            105   2.9e-20   71.2   3.4   1   2     8e-09   1.1e-06   27.5   0.1     3    81    21    99    19   104 0.92 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO74870.1           -            475 14208at5820          -            105   2.9e-20   71.2   3.4   2   2   6.3e-14     9e-12   43.9   1.0     4    81   109   185   106   193 0.89 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO74171.1           -           1033 14208at5820          -            105   6.2e-14   50.9   0.1   1   2   4.2e-06   0.00059   18.8   0.1     6    85   646   725   642   739 0.84 splicing factor 1, putative [Plasmodium vivax]
SCO74171.1           -           1033 14208at5820          -            105   6.2e-14   50.9   0.1   2   2     2e-09   2.9e-07   29.4   0.0     4    82   743   824   741   832 0.90 splicing factor 1, putative [Plasmodium vivax]
SCO71367.1           -            361 14208at5820          -            105   1.6e-13   49.6   2.0   1   2   9.5e-11   1.4e-08   33.7   0.3     4    78   120   192   118   203 0.88 RNA-binding protein, putative [Plasmodium vivax]
SCO71367.1           -            361 14208at5820          -            105   1.6e-13   49.6   2.0   2   2   5.2e-05    0.0074   15.3   0.1     4    76   204   274   201   286 0.78 RNA-binding protein, putative [Plasmodium vivax]
SCO72564.1           -            753 14208at5820          -            105   4.6e-12   44.9  11.5   1   2   4.4e-07   6.3e-05   21.9   0.4    13    81   374   441   364   455 0.78 nucleic acid binding protein, putative [Plasmodium vivax]
SCO72564.1           -            753 14208at5820          -            105   4.6e-12   44.9  11.5   2   2   1.4e-09   2.1e-07   29.9   0.3     4    78   665   740   663   752 0.86 nucleic acid binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 14208at5820          -            105   1.7e-11   43.0   9.9   1   3    0.0036      0.52    9.3   0.5    23    79    39    90    19   101 0.80 poly(A)-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 14208at5820          -            105   1.7e-11   43.0   9.9   2   3   6.5e-07   9.3e-05   21.4   0.2    11    80   127   196   117   207 0.78 poly(A)-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 14208at5820          -            105   1.7e-11   43.0   9.9   3   3   1.2e-05    0.0017   17.4   0.3     9    86   216   290   208   305 0.78 poly(A)-binding protein, putative [Plasmodium vivax]
