#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74669.1           -            107 14505at5820          -             90   6.7e-54  178.6   1.4   1   1   1.4e-56   1.1e-53  178.0   1.4     5    90    11   103     1   103 0.92 U6 snRNA-associated Sm-like protein LSm7, putative [Plasmodium vivax]
SCO71276.1           -             83 14505at5820          -             90   2.4e-13   48.6   0.1   1   1   3.6e-16   2.8e-13   48.4   0.1    12    76    12    74     6    81 0.90 small nuclear ribonucleoprotein G, putative [Plasmodium vivax]
SCO74481.1           -            101 14505at5820          -             90   2.2e-07   29.5   0.1   1   1   3.2e-10   2.5e-07   29.4   0.1    14    78    16    82     1    88 0.81 U6 snRNA-associated Sm-like protein LSm5, putative [Plasmodium vivax]
SCO73895.1           -             94 14505at5820          -             90   2.2e-05   23.2   0.2   1   1   3.5e-08   2.7e-05   22.8   0.2    13    79    18    88     4    94 0.79 small nuclear ribonucleoprotein E, putative [Plasmodium vivax]
SCO71207.1           -             95 14505at5820          -             90   2.8e-05   22.8   0.2   1   1   4.1e-08   3.2e-05   22.6   0.2    13    80     5    73     1    81 0.89 U6 snRNA-associated Sm-like protein LSm8, putative [Plasmodium vivax]
SCO74917.1           -            201 14505at5820          -             90   3.6e-05   22.4   0.3   1   2   1.4e-07   0.00011   20.9   0.2    15    77     8    77     4    90 0.80 small nuclear ribonucleoprotein-associated protein B, putative [Plasmodium vivax]
SCO74917.1           -            201 14505at5820          -             90   3.6e-05   22.4   0.3   2   2       1.5   1.2e+03   -1.7   0.0    58    77   122   141    95   146 0.76 small nuclear ribonucleoprotein-associated protein B, putative [Plasmodium vivax]
SCO71300.1           -             91 14505at5820          -             90   0.00026   19.7   0.2   1   1   9.3e-07   0.00073   18.2   0.2    14    77    14    87     7    90 0.77 U6 snRNA-associated Sm-like protein LSm3, putative [Plasmodium vivax]
SCO72756.1           -             86 14505at5820          -             90    0.0034   16.1   0.0   1   1   4.7e-06    0.0037   16.0   0.0    20    76    20    75     8    84 0.79 U6 snRNA-associated Sm-like protein LSm6, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14505at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14505at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14505at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:35:27 2026
# [ok]
