#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74473.1           -           6848 19at5820             -           4334         0 6679.7 610.1   1  25   0.00069       4.3    1.7   8.0   591   704   198   305   173   321 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74473.1           -           6848 19at5820             -           4334         0 6679.7 610.1   2  25  1.7e-300  1.1e-296  986.2  52.6     1   584   440  1046   440  1053 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74473.1           -           6848 19at5820             -           4334         0 6679.7 610.1   3  25  1.6e-182    1e-178  594.7  28.7   582   883  1083  1389  1076  1394 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74473.1           -           6848 19at5820             -           4334         0 6679.7 610.1   4  25     3e-12   1.9e-08   29.5   0.0   883   934  1435  1495  1432  1505 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74473.1           -           6848 19at5820             -           4334         0 6679.7 610.1   5  25  6.6e-196  4.1e-192  639.1  42.8   935  1311  1566  1962  1559  1971 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74473.1           -           6848 19at5820             -           4334         0 6679.7 610.1   6  25   1.8e-48   1.1e-44  149.8  13.2  1319  1433  2095  2229  2055  2239 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74473.1           -           6848 19at5820             -           4334         0 6679.7 610.1   7  25    0.0059        37   -1.4   0.0  1434  1457  2268  2291  2259  2296 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74473.1           -           6848 19at5820             -           4334         0 6679.7 610.1   8  25   2.2e-70   1.4e-66  222.4  21.2  1443  1616  2328  2518  2323  2525 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74473.1           -           6848 19at5820             -           4334         0 6679.7 610.1   9  25   3.4e-15   2.1e-11   39.3   1.9  1617  1652  2596  2631  2592  2641 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74473.1           -           6848 19at5820             -           4334         0 6679.7 610.1  10  25   3.5e-26   2.2e-22   75.7   7.6  1649  1725  2722  2805  2707  2811 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74473.1           -           6848 19at5820             -           4334         0 6679.7 610.1  11  25   2.7e-06     0.017    9.7   0.1  1724  1750  2848  2874  2844  2890 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
